Name,IMG,Official Bio,Description,Titles
Michael Bennet,https://images.c-span.org/Files/6de/20190623005652001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001267"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Michael Farrand Bennet is an American businessman, lawyer, and politician serving as the senior United States Senator from Colorado, a seat he has held since 2009. A member of the Democratic Party, he was appointed to the seat when Ken Salazar resigned to become Secretary of the Interior. Wikipedia*', 'On the C-SPAN Networks:Michael Bennet has 372 videos in the C-SPAN Video Library; the first appearance was a 2009 Senate Highlight. The year with the most videos was 2017 with 71 videos. The year with the highest average number of views per program was 2011 with an average of 10,895 views per program. Most appearances with Chuck Schumer (11), Dick Durbin (7), Bob Menendez (7). Most common tags: Colorado, Immigration, Senate.']","['U.S. Senator, D-CO View Map']"
Joe Biden Jr.,https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000444"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,560 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (34), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']","['U.S. Vice President, United StatesD', 'U.S. Senator, D-DE View Map']"
Cory Booker,https://images.c-span.org/Files/dbe/20190624233522001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001288"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Cory Anthony Booker is an American politician serving as the junior United States Senator from New Jersey since 2013. The first African-American U.S. Senator from New Jersey, he was previously the 36th Mayor of Newark from 2006 to 2013. Wikipedia*', 'On the C-SPAN Networks:Cory Booker has 279 videos in the C-SPAN Video Library; the first appearance was a 2000 Call-In as a Member for Newark, NJ in the City Council']","['U.S. Senator, D-NJ View Map', 'Mayor, Newark, NJD', 'President, Newark Now', 'Member, Newark, NJ, City Council', 'Mayoral Candidate, Newark, NJ']"
Steve Bullock,https://images.c-span.org/Files/ff2/20190517210516002_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,,"['On the C-SPAN Networks:Steve Bullock is a Governor for Montana with 37 videos in the C-SPAN Video Library; the first appearance was a 2011 Forum as an Attorney General for Montana. The year with the most videos was 2019 with 10 videos as a Chair for the Democratic Governors Association. Most appearances with Gary R. Herbert (12), Brian E. Sandoval (9), John W. Hickenlooper (7). Most common tags: Montana, Road to the White House, States.']","['Governor, MontanaD-Montana', 'Chair, Democratic Governors Association', 'Attorney General, MontanaD']"
Pete Buttigieg,https://images.c-span.org/Files/e28/20190622212152001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,,"['On the C-SPAN Networks:Pete Buttigieg is a Mayor for the South Bend, IN with 22 videos in the C-SPAN Video Library; the first appearance was a 2017 Forum. The year with the most videos was 2019 with 17 videos. Most appearances with Raymond Buckley (3), Stephen ""Steve"" K. Benjamin (3), Nan Whaley (3). Most common tags: Road to the White House, Presidential Nomination, Election 2020.']","['Mayor, South Bend, IND']"
Julian Castro,https://images.c-span.org/Files/fc6/20190622224716001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,,"[""On the C-SPAN Networks:Julian Castro was a Secretary for the Department of Housing and Urban Development with 50 videos in the C-SPAN Video Library; the first appearance was a 2011 Forum as a Mayor for the San Antonio, TX. The year with the most videos was 2015 with 15 videos. The year with the highest average number of views per program was 2012 with an average of 9,637 views per program. Most appearances with Barack Obama (6), Cory Booker (5), Beto O'Rourke (4). Most common tags: Road to the White House, Department of Housing and Urban Devlopment, Housing.""]","['Secretary, Department of Housing and Urban Development', 'Mayor, San Antonio, TXD']"
John K. Delaney,https://images.c-span.org/Files/26c/20190622223434001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000620"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","[""John Kevin Delaney is an American politician and businessman who was the United States Representative for Maryland's 6th congressional district from 2013 to 2019 and is running for President of the United States in 2020. He is a member of the Democratic Party. Wikipedia*"", ""On the C-SPAN Networks:John K. Delaney has 94 videos in the C-SPAN Video Library; the first appearance was a 2012 Debate as a U.S. Representative Candidate. The year with the most videos was 2013 with 23 videos. The year with the highest average number of views per program was 2016 with an average of 3,811 views per program. Most appearances with Beto O'Rourke (5), Tim Ryan (5), Jay Inslee (4). Most common tags: Democratic Party, Road to the White House, Presidential Nomination.""]","['U.S. Representative, D-MD 6th View Map', 'U.S. Representative Candidate, D-Maryland']"
Tulsi Gabbard,https://images.c-span.org/Files/793/20190629134208010_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000571"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","[""Tulsi Gabbard is an American politician serving as the U.S. Representative for Hawaii's 2nd congressional district since 2013. Following her election in 2012, she became the first Samoan American and Hindu member of the United States Congress. Wikipedia*"", ""On the C-SPAN Networks:Tulsi Gabbard has 236 videos in the C-SPAN Video Library; the first appearance was a 2012 Convention as a U.S. Representative Candidate. The year with the most videos was 2017 with 44 videos. Most appearances with Barbara Lee (6), Tim Ryan (6), Beto O'Rourke (5). Most common tags: Road to the White House, Democratic Party, House of Representatives.""]","['U.S. Representative, D-HI 2nd View Map', 'Veteran, Hawaii National Guard', 'U.S. Representative Candidate, D-2', 'State Representative, D-Hawaii']"
Kirsten E. Gillibrand,https://images.c-span.org/Files/991/20190622202610001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000555"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Kirsten Elizabeth Gillibrand is an American attorney and politician serving as the junior United States Senator from New York since 2009. A member of the Democratic Party, she previously served as a member of the U.S. Representative from 2007 to 2009. Wikipedia*', ""On the C-SPAN Networks:Kirsten E. Gillibrand has 353 videos in the C-SPAN Video Library; the first appearance was a 2007 House Proceeding as a Democratic Representative for New York's 20th district. The year with the most videos was 2017 with 46 videos. The year with the highest average number of views per program was 2016 with an average of 7,327 views per program. Most appearances with Chuck Schumer (13), Bernie Sanders (10), Elizabeth Warren (10). Most common tags: Road to the White House, Gender Issues, Kavanaugh, Brett.""]","['U.S. Senator, D-NY View Map', 'U.S. Representative, D-NY 20th View Map']"
Kamala D. Harris,https://images.c-span.org/Files/e2a/20190624210622001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001075"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Kamala Devi Harris is an American attorney and politician who is currently serving as the junior United States Senator from California since 2017. A member of the Democratic Party, she previously served as the 32nd Attorney General of California from 2011 to 2017, and as the 27th District Attorney of San Francisco from 2004 to 2011. Wikipedia*', 'On the C-SPAN Networks:Kamala D. Harris has 148 videos in the C-SPAN Video Library; the first appearance was a 2006 Forum as a District Attorney for the San Francisco, CA. The year with the most videos was 2017 with 57 videos. The year with the highest average number of views per program was 2012 with an average of 17,141 views per program as an Attorney General for California. Most appearances with Elizabeth Warren (9), Chuck Schumer (7), Cory Booker (7). Most common tags: Road to the White House, Election 2020, California.']","['U.S. Senator, D-CA View Map', 'District Attorney, San Francisco, CA', 'Attorney General, CaliforniaD', 'U.S. Senate Candidate, D-California']"
