diff	freq	year
-6	0	1951
-5.95	0	1951
-5.9	0	1951
-5.85	0	1951
-5.8	0	1951
-5.75	0	1951
-5.7	0	1951
-5.65	0	1951
-5.6	0	1951
-5.55	0	1951
-5.5	0	1951
-5.45	0	1951
-5.4	0	1951
-5.35	0	1951
-5.3	0	1951
-5.25	0	1951
-5.2	0	1951
-5.15	0	1951
-5.1	0	1951
-5.05	0	1951
-5	0	1951
-4.95	0	1951
-4.9	0	1951
-4.85	0	1951
-4.8	0	1951
-4.75	0	1951
-4.7	0	1951
-4.65	0	1951
-4.6	0	1951
-4.55	0	1951
-4.5	0	1951
-4.45	0	1951
-4.4	0	1951
-4.35	0	1951
-4.3	0	1951
-4.25	0	1951
-4.2	0	1951
-4.15	0	1951
-4.1	0	1951
-4.05	0	1951
-4	0	1951
-3.95	0	1951
-3.9	0	1951
-3.85	0.00026	1951
-3.8	0	1951
-3.75	0	1951
-3.7	0.00026	1951
-3.65	0	1951
-3.6	0.00121	1951
-3.55	0	1951
-3.5	0.00027	1951
-3.45	0.001	1951
-3.4	0.00032	1951
-3.35	0.00065	1951
-3.3	0.00095	1951
-3.25	0.00159	1951
-3.2	0.00247	1951
-3.15	0.00031	1951
-3.1	0.00202	1951
-3.05	0.00168	1951
-3	0.00436	1951
-2.95	0.00247	1951
-2.9	0.00297	1951
-2.85	0.00452	1951
-2.8	0.00532	1951
-2.75	0.00448	1951
-2.7	0.00472	1951
-2.65	0.00907	1951
-2.6	0.00919	1951
-2.55	0.0113	1951
-2.5	0.01113	1951
-2.45	0.00918	1951
-2.4	0.02129	1951
-2.35	0.02123	1951
-2.3	0.0225	1951
-2.25	0.02752	1951
-2.2	0.03178	1951
-2.15	0.03873	1951
-2.1	0.04189	1951
-2.05	0.05155	1951
-2	0.06356	1951
-1.95	0.06079	1951
-1.9	0.06148	1951
-1.85	0.07044	1951
-1.8	0.07994	1951
-1.75	0.0937	1951
-1.7	0.10167	1951
-1.65	0.10447	1951
-1.6	0.11974	1951
-1.55	0.12356	1951
-1.5	0.13176	1951
-1.45	0.14482	1951
-1.4	0.15082	1951
-1.35	0.16966	1951
-1.3	0.17646	1951
-1.25	0.18027	1951
-1.2	0.19277	1951
-1.15	0.18885	1951
-1.1	0.22425	1951
-1.05	0.23302	1951
-1	0.23694	1951
-0.95	0.26239	1951
-0.9	0.26485	1951
-0.85	0.29997	1951
-0.8	0.28802	1951
-0.75	0.32186	1951
-0.7	0.30743	1951
-0.65	0.32013	1951
-0.6	0.33387	1951
-0.55	0.35488	1951
-0.5	0.34662	1951
-0.45	0.34991	1951
-0.4	0.36872	1951
-0.35	0.38758	1951
-0.3	0.37281	1951
-0.25	0.39156	1951
-0.2	0.37716	1951
-0.15	0.40142	1951
-0.1	0.43318	1951
-0.05	0.37921	1951
0	0.40726	1951
0.05	0.41111	1951
0.1	0.41257	1951
0.15	0.38754	1951
0.2	0.38334	1951
0.25	0.39921	1951
0.3	0.39118	1951
0.35	0.36184	1951
0.4	0.386	1951
0.45	0.35429	1951
0.5	0.35119	1951
0.55	0.34021	1951
0.6	0.32256	1951
0.65	0.29618	1951
0.7	0.30412	1951
0.75	0.29495	1951
0.8	0.29287	1951
0.85	0.26346	1951
0.9	0.27045	1951
0.95	0.25486	1951
1	0.24565	1951
1.05	0.21327	1951
1.1	0.2075	1951
1.15	0.2095	1951
1.2	0.21642	1951
1.25	0.19196	1951
1.3	0.16514	1951
1.35	0.15686	1951
1.4	0.15327	1951
1.45	0.14407	1951
1.5	0.13715	1951
1.55	0.12475	1951
1.6	0.11536	1951
1.65	0.10524	1951
1.7	0.09169	1951
1.75	0.09386	1951
1.8	0.07536	1951
1.85	0.07698	1951
1.9	0.06725	1951
1.95	0.05818	1951
2	0.05628	1951
2.05	0.04765	1951
2.1	0.04792	1951
2.15	0.04207	1951
2.2	0.03005	1951
2.25	0.03451	1951
2.3	0.02358	1951
2.35	0.02209	1951
2.4	0.01843	1951
2.45	0.01811	1951
2.5	0.01106	1951
2.55	0.01483	1951
2.6	0.00755	1951
2.65	0.00909	1951
2.7	0.00703	1951
2.75	0.00643	1951
2.8	0.00679	1951
2.85	0.00782	1951
2.9	0.00516	1951
2.95	0.00671	1951
3	0.00611	1951
3.05	0.00483	1951
3.1	0.00438	1951
3.15	0.00228	1951
3.2	0.00046	1951
3.25	0.00232	1951
3.3	0.0006	1951
3.35	0.00113	1951
3.4	0.00025	1951
3.45	0.00054	1951
3.5	0.00053	1951
3.55	0	1951
3.6	0	1951
3.65	0	1951
3.7	0	1951
3.75	0	1951
3.8	0	1951
3.85	0	1951
3.9	0	1951
3.95	0	1951
4	0	1951
4.05	0	1951
4.1	0	1951
4.15	0	1951
4.2	0	1951
4.25	0	1951
4.3	0	1951
4.35	0	1951
4.4	0	1951
4.45	0	1951
4.5	0	1951
4.55	0	1951
4.6	0	1951
4.65	0	1951
4.7	0	1951
4.75	0	1951
4.8	0	1951
4.85	0	1951
4.9	0	1951
4.95	0	1951
5	0	1951
5.05	0	1951
5.1	0	1951
5.15	0	1951
5.2	0	1951
5.25	0	1951
5.3	0	1951
5.35	0	1951
5.4	0	1951
5.45	0	1951
5.5	0	1951
5.55	0	1951
5.6	0	1951
5.65	0	1951
5.7	0	1951
5.75	0	1951
5.8	0	1951
5.85	0	1951
5.9	0	1951
5.95	0	1951
6	0	1951
-6	0	1983
-5.95	0	1983
-5.9	0	1983
-5.85	0	1983
-5.8	0	1983
-5.75	0	1983
-5.7	0	1983
-5.65	0	1983
-5.6	0	1983
-5.55	0	1983
-5.5	0	1983
-5.45	0	1983
-5.4	0	1983
-5.35	0	1983
-5.3	0	1983
-5.25	0	1983
-5.2	0	1983
-5.15	0	1983
-5.1	0	1983
-5.05	0	1983
-5	0	1983
-4.95	0	1983
-4.9	0	1983
-4.85	0	1983
-4.8	0	1983
-4.75	0	1983
-4.7	0	1983
-4.65	0	1983
-4.6	0.00083	1983
-4.55	0	1983
-4.5	0	1983
-4.45	0	1983
-4.4	0	1983
-4.35	0	1983
-4.3	0	1983
-4.25	0.0008	1983
-4.2	0	1983
-4.15	0.0008	1983
-4.1	0.00247	1983
-4.05	0.00077	1983
-4	0	1983
-3.95	0	1983
-3.9	0	1983
-3.85	0	1983
-3.8	0.00148	1983
-3.75	0.00159	1983
-3.7	0.00159	1983
-3.65	0.00237	1983
-3.6	0.00242	1983
-3.55	0.00253	1983
-3.5	0.00096	1983
-3.45	0.00384	1983
-3.4	0.00156	1983
-3.35	0.00515	1983
-3.3	0.00216	1983
-3.25	0.00239	1983
-3.2	0.00408	1983
-3.15	0.01034	1983
-3.1	0.00721	1983
-3.05	0	1983
-3	0.00525	1983
-2.95	0.00826	1983
-2.9	0.00549	1983
-2.85	0.00694	1983
-2.8	0.01385	1983
-2.75	0.01106	1983
-2.7	0.01342	1983
-2.65	0.01458	1983
-2.6	0.01383	1983
-2.55	0.01229	1983
-2.5	0.0111	1983
-2.45	0.01907	1983
-2.4	0.02681	1983
-2.35	0.02481	1983
-2.3	0.03158	1983
-2.25	0.02642	1983
-2.2	0.04061	1983
-2.15	0.03844	1983
-2.1	0.04526	1983
-2.05	0.0548	1983
-2	0.03864	1983
-1.95	0.04893	1983
-1.9	0.05845	1983
-1.85	0.06364	1983
-1.8	0.05385	1983
-1.75	0.07227	1983
-1.7	0.06682	1983
-1.65	0.07325	1983
-1.6	0.08237	1983
-1.55	0.08261	1983
-1.5	0.09263	1983
-1.45	0.09872	1983
-1.4	0.08593	1983
-1.35	0.09589	1983
-1.3	0.12789	1983
-1.25	0.10656	1983
-1.2	0.1177	1983
-1.15	0.12561	1983
-1.1	0.15617	1983
-1.05	0.13698	1983
-1	0.16347	1983
-0.95	0.16916	1983
-0.9	0.14594	1983
-0.85	0.17059	1983
-0.8	0.16377	1983
-0.75	0.19663	1983
-0.7	0.19289	1983
-0.65	0.21273	1983
-0.6	0.21873	1983
-0.55	0.19912	1983
-0.5	0.23499	1983
-0.45	0.27751	1983
-0.4	0.24228	1983
-0.35	0.2781	1983
-0.3	0.27849	1983
-0.25	0.24311	1983
-0.2	0.28265	1983
-0.15	0.26129	1983
-0.1	0.32239	1983
-0.05	0.32579	1983
0	0.28937	1983
0.05	0.34654	1983
0.1	0.33551	1983
0.15	0.30742	1983
0.2	0.36536	1983
0.25	0.33214	1983
0.3	0.36235	1983
0.35	0.35736	1983
0.4	0.37754	1983
0.45	0.35641	1983
0.5	0.3553	1983
0.55	0.35171	1983
0.6	0.31938	1983
0.65	0.3174	1983
0.7	0.33119	1983
0.75	0.29944	1983
0.8	0.29248	1983
0.85	0.28305	1983
0.9	0.3158	1983
0.95	0.29504	1983
1	0.29674	1983
1.05	0.28418	1983
1.1	0.27771	1983
1.15	0.26863	1983
1.2	0.22627	1983
1.25	0.25743	1983
1.3	0.28186	1983
1.35	0.21473	1983
1.4	0.22317	1983
1.45	0.2105	1983
1.5	0.2268	1983
1.55	0.1987	1983
1.6	0.20828	1983
1.65	0.16692	1983
1.7	0.17843	1983
1.75	0.16383	1983
1.8	0.14061	1983
1.85	0.15755	1983
1.9	0.13717	1983
1.95	0.14838	1983
2	0.11939	1983
2.05	0.11349	1983
2.1	0.1037	1983
2.15	0.14674	1983
2.2	0.12114	1983
2.25	0.10706	1983
2.3	0.1095	1983
2.35	0.1101	1983
2.4	0.09871	1983
2.45	0.0805	1983
2.5	0.08033	1983
2.55	0.08259	1983
2.6	0.08042	1983
2.65	0.0673	1983
2.7	0.04983	1983
2.75	0.05758	1983
2.8	0.04814	1983
2.85	0.06125	1983
2.9	0.04801	1983
2.95	0.05338	1983
3	0.03678	1983
3.05	0.04597	1983
3.1	0.02263	1983
3.15	0.02241	1983
3.2	0.02749	1983
3.25	0.0342	1983
3.3	0.03112	1983
3.35	0.02952	1983
3.4	0.0195	1983
3.45	0.01553	1983
3.5	0.02455	1983
3.55	0.01815	1983
3.6	0.01576	1983
3.65	0.01734	1983
3.7	0.01439	1983
3.75	0.01349	1983
3.8	0.02298	1983
3.85	0.01147	1983
3.9	0.01608	1983
3.95	0.00683	1983
4	0.00889	1983
4.05	0.00673	1983
4.1	0.01143	1983
4.15	0.00242	1983
4.2	0.00194	1983
4.25	0.00609	1983
4.3	0.00173	1983
4.35	0.0062	1983
4.4	0.00425	1983
4.45	0.0054	1983
4.5	0.00381	1983
4.55	0.00392	1983
4.6	0.00569	1983
4.65	0.00258	1983
4.7	0	1983
4.75	0.0029	1983
4.8	0.00286	1983
4.85	0.00289	1983
4.9	0.00188	1983
4.95	0.00336	1983
5	0.00286	1983
5.05	0.00342	1983
5.1	0	1983
5.15	0.00105	1983
5.2	0.00215	1983
5.25	0	1983
5.3	0.00239	1983
5.35	0.00266	1983
5.4	0.00096	1983
5.45	0.00097	1983
5.5	0	1983
5.55	0.00247	1983
5.6	0.00092	1983
5.65	0.00097	1983
5.7	0	1983
5.75	0	1983
5.8	0	1983
5.85	0	1983
5.9	0	1983
5.95	0.00182	1983
6	0.00188	1983
-6	0	1994
-5.95	0	1994
-5.9	0	1994
-5.85	0	1994
-5.8	0	1994
-5.75	0	1994
-5.7	0	1994
-5.65	0	1994
-5.6	0	1994
-5.55	0	1994
-5.5	0	1994
-5.45	0	1994
-5.4	0	1994
-5.35	0	1994
-5.3	0	1994
-5.25	0	1994
-5.2	0	1994
-5.15	0	1994
-5.1	0	1994
-5.05	0	1994
-5	0	1994
-4.95	0	1994
-4.9	0	1994
-4.85	0	1994
-4.8	0	1994
-4.75	0	1994
-4.7	0	1994
-4.65	0	1994
-4.6	0	1994
-4.55	0	1994
-4.5	0	1994
-4.45	0	1994
-4.4	0	1994
-4.35	0	1994
-4.3	0	1994
-4.25	0	1994
-4.2	0	1994
-4.15	0	1994
-4.1	0	1994
-4.05	0	1994
-4	0	1994
-3.95	0	1994
-3.9	0	1994
-3.85	0	1994
-3.8	0	1994
-3.75	0	1994
-3.7	0	1994
-3.65	0	1994
-3.6	0	1994
-3.55	0	1994
-3.5	0	1994
-3.45	0.00089	1994
-3.4	0.00207	1994
-3.35	0	1994
-3.3	0	1994
-3.25	0	1994
-3.2	0	1994
-3.15	0	1994
-3.1	0	1994
-3.05	0	1994
-3	0	1994
-2.95	0.00142	1994
-2.9	0	1994
-2.85	0.00052	1994
-2.8	0.00449	1994
-2.75	0.00295	1994
-2.7	0.00843	1994
-2.65	0.00714	1994
-2.6	0.00647	1994
-2.55	0.00671	1994
-2.5	0.00993	1994
-2.45	0.00268	1994
-2.4	0.00728	1994
-2.35	0.00917	1994
-2.3	0.00634	1994
-2.25	0.00711	1994
-2.2	0.00559	1994
-2.15	0.01077	1994
-2.1	0.00813	1994
-2.05	0.01415	1994
