Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018,change
138 St-Grand    Concourse,54,The Bronx,363,3222.0,3416.0,3480.0,3532.0,3486,3166,-320
149 St-Grand    Concourse,542,The Bronx,116,14380.0,14576.0,14465.0,14460.0,14063,13081,-982
161 St-Yankee    Stadium,4DB,The Bronx,43,26972.0,27541.0,27020.0,26947.0,26674,26034,-640
167 St,4,The Bronx,167,9904.0,9793.0,9923.0,9972.0,9466,9398,-68
167 St *,DB,The Bronx,242,9374.0,9906.0,10166.0,10439.0,10223,6342,-3881
170 St,4,The Bronx,187,9525.0,9403.0,9507.0,9514.0,8910,8140,-770
170 St,DB,The Bronx,191,6563.0,6988.0,7101.0,7225.0,7089,7913,824
174 St,52,The Bronx,228,7339.0,7599.0,7619.0,7690.0,7466,6751,-715
174-175 Sts  *,DB,The Bronx,356,4885.0,5301.0,5312.0,5519.0,5475,3221,-2254
176 St,4,The Bronx,259,5905.0,5914.0,6160.0,6378.0,6232,5807,-425
182-183 Sts,DB,The Bronx,296,4554.0,4813.0,5020.0,5177.0,4990,4752,-238
183 St,4,The Bronx,262,6360.0,6356.0,6372.0,6443.0,6271,5754,-517
219 St,52,The Bronx,350,3483.0,3544.0,3529.0,3423.0,3439,3335,-104
225 St,52,The Bronx,324,4479.0,4593.0,4591.0,4408.0,4340,3961,-379
231 St,1,The Bronx,154,8951.0,9372.0,9596.0,9749.0,9774,10287,513
233 St,52,The Bronx,291,5473.0,5701.0,5632.0,5438.0,5138,4864,-274
238 St  *,1,The Bronx,354,3598.0,3934.0,4068.0,4350.0,4370,3225,-1145
3 Av-138 St,6,The Bronx,192,7667.0,7951.0,7994.0,8008.0,8114,7801,-313
3 Av-149 St,52,The Bronx,58,24001.0,25161.0,24813.0,24808.0,24228,22357,-1871
Allerton Av,52,The Bronx,283,5526.0,5737.0,5779.0,5530.0,5403,5144,-259
Baychester Av,5,The Bronx,340,4177.0,4196.0,4090.0,4064.0,3846,3551,-295
Bedford Park    Blvd,DB,The Bronx,237,6303.0,6645.0,7046.0,7236.0,7066,6419,-647
Bedford Park    Blvd-Lehman College,4,The Bronx,282,6201.0,6089.0,6040.0,5912.0,5649,5170,-479
Bronx Park    East,52,The Bronx,382,2959.0,3005.0,2868.0,2785.0,2676,2498,-178
Brook Av,6,The Bronx,252,6186.0,6312.0,6244.0,6226.0,6118,6040,-78
Buhre Av *,6,The Bronx,332,3718.0,2155.0,2237.0,3568.0,3701,3744,43
Burke Av,52,The Bronx,352,3612.0,3672.0,3644.0,3550.0,3466,3234,-232
Burnside Av,4,The Bronx,156,11560.0,11538.0,11551.0,11479.0,11079,10231,-848
Castle Hill Av *,6,The Bronx,234,5632.0,4938.0,7174.0,6895.0,6756,6483,-273
Cypress Av,6,The Bronx,336,3842.0,3984.0,3974.0,4099.0,3972,3651,-321
East 143    St-St Mary's St,6,The Bronx,416,911.0,927.0,989.0,1043.0,953,1019,66
East 149 St,6,The Bronx,292,4580.0,4619.0,4647.0,4861.0,4899,4842,-57
East 180 St,52,The Bronx,213,7003.0,7489.0,7587.0,7697.0,7691,7175,-516
Eastchester-Dyre    Av,5,The Bronx,309,4948.0,4948.0,4845.0,4769.0,4647,4506,-141
Elder Av,6,The Bronx,243,6377.0,6496.0,6543.0,6642.0,6605,6323,-282
Fordham Rd,4,The Bronx,153,12558.0,12231.0,11982.0,11957.0,11503,10395,-1108
Fordham Rd,DB,The Bronx,134,11878.0,12363.0,12145.0,12208.0,12054,11361,-693
Freeman St,52,The Bronx,313,4762.0,4867.0,4899.0,5055.0,4984,4451,-533
Gun Hill Rd,52,The Bronx,223,7339.0,7752.0,7790.0,7714.0,7639,6930,-709
Gun Hill Rd,5,The Bronx,274,6002.0,6038.0,5880.0,5886.0,5654,5362,-292
Hunts Point    Av,6,The Bronx,150,10144.0,10111.0,10484.0,10651.0,10646,10460,-186
Intervale Av,52,The Bronx,364,3420.0,3571.0,3472.0,3423.0,3377,3130,-247
Jackson Av,52,The Bronx,278,5432.0,5631.0,5705.0,5752.0,5766,5288,-478
Kingsbridge    Rd,4,The Bronx,171,10431.0,10231.0,10107.0,9998.0,9783,8992,-791
Kingsbridge    Rd,DB,The Bronx,190,7422.0,7975.0,8006.0,8144.0,8237,7922,-315
Longwood Av,6,The Bronx,346,3494.0,3531.0,3482.0,3517.0,3518,3395,-123
Middletown Rd *,6,The Bronx,395,1514.0,2273.0,2726.0,2066.0,2102,2036,-66
Morris Park,5,The Bronx,385,2210.0,2253.0,2319.0,2487.0,2527,2417,-110
Morrison    Av-Soundview,6,The Bronx,239,6588.0,6669.0,6628.0,6755.0,6742,6361,-381
Mosholu Pkwy,4,The Bronx,185,9588.0,9459.0,9252.0,9135.0,8770,8195,-575
Mt Eden Av,4,The Bronx,276,5995.0,5891.0,5817.0,5770.0,5512,5337,-175
Nereid Av,52,The Bronx,344,3878.0,3850.0,3817.0,3753.0,3631,3437,-194
Norwood-205    St,D,The Bronx,181,8043.0,8466.0,8640.0,8897.0,8751,8429,-322
Parkchester,6,The Bronx,90,16614.0,17746.0,16572.0,16561.0,16310,15660,-650
Pelham Bay    Park,6,The Bronx,219,6772.0,7442.0,7432.0,7213.0,7185,7001,-184
Pelham Pkwy,52,The Bronx,180,9614.0,9688.0,9774.0,9441.0,9173,8472,-701
Pelham Pkwy,5,The Bronx,367,3254.0,3304.0,3303.0,3332.0,3237,3083,-154
Prospect Av,52,The Bronx,217,7424.0,7857.0,7908.0,8004.0,7704,7038,-666
Simpson St,52,The Bronx,178,9672.0,9948.0,9981.0,9680.0,9446,8477,-969
St Lawrence    Av,6,The Bronx,321,3995.0,4099.0,4185.0,4187.0,4196,4040,-156
Tremont Av,DB,The Bronx,152,9157.0,9727.0,9980.0,10246.0,10055,10398,343
Van Cortlandt    Park-242 St,1,The Bronx,193,6943.0,7107.0,7338.0,7431.0,7396,7742,346
Wakefield-241    St*,2,The Bronx,295,4825.0,5168.0,5186.0,5213.0,5129,4763,-366
West Farms    Sq-East Tremont Av,52,The Bronx,226,7979.0,8170.0,8010.0,7848.0,7657,6866,-791
Westchester    Sq-East Tremont Av,6,The Bronx,249,6820.0,7351.0,6912.0,6635.0,6479,6097,-382
Whitlock Av,6,The Bronx,399,1685.0,1707.0,1737.0,1830.0,1905,1894,-11
Woodlawn,4,The Bronx,222,7776.0,7683.0,7637.0,7623.0,7260,6937,-323
"Zerega Av
*",6,The Bronx,379,3253.0,2012.0,1647.0,2629.0,2664,2629,-35
18 Av,D,Brooklyn,248,6162.0,6326.0,6242.0,6413.0,6196,6136,-60
18 Av,F,Brooklyn,325,4204.0,4050.0,4458.0,4440.0,4318,3947,-371
18 Av *,N,Brooklyn,366,5092.0,5491.0,5502.0,2266.0,3107,3097,-10
20 Av,D,Brooklyn,288,4859.0,4930.0,5115.0,5268.0,5009,4905,-104
20 Av*,N,Brooklyn,341,4190.0,4277.0,4223.0,1348.0,2139,3514,1375
25 Av,D,Brooklyn,284,4607.0,4761.0,4886.0,6507.0,5790,5083,-707
25 St,R,Brooklyn,331,3821.0,3959.0,3847.0,3788.0,4547,3755,-792
36 St,RND,Brooklyn,111,12059.0,12497.0,12810.0,13180.0,13894,13493,-401
4 Av  /9    St,RGF,Brooklyn,123,13156.0,12835.0,13126.0,13116.0,13962,12560,-1402
45 St,R,Brooklyn,209,6978.0,7208.0,7265.0,7055.0,7877,7205,-672
50 St,D,Brooklyn,359,3308.0,3289.0,3220.0,3336.0,3236,3195,-41
53 St  *,R,Brooklyn,200,7479.0,7512.0,7458.0,7386.0,3788,7565,3777
55 St,D,Brooklyn,388,1964.0,1981.0,2002.0,2223.0,2106,2185,79
59 St,RN,Brooklyn,126,12506.0,12871.0,13048.0,13144.0,16759,12301,-4458
7 Av,QB,Brooklyn,157,9389.0,9495.0,9641.0,9731.0,10270,10210,-60
7 Av,GF,Brooklyn,131,12268.0,12242.0,12049.0,11897.0,11801,11636,-165
71 St,D,Brooklyn,267,4538.0,4682.0,4802.0,6501.0,5905,5607,-298
77 St,R,Brooklyn,266,5353.0,5548.0,5608.0,5720.0,6746,5612,-1134
79 St,D,Brooklyn,245,6293.0,6617.0,6755.0,6973.0,6565,6177,-388
8 Av,N,Brooklyn,133,10873.0,11341.0,11430.0,14201.0,12514,11474,-1040
86 St *,N,Brooklyn,397,2515.0,2622.0,2718.0,1298.0,1534,1928,394
86 St,R,Brooklyn,136,11648.0,11920.0,11963.0,12078.0,11742,11338,-404
9 Av,D,Brooklyn,275,5857.0,6004.0,5856.0,5867.0,5471,5344,-127
Alabama Av,J,Brooklyn,389,2443.0,2448.0,2520.0,2585.0,2424,2147,-277
Atlantic Av *,L,Brooklyn,400,1580.0,1725.0,1384.0,1455.0,1821,1842,21
"Atlantic Av-Barclays  Ctr (,,,,,,
,,)",5432RQNDB,Brooklyn,19,39871.0,41645.0,42231.0,42711.0,42095,43211,1116
Avenue H,Q,Brooklyn,345,2861.0,2961.0,2994.0,3183.0,3329,3418,89
Avenue I *,F,Brooklyn,414,2283.0,2250.0,2235.0,1962.0,1111,1096,-15
Avenue J,Q,Brooklyn,250,6036.0,6060.0,6009.0,6136.0,6154,6058,-96
Avenue M,Q,Brooklyn,255,5836.0,5903.0,5869.0,6052.0,6094,6001,-93
Avenue N *,F,Brooklyn,392,3411.0,3419.0,3410.0,3187.0,2217,2087,-130
Avenue P *,F,Brooklyn,408,2757.0,2767.0,2804.0,2688.0,1821,1710,-111
Avenue U *,N,Brooklyn,380,3738.0,3857.0,3894.0,1399.0,2285,2627,342
Avenue U,Q,Brooklyn,203,6821.0,6922.0,6975.0,7384.0,7391,7323,-68
Avenue X *,F,Brooklyn,378,2972.0,2859.0,1928.0,2424.0,2508,2662,154
Bay 50 St,D,Brooklyn,377,2793.0,2875.0,2872.0,3176.0,2926,2674,-252
Bay Pkwy,D,Brooklyn,194,7111.0,7322.0,7501.0,8069.0,7837,7719,-118
Bay Pkwy *,F,Brooklyn,421,1575.0,1516.0,1491.0,1329.0,729,623,-106
Bay Pkwy,N,Brooklyn,206,6990.0,7301.0,7164.0,10955.0,9328,7261,-2067
Bay Ridge Av *,R,Brooklyn,208,8079.0,8283.0,8379.0,8415.0,4173,7236,3063
Bay Ridge-95    St,R,Brooklyn,258,5974.0,6051.0,6101.0,6090.0,5969,5812,-157
Bedford Av,L,Brooklyn,39,25755.0,27224.0,27132.0,27486.0,27783,26603,-1180
Bedford-Nostrand    Avs,G,Brooklyn,173,7300.0,7778.0,8197.0,8487.0,8741,8821,80
Bergen St,32,Brooklyn,335,4070.0,3923.0,3823.0,3884.0,3853,3653,-200
Bergen St,GF,Brooklyn,137,11562.0,11570.0,11548.0,11529.0,11306,11174,-132
Beverley Rd*,Q,Brooklyn,349,2340.0,2690.0,2894.0,3059.0,3267,3350,83
Beverly Rd,52,Brooklyn,319,4375.0,4447.0,4457.0,4464.0,4384,4255,-129
Brighton    Beach,QB,Brooklyn,128,12185.0,12498.0,12794.0,13035.0,12587,12065,-522
Broadway,G,Brooklyn,312,3368.0,3500.0,4011.0,4340.0,4452,4467,15
Broadway    Junction,ZLJCA,Brooklyn,186,8863.0,9149.0,9251.0,9189.0,8681,8142,-539
Bushwick    Av-Aberdeen St,L,Brooklyn,394,1509.0,1683.0,1874.0,2105.0,2112,2079,-33
Canarsie-Rockaway    Pkwy,L,Brooklyn,130,13254.0,13512.0,13481.0,13131.0,12661,11947,-714
