Event_Address,Event_Crowd,Event_Date,Event_Title,properties.name,Name,Slug,AnnounceDate,Bio,IMG,Official Bio,Description,Titles,geometry.coordinates,geometry.type,place,properties.color,properties_color,properties.group_name,properties.group_id,properties.headline,properties.article
"836 Kilbourne Rd, Columbia, SC 29205-2050, United States", 7,05/31/2019,Meet & Greet with Sen. Michael Bennet,Michael Bennet,Michael Bennet,personid[]=1031622,05/02/2019,michaelbennet,https://images.c-span.org/Files/6de/20190623005652001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001267"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Michael Farrand Bennet is an American businessman, lawyer, and politician serving as the senior United States Senator from Colorado, a seat he has held since 2009. A member of the Democratic Party, he was appointed to the seat when Ken Salazar resigned to become Secretary of the Interior. Wikipedia*', 'On the C-SPAN Networks:Michael Bennet has 372 videos in the C-SPAN Video Library; the first appearance was a 2009 Senate Highlight. The year with the most videos was 2017 with 71 videos. The year with the highest average number of views per program was 2011 with an average of 10,895 views per program. Most appearances with Chuck Schumer (11), Dick Durbin (7), Bob Menendez (7). Most common tags: Colorado, Immigration, Senate.']","['U.S. Senator, D-CO View Map']","[-80.9859094, 33.9998961]",Point,"836 Kilbourne Rd, Columbia, SC 29205-2050, United States",3bd01fa,3bd01fa,Michael Bennet,1,Meet & Greet with Sen. Michael Bennet,"    <div id='IMG'><img src=https://images.c-span.org/Files/6de/20190623005652001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg></div>    <h1 style='font-family:helvetica;font-size:45px'>Michael Bennet</h1>    <div id='headline'><h2 style='font-family:helvetica;font-size:30px;border-bottom: 5px solid 3bd01fa'>Meet & Greet with Sen. Michael Bennet</h2></div>    <p style='font-size:20px;'><b>Location:</b> 836 Kilbourne Rd, Columbia, SC 29205-2050, United States</p>    <p style='font-size:20px;'><b>Crowd size:</b>  7 people</p>    <p style='font-size:20px;'><b>Announcement Date:</b> Michael Bennet announced their campaign on 05/02/2019.</p>    <p style='font-size:20px;'><b>Description:</b>['Michael Farrand Bennet is an American businessman, lawyer, and politician serving as the senior United States Senator from Colorado, a seat he has held since 2009. A member of the Democratic Party, he was appointed to the seat when Ken Salazar resigned to become Secretary of the Interior. Wikipedia*', 'On the C-SPAN Networks:Michael Bennet has 372 videos in the C-SPAN Video Library; the first appearance was a 2009 Senate Highlight. The year with the most videos was 2017 with 71 videos. The year with the highest average number of views per program was 2011 with an average of 10,895 views per program. Most appearances with Chuck Schumer (11), Dick Durbin (7), Bob Menendez (7). Most common tags: Colorado, Immigration, Senate.']"
"2510 NE 12th Ct, Ankeny, IA 50021-7441, United States", 9,05/05/2019,House Party with Sen. Michael Bennet,Michael Bennet,Michael Bennet,personid[]=1031622,05/02/2019,michaelbennet,https://images.c-span.org/Files/6de/20190623005652001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001267"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Michael Farrand Bennet is an American businessman, lawyer, and politician serving as the senior United States Senator from Colorado, a seat he has held since 2009. A member of the Democratic Party, he was appointed to the seat when Ken Salazar resigned to become Secretary of the Interior. Wikipedia*', 'On the C-SPAN Networks:Michael Bennet has 372 videos in the C-SPAN Video Library; the first appearance was a 2009 Senate Highlight. The year with the most videos was 2017 with 71 videos. The year with the highest average number of views per program was 2011 with an average of 10,895 views per program. Most appearances with Chuck Schumer (11), Dick Durbin (7), Bob Menendez (7). Most common tags: Colorado, Immigration, Senate.']","['U.S. Senator, D-CO View Map']","[-93.5649396, 41.7395946]",Point,"2510 NE 12th Ct, Ankeny, IA 50021-7441, United States",3bd01fa,3bd01fa,Michael Bennet,1,House Party with Sen. Michael Bennet,"    <div id='IMG'><img src=https://images.c-span.org/Files/6de/20190623005652001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg></div>    <h1 style='font-family:helvetica;font-size:45px'>Michael Bennet</h1>    <div id='headline'><h2 style='font-family:helvetica;font-size:30px;border-bottom: 5px solid 3bd01fa'>House Party with Sen. Michael Bennet</h2></div>    <p style='font-size:20px;'><b>Location:</b> 2510 NE 12th Ct, Ankeny, IA 50021-7441, United States</p>    <p style='font-size:20px;'><b>Crowd size:</b>  9 people</p>    <p style='font-size:20px;'><b>Announcement Date:</b> Michael Bennet announced their campaign on 05/02/2019.</p>    <p style='font-size:20px;'><b>Description:</b>['Michael Farrand Bennet is an American businessman, lawyer, and politician serving as the senior United States Senator from Colorado, a seat he has held since 2009. A member of the Democratic Party, he was appointed to the seat when Ken Salazar resigned to become Secretary of the Interior. Wikipedia*', 'On the C-SPAN Networks:Michael Bennet has 372 videos in the C-SPAN Video Library; the first appearance was a 2009 Senate Highlight. The year with the most videos was 2017 with 71 videos. The year with the highest average number of views per program was 2011 with an average of 10,895 views per program. Most appearances with Chuck Schumer (11), Dick Durbin (7), Bob Menendez (7). Most common tags: Colorado, Immigration, Senate.']"
"M.H. Newton Family Life Enrichment Center 415 Manning Ave. Sumter, SC 29150", 3,07/06/2019,"Sumter, SC: Community Event with Joe Biden",Joe Biden Jr.,Joe Biden Jr.,personid[]=34,04/25/2019,josephbiden,https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000444"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']","['U.S. Vice President, United StatesD', 'U.S. Senator, D-DE View Map']","[-80.34026999999999, 33.90585]",Point,"M.H. Newton Family Life Enrichment Center 415 Manning Ave. Sumter, SC 29150",#cf4b16,#cf4b16,Joe Biden Jr.,2,"Sumter, SC: Community Event with Joe Biden","    <div id='IMG'><img src=https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg></div>    <h1 style='font-family:helvetica;font-size:45px'>Joe Biden Jr.</h1>    <div id='headline'><h2 style='font-family:helvetica;font-size:30px;border-bottom: 5px solid #cf4b16'>Sumter, SC: Community Event with Joe Biden</h2></div>    <p style='font-size:20px;'><b>Location:</b> M.H. Newton Family Life Enrichment Center 415 Manning Ave. Sumter, SC 29150</p>    <p style='font-size:20px;'><b>Crowd size:</b>  3 people</p>    <p style='font-size:20px;'><b>Announcement Date:</b> Joe Biden Jr. announced their campaign on 04/25/2019.</p>    <p style='font-size:20px;'><b>Description:</b>['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']"
"Edisto Fork United Methodist Church 356 Lariot Road Orangeburg, SC 29115", 12,07/06/2019,"Orangeburg, SC: Community Event with Joe Biden",Joe Biden Jr.,Joe Biden Jr.,personid[]=34,04/25/2019,josephbiden,https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000444"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']","['U.S. Vice President, United StatesD', 'U.S. Senator, D-DE View Map']","[-80.94124099999999, 33.4598862]",Point,"Edisto Fork United Methodist Church 356 Lariot Road Orangeburg, SC 29115",#cf4b16,#cf4b16,Joe Biden Jr.,2,"Orangeburg, SC: Community Event with Joe Biden","    <div id='IMG'><img src=https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg></div>    <h1 style='font-family:helvetica;font-size:45px'>Joe Biden Jr.</h1>    <div id='headline'><h2 style='font-family:helvetica;font-size:30px;border-bottom: 5px solid #cf4b16'>Orangeburg, SC: Community Event with Joe Biden</h2></div>    <p style='font-size:20px;'><b>Location:</b> Edisto Fork United Methodist Church 356 Lariot Road Orangeburg, SC 29115</p>    <p style='font-size:20px;'><b>Crowd size:</b>  12 people</p>    <p style='font-size:20px;'><b>Announcement Date:</b> Joe Biden Jr. announced their campaign on 04/25/2019.</p>    <p style='font-size:20px;'><b>Description:</b>['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']"
"International Longshoremen’s Association Hall 1142 Morrison Dr Charleston, SC 29403",,07/07/2019,"Charleston, SC: Town Hall with Joe Biden and State Sen. Marlon K",Joe Biden Jr.,Joe Biden Jr.,personid[]=34,04/25/2019,josephbiden,https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000444"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']","['U.S. Vice President, United StatesD', 'U.S. Senator, D-DE View Map']","[-79.9485121, 32.8117674]",Point,"International Longshoremen’s Association Hall 1142 Morrison Dr Charleston, SC 29403",#cf4b16,#cf4b16,Joe Biden Jr.,2,"Charleston, SC: Town Hall with Joe Biden and State Sen. Marlon K","    <div id='IMG'><img src=https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg></div>    <h1 style='font-family:helvetica;font-size:45px'>Joe Biden Jr.</h1>    <div id='headline'><h2 style='font-family:helvetica;font-size:30px;border-bottom: 5px solid #cf4b16'>Charleston, SC: Town Hall with Joe Biden and State Sen. Marlon K</h2></div>    <p style='font-size:20px;'><b>Location:</b> International Longshoremen’s Association Hall 1142 Morrison Dr Charleston, SC 29403</p>    <p style='font-size:20px;'><b>Crowd size:</b> nan people</p>    <p style='font-size:20px;'><b>Announcement Date:</b> Joe Biden Jr. announced their campaign on 04/25/2019.</p>    <p style='font-size:20px;'><b>Description:</b>['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']"
"Best Western Regency Inn, Marshalltown, IA", 89,07/04/2019,"Marshalltown, IA: Community Event with Joe and Jill Biden",Joe Biden Jr.,Joe Biden Jr.,personid[]=34,04/25/2019,josephbiden,https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000444"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']","['U.S. Vice President, United StatesD', 'U.S. Senator, D-DE View Map']","[-92.9138151, 42.0060498]",Point,"Best Western Regency Inn, Marshalltown, IA",#cf4b16,#cf4b16,Joe Biden Jr.,2,"Marshalltown, IA: Community Event with Joe and Jill Biden","    <div id='IMG'><img src=https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg></div>    <h1 style='font-family:helvetica;font-size:45px'>Joe Biden Jr.</h1>    <div id='headline'><h2 style='font-family:helvetica;font-size:30px;border-bottom: 5px solid #cf4b16'>Marshalltown, IA: Community Event with Joe and Jill Biden</h2></div>    <p style='font-size:20px;'><b>Location:</b> Best Western Regency Inn, Marshalltown, IA</p>    <p style='font-size:20px;'><b>Crowd size:</b>  89 people</p>    <p style='font-size:20px;'><b>Announcement Date:</b> Joe Biden Jr. announced their campaign on 04/25/2019.</p>    <p style='font-size:20px;'><b>Description:</b>['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']"
"209 5th Ave. NE Independence, IA 50644", 19,07/04/2019,March with Joe Biden in the Independence 4th of July Pa,Joe Biden Jr.,Joe Biden Jr.,personid[]=34,04/25/2019,josephbiden,https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000444"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']","['U.S. Vice President, United StatesD', 'U.S. Senator, D-DE View Map']","[-91.8901212, 42.4701597]",Point,"209 5th Ave. NE Independence, IA 50644",#cf4b16,#cf4b16,Joe Biden Jr.,2,March with Joe Biden in the Independence 4th of July Pa,"    <div id='IMG'><img src=https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg></div>    <h1 style='font-family:helvetica;font-size:45px'>Joe Biden Jr.</h1>    <div id='headline'><h2 style='font-family:helvetica;font-size:30px;border-bottom: 5px solid #cf4b16'>March with Joe Biden in the Independence 4th of July Pa</h2></div>    <p style='font-size:20px;'><b>Location:</b> 209 5th Ave. NE Independence, IA 50644</p>    <p style='font-size:20px;'><b>Crowd size:</b>  19 people</p>    <p style='font-size:20px;'><b>Announcement Date:</b> Joe Biden Jr. announced their campaign on 04/25/2019.</p>    <p style='font-size:20px;'><b>Description:</b>['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']"
"UAW Local 838, Waterloo, IA", 354,07/03/2019,"Waterloo, IA: Community Event with Joe and Jill Biden",Joe Biden Jr.,Joe Biden Jr.,personid[]=34,04/25/2019,josephbiden,https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000444"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']","['U.S. Vice President, United StatesD', 'U.S. Senator, D-DE View Map']","[-92.32124209999999, 42.4746482]",Point,"UAW Local 838, Waterloo, IA",#cf4b16,#cf4b16,Joe Biden Jr.,2,"Waterloo, IA: Community Event with Joe and Jill Biden","    <div id='IMG'><img src=https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg></div>    <h1 style='font-family:helvetica;font-size:45px'>Joe Biden Jr.</h1>    <div id='headline'><h2 style='font-family:helvetica;font-size:30px;border-bottom: 5px solid #cf4b16'>Waterloo, IA: Community Event with Joe and Jill Biden</h2></div>    <p style='font-size:20px;'><b>Location:</b> UAW Local 838, Waterloo, IA</p>    <p style='font-size:20px;'><b>Crowd size:</b>  354 people</p>    <p style='font-size:20px;'><b>Announcement Date:</b> Joe Biden Jr. announced their campaign on 04/25/2019.</p>    <p style='font-size:20px;'><b>Description:</b>['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']"
"Ames Public Library, Rotary Room 515 Douglas Ave. Ames, IA 50010", 39,06/29/2019,Meet and Greet with Dr. Jill Biden,Joe Biden Jr.,Joe Biden Jr.,personid[]=34,04/25/2019,josephbiden,https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000444"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']","['U.S. Vice President, United StatesD', 'U.S. Senator, D-DE View Map']","[-93.61251159999999, 42.0263983]",Point,"Ames Public Library, Rotary Room 515 Douglas Ave. Ames, IA 50010",#cf4b16,#cf4b16,Joe Biden Jr.,2,Meet and Greet with Dr. Jill Biden,"    <div id='IMG'><img src=https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg></div>    <h1 style='font-family:helvetica;font-size:45px'>Joe Biden Jr.</h1>    <div id='headline'><h2 style='font-family:helvetica;font-size:30px;border-bottom: 5px solid #cf4b16'>Meet and Greet with Dr. Jill Biden</h2></div>    <p style='font-size:20px;'><b>Location:</b> Ames Public Library, Rotary Room 515 Douglas Ave. Ames, IA 50010</p>    <p style='font-size:20px;'><b>Crowd size:</b>  39 people</p>    <p style='font-size:20px;'><b>Announcement Date:</b> Joe Biden Jr. announced their campaign on 04/25/2019.</p>    <p style='font-size:20px;'><b>Description:</b>['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']"
"State Historical Museum of Iowa 600 E. Locust St. Des Moines, IA 50319", 42,06/28/2019,Meet and Greet with Dr. Jill Biden,Joe Biden Jr.,Joe Biden Jr.,personid[]=34,04/25/2019,josephbiden,https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg,"<a href=""http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000444"" target=""_blank"">Official Bio <i class=""icon-new-tab""></i></a>","['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']","['U.S. Vice President, United StatesD', 'U.S. Senator, D-DE View Map']","[-93.60904599999999, 41.590626]",Point,"State Historical Museum of Iowa 600 E. Locust St. Des Moines, IA 50319",#cf4b16,#cf4b16,Joe Biden Jr.,2,Meet and Greet with Dr. Jill Biden,"    <div id='IMG'><img src=https://images.c-span.org/Files/993/20190624234258001_hd.jpg/Thumbs/height.200.no_border.width.200.jpg></div>    <h1 style='font-family:helvetica;font-size:45px'>Joe Biden Jr.</h1>    <div id='headline'><h2 style='font-family:helvetica;font-size:30px;border-bottom: 5px solid #cf4b16'>Meet and Greet with Dr. Jill Biden</h2></div>    <p style='font-size:20px;'><b>Location:</b> State Historical Museum of Iowa 600 E. Locust St. Des Moines, IA 50319</p>    <p style='font-size:20px;'><b>Crowd size:</b>  42 people</p>    <p style='font-size:20px;'><b>Announcement Date:</b> Joe Biden Jr. announced their campaign on 04/25/2019.</p>    <p style='font-size:20px;'><b>Description:</b>['Joseph Robinette Biden Jr. is an American politician who served as the 47th vice president of the United States from 2009 to 2017. A member of the Democratic Party, he represented Delaware in the U.S. Senate from 1973 to 2009. Wikipedia*', 'On the C-SPAN Networks:Joe Biden Jr. has 1,561 videos in the C-SPAN Video Library; the first appearance was a 1983 Forum as a Democratic Senator for Delaware. The year with the most videos was 1991 with 101 videos. The year with the highest average number of views per program was 2017 with an average of 5,775 views per program. Most appearances with Barack Obama (121), Jill Biden (35), Hillary Clinton (33). Most common tags: Road to the White House, Democratic Party, Obama.']"
