LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,"Flag Codes"
Australia,ALCOHOL,TOT,LT_CAP15,A,2000,10.2,
Australia,ALCOHOL,TOT,LT_CAP15,A,2001,10,
Australia,ALCOHOL,TOT,LT_CAP15,A,2002,10.4,
Australia,ALCOHOL,TOT,LT_CAP15,A,2003,10.3,
Australia,ALCOHOL,TOT,LT_CAP15,A,2004,10.5,
Australia,ALCOHOL,TOT,LT_CAP15,A,2005,10.5,
Australia,ALCOHOL,TOT,LT_CAP15,A,2006,10.8,
Australia,ALCOHOL,TOT,LT_CAP15,A,2007,10.8,
Australia,ALCOHOL,TOT,LT_CAP15,A,2008,10.6,
Australia,ALCOHOL,TOT,LT_CAP15,A,2009,10.5,
Korea,ALCOHOL,TOT,LT_CAP15,A,2000,8.9,
Korea,ALCOHOL,TOT,LT_CAP15,A,2001,8.5,
Korea,ALCOHOL,TOT,LT_CAP15,A,2002,9.2,
Korea,ALCOHOL,TOT,LT_CAP15,A,2003,9.3,
Korea,ALCOHOL,TOT,LT_CAP15,A,2004,9.3,
Korea,ALCOHOL,TOT,LT_CAP15,A,2005,9,
Korea,ALCOHOL,TOT,LT_CAP15,A,2006,9.2,
Korea,ALCOHOL,TOT,LT_CAP15,A,2007,9.3,
Korea,ALCOHOL,TOT,LT_CAP15,A,2008,9.5,
Korea,ALCOHOL,TOT,LT_CAP15,A,2009,8.9,
Estonia,ALCOHOL,TOT,LT_CAP15,A,2000,7.9,
Estonia,ALCOHOL,TOT,LT_CAP15,A,2001,9.2,
Estonia,ALCOHOL,TOT,LT_CAP15,A,2002,12,B
Estonia,ALCOHOL,TOT,LT_CAP15,A,2003,11.8,
Estonia,ALCOHOL,TOT,LT_CAP15,A,2004,11.5,
Estonia,ALCOHOL,TOT,LT_CAP15,A,2005,13,
Estonia,ALCOHOL,TOT,LT_CAP15,A,2006,13.4,
Estonia,ALCOHOL,TOT,LT_CAP15,A,2007,14.8,
Estonia,ALCOHOL,TOT,LT_CAP15,A,2008,14.2,
Estonia,ALCOHOL,TOT,LT_CAP15,A,2009,11.9,
Indonesia,ALCOHOL,TOT,LT_CAP15,A,2000,1.8,
Indonesia,ALCOHOL,TOT,LT_CAP15,A,2001,1.8,
Indonesia,ALCOHOL,TOT,LT_CAP15,A,2002,1.8,
Indonesia,ALCOHOL,TOT,LT_CAP15,A,2003,2,
Indonesia,ALCOHOL,TOT,LT_CAP15,A,2004,1.5,
Indonesia,ALCOHOL,TOT,LT_CAP15,A,2005,1.2,
Indonesia,ALCOHOL,TOT,LT_CAP15,A,2006,1.4,
Indonesia,ALCOHOL,TOT,LT_CAP15,A,2007,1.5,
Indonesia,ALCOHOL,TOT,LT_CAP15,A,2008,1.8,
Indonesia,ALCOHOL,TOT,LT_CAP15,A,2009,2.2,
Colombia,ALCOHOL,TOT,LT_CAP15,A,2000,4.4,
Colombia,ALCOHOL,TOT,LT_CAP15,A,2001,4.2,
Colombia,ALCOHOL,TOT,LT_CAP15,A,2002,4.2,
Colombia,ALCOHOL,TOT,LT_CAP15,A,2003,4.1,
Colombia,ALCOHOL,TOT,LT_CAP15,A,2004,4.1,
Colombia,ALCOHOL,TOT,LT_CAP15,A,2005,4.2,
Colombia,ALCOHOL,TOT,LT_CAP15,A,2006,4.4,
Colombia,ALCOHOL,TOT,LT_CAP15,A,2007,4.5,
Colombia,ALCOHOL,TOT,LT_CAP15,A,2008,4.3,
Colombia,ALCOHOL,TOT,LT_CAP15,A,2009,4.2,
