Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepted,Number of Intercepts,Number of Incriminating  Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related,,
"ALABAMA, MIDDLE",2010-6,ALBRITTON,BLANCO,NARCOTICS,WC,D,40232.0,30,0,30,INSTALLED AND USED,30.0,90.0,35.0,2693.0,726.0,20109.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2010,6
"ALABAMA, MIDDLE",2012-12,ALBRITTON,HULSER,NARCOTICS,WS,H,41229.0,30,0,30,INSTALLED AND USED,9.0,23.0,12.0,204.0,101.0,20918.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2012,12
"ALABAMA, MIDDLE",2013-6,ALBRITTON,O'BRIEN,NARCOTICS,WS,H,41304.0,30,0,30,INSTALLED AND USED,29.0,6.0,14.0,183.0,101.0,26453.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2013,6
"ALABAMA, MIDDLE",2013-7,ALBRITTON,BLANCO,NARCOTICS,"TX,WC",D,41353.0,30,1,60,INSTALLED AND USED,30.0,41.0,272.0,1240.0,171.0,38504.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2013,7
"ALABAMA, MIDDLE",2014-1,ALBRITTON,BITKOWER,NARCOTICS,WC,D,41711.0,30,1,60,INSTALLED AND USED,60.0,16.0,28.0,978.0,978.0,214053.0,7723.0,16.0,0.0,4.0,0.0,0.0,0.0,,,2014,1
"ALABAMA, MIDDLE",2014-2,ALBRITTON,O'BRIEN,NARCOTICS,WC,D,41747.0,30,0,30,INSTALLED AND USED,18.0,27.0,52.0,482.0,154.0,26002.0,850.0,2.0,0.0,0.0,0.0,0.0,0.0,,,2014,2
"ALABAMA, MIDDLE",2014-3,ALBRITTON,O'BRIEN,NARCOTICS,WC,D,41751.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,3
"ALABAMA, MIDDLE",2014-4,ALBRITTON,BLANCO,NARCOTICS,WC,D,41754.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,4
"ALABAMA, MIDDLE",2014-5,ALBRITTON,O'BRIEN,NARCOTICS,WC,D,41782.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,5
"ALABAMA, MIDDLE",2014-6,ALBRITTON,O'BRIEN,NARCOTICS,WC,D,41782.0,30,0,30,INSTALLED AND USED,30.0,9.0,5.0,273.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2014-1,RELATED TO NO. 2014-1,2014,6
"ALABAMA, MIDDLE",2014-7,ALBRITTON,BITKOWER,NARCOTICS,"WC,TX",D,41836.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,7
"ALABAMA, NORTHERN",2013-25,BOWDRE,O'BRIEN,NARCOTICS,WC,D,41327.0,30,0,30,INSTALLED AND USED,29.0,353.0,312.0,10228.0,796.0,36660.0,642.0,50.0,0.0,0.0,0.0,0.0,0.0,,,2013,25
"ALABAMA, NORTHERN",2013-26,BOWDRE,O'BRIEN,NARCOTICS,WC,D,41345.0,30,0,30,INSTALLED AND USED,29.0,633.0,527.0,18361.0,1730.0,36643.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-25,2013,26
"ALABAMA, NORTHERN",2013-27,COOGLER,O'BRIEN,NARCOTICS,WC,D,41361.0,30,0,30,INSTALLED AND USED,29.0,16.0,16.0,477.0,86.0,20240.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-30,2013,27
"ALABAMA, NORTHERN",2013-28,BOWDRE,SWARTZ,NARCOTICS,WC,D,41361.0,30,1,60,INSTALLED AND USED,58.0,72.0,295.0,4176.0,401.0,75036.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-25,2013,28
"ALABAMA, NORTHERN",2013-29,BOWDRE,O'BRIEN,NARCOTICS,WC,D,41367.0,30,0,30,INSTALLED AND USED,29.0,431.0,151.0,12499.0,269.0,35678.0,2178.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-25,2013,29
"ALABAMA, NORTHERN",2013-30,COOGLER,BLANCO,NARCOTICS,WC,D,41382.0,30,0,30,INSTALLED AND USED,29.0,67.0,42.0,1945.0,277.0,63386.0,1286.0,6.0,1.0,0.0,1.0,0.0,1.0,,,2013,30
"ALABAMA, NORTHERN",2013-31,COOGLER,BLANCO,NARCOTICS,WC,D,41390.0,30,0,30,INSTALLED AND USED,13.0,14.0,8.0,185.0,67.0,16971.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-30,2013,31
"ALABAMA, NORTHERN",2013-32,HOPKINS,BITKOWER,NARCOTICS,"WC,TX",D,41410.0,30,0,30,INSTALLED AND USED,29.0,17.0,48.0,504.0,21.0,26774.0,646.0,6.0,0.0,0.0,0.0,0.0,0.0,,,2013,32
"ALABAMA, NORTHERN",2013-33,KALLON,BITKOWER,NARCOTICS,WC,D,41429.0,30,1,60,INSTALLED AND USED,51.0,75.0,174.0,3810.0,228.0,64600.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-34,2013,33
"ALABAMA, NORTHERN",2013-34,KALLON,BLANCO,NARCOTICS,TX,D,41451.0,30,0,30,INSTALLED AND USED,30.0,127.0,174.0,3810.0,228.0,38510.0,1250.0,5.0,0.0,0.0,0.0,0.0,0.0,,,2013,34
"ALABAMA, NORTHERN",2013-35,BOWDRE,O'BRIEN,NARCOTICS,"TX,WC",D,41479.0,30,0,30,INSTALLED AND USED,30.0,126.0,215.0,3784.0,111.0,26450.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-25,2013,35
"ALABAMA, NORTHERN",2013-36,KALLON,BLANCO,NARCOTICS,"TX,WC",D,41501.0,30,0,30,INSTALLED AND USED,18.0,5.0,18.0,94.0,8.0,23606.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2013,36
"ALABAMA, NORTHERN",2013-37,KALLON,O'BRIEN,NARCOTICS,"TX,WC",D,41536.0,30,0,30,INSTALLED AND USED,13.0,33.0,52.0,434.0,28.0,32690.0,2750.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2013,37
"ALABAMA, NORTHERN",2014-1,PROCTOR,BITKOWER,NARCOTICS,"WC,TX",D,41816.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,1
"ALABAMA, NORTHERN",2014-2,PROCTOR,O'NEIL,NARCOTICS,"WC,TX",D,41858.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,2
"ALABAMA, NORTHERN",2014-3,PROCTOR,O'BRIEN,NARCOTICS,WC,D,41886.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,3
"ALABAMA, NORTHERN",2014-4,BLACKBURN,O'BRIEN,NARCOTICS,WC,D,41913.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,4
"ALABAMA, NORTHERN",2014-5,PROCTOR,BITKOWER,NARCOTICS,"WC,TX",D,41922.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,5
"ALABAMA, NORTHERN",2014-6,BOWDRE,O'BRIEN,NARCOTICS,"WC,TX",D,41946.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,6
"ALABAMA, SOUTHERN",2014-1,GRANADE,BLANCO,NARCOTICS,"WC,TX",R,41899.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,1
"ALABAMA, SOUTHERN",2014-2,GRANADE,BLANCO,NARCOTICS,"WC,TX",R,41899.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,2
"ALABAMA, SOUTHERN",2014-3,GRANADE,BLANCO,NARCOTICS,"WC,TX",R,41904.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,3
ALASKA,2014-1,GLEASON,BITKOWER,NARCOTICS,WC,D,41781.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,1
ARIZONA,2011-33,CAMPBELL,BLANCO,CORRUPTION,WC,D,40864.0,30,0,30,INSTALLED AND USED,21.0,19.0,20.0,401.0,28.0,80004.0,2570.0,2.0,0.0,0.0,0.0,0.0,2.0,,,2011,33
ARIZONA,2012-78,CAMPBELL,BROWN,CORRUPTION,WC,D,40899.0,30,0,30,INSTALLED AND USED,15.0,73.0,20.0,1098.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2011-33,RELATED TO NO. 2011-33,2012,78
