Year,Age,ASFR_jp,ASFR_us
1947,12,0.00000,0.00000
1947,13,0.00000,0.00026
1947,14,0.00005,0.00396
1947,15,0.00039,0.01150
1947,16,0.00184,0.03111
1947,17,0.00732,0.06562
1947,18,0.02168,0.10991
1947,19,0.04583,0.15668
1947,20,0.08737,0.18776
1947,21,0.13156,0.20254
1947,22,0.17261,0.21111
1947,23,0.21863,0.21482
1947,24,0.24590,0.20257
1947,25,0.26763,0.19465
1947,26,0.27645,0.18807
1947,27,0.28147,0.17192
1947,28,0.26676,0.15515
1947,29,0.26808,0.14600
1947,30,0.25786,0.13497
1947,31,0.24879,0.11539
1947,32,0.23521,0.10990
1947,33,0.22387,0.09651
1947,34,0.20644,0.08585
1947,35,0.19409,0.07419
1947,36,0.17484,0.06565
1947,37,0.15631,0.05609
1947,38,0.13912,0.04734
1947,39,0.12186,0.03790
1947,40,0.09917,0.02848
1947,41,0.07233,0.01882
1947,42,0.05446,0.01536
1947,43,0.03479,0.00956
1947,44,0.02156,0.00552
1947,45,0.01190,0.00301
1947,46,0.00616,0.00158
1947,47,0.00341,0.00084
1947,48,0.00222,0.00030
1947,49,0.00198,0.00015
1947,50,0.00149,0.00005
1947,51,0.00111,0.00003
1947,52,0.00084,0.00003
1947,53,0.00068,0.00002
1947,54,0.00052,0.00004
1947,55,0.00182,0.00009
1948,12,0.00000,0.00000
1948,13,0.00000,0.00028
1948,14,0.00006,0.00445
1948,15,0.00042,0.01278
1948,16,0.00224,0.03490
1948,17,0.00881,0.06987
1948,18,0.02452,0.11551
1948,19,0.05506,0.15356
1948,20,0.09828,0.18316
1948,21,0.14788,0.19529
1948,22,0.19405,0.19791
1948,23,0.23462,0.20368
1948,24,0.25955,0.19571
1948,25,0.26754,0.17960
1948,26,0.27134,0.17242
1948,27,0.26313,0.16214
1948,28,0.25801,0.15256
1948,29,0.24015,0.13048
1948,30,0.23618,0.12759
1948,31,0.22232,0.10681
1948,32,0.21407,0.10053
1948,33,0.20118,0.08875
1948,34,0.18979,0.08059
1948,35,0.17626,0.06924
1948,36,0.16519,0.05941
1948,37,0.14966,0.05140
1948,38,0.13422,0.04640
1948,39,0.11765,0.03471
1948,40,0.09845,0.02711
1948,41,0.07715,0.01802
1948,42,0.05407,0.01453
1948,43,0.03605,0.00898
1948,44,0.02041,0.00511
1948,45,0.01053,0.00291
1948,46,0.00562,0.00137
1948,47,0.00289,0.00067
1948,48,0.00162,0.00042
1948,49,0.00125,0.00014
1948,50,0.00081,0.00004
1948,51,0.00060,0.00003
1948,52,0.00053,0.00002
1948,53,0.00035,0.00002
1948,54,0.00026,0.00003
1948,55,0.00080,0.00006
1949,12,0.00000,0.00000
1949,13,0.00000,0.00028
1949,14,0.00005,0.00447
1949,15,0.00040,0.01337
1949,16,0.00223,0.03650
1949,17,0.00801,0.07179
1949,18,0.02257,0.11546
1949,19,0.04952,0.15811
1949,20,0.09608,0.18023
1949,21,0.14137,0.19633
1949,22,0.19146,0.20066
1949,23,0.23686,0.20196
1949,24,0.25853,0.19873
1949,25,0.27393,0.18604
1949,26,0.27746,0.17059
1949,27,0.27667,0.16075
1949,28,0.26853,0.15508
1949,29,0.26009,0.13853
1949,30,0.23770,0.12339
1949,31,0.23047,0.10906
1949,32,0.21321,0.09951
1949,33,0.19831,0.08711
1949,34,0.18237,0.07897
1949,35,0.16821,0.06924
1949,36,0.15025,0.05868
1949,37,0.13604,0.04930
1949,38,0.12001,0.04479
1949,39,0.10067,0.03562
1949,40,0.08303,0.02637
1949,41,0.06477,0.01774
1949,42,0.04580,0.01402
1949,43,0.02833,0.00883
1949,44,0.01609,0.00514
1949,45,0.00798,0.00286
1949,46,0.00386,0.00138
1949,47,0.00217,0.00066
1949,48,0.00132,0.00035
1949,49,0.00072,0.00022
1949,50,0.00034,0.00009
1949,51,0.00033,0.00005
1949,52,0.00019,0.00002
1949,53,0.00017,0.00001
1949,54,0.00010,0.00000
1949,55,0.00028,0.00000
1950,12,0.00000,0.00000
1950,13,0.00000,0.00028
1950,14,0.00005,0.00447
1950,15,0.00026,0.01352
1950,16,0.00170,0.03703
1950,17,0.00666,0.07172
1950,18,0.01779,0.11510
1950,19,0.04153,0.15479
1950,20,0.07886,0.18146
1950,21,0.12643,0.19010
1950,22,0.16798,0.20032
1950,23,0.20887,0.20139
1950,24,0.23497,0.19416
1950,25,0.24419,0.19099
1950,26,0.24782,0.17433
1950,27,0.24160,0.15789
1950,28,0.23463,0.15620
1950,29,0.22173,0.14072
1950,30,0.21046,0.12892
1950,31,0.18652,0.10621
1950,32,0.17886,0.10302
1950,33,0.16129,0.08695
1950,34,0.14883,0.07876
1950,35,0.13255,0.06938
1950,36,0.11920,0.05909
1950,37,0.10404,0.04924
1950,38,0.09139,0.04311
1950,39,0.07746,0.03460
1950,40,0.06198,0.02699
1950,41,0.04730,0.01695
1950,42,0.03309,0.01408
1950,43,0.02091,0.00855
1950,44,0.01147,0.00484
1950,45,0.00554,0.00271
1950,46,0.00264,0.00126
1950,47,0.00120,0.00056
1950,48,0.00076,0.00029
1950,49,0.00054,0.00018
1950,50,0.00027,0.00008
1950,51,0.00017,0.00004
1950,52,0.00015,0.00002
1950,53,0.00014,0.00001
1950,54,0.00007,0.00000
1950,55,0.00014,0.00000
1951,12,0.00000,0.00000
1951,13,0.00000,0.00027
1951,14,0.00002,0.00447
1951,15,0.00023,0.01423
1951,16,0.00112,0.03862
1951,17,0.00497,0.07681
1951,18,0.01492,0.12411
1951,19,0.03332,0.16999
1951,20,0.06715,0.19518
1951,21,0.10540,0.21032
1951,22,0.15121,0.21264
1951,23,0.18653,0.21450
1951,24,0.21060,0.20784
1951,25,0.22523,0.20007
1951,26,0.22693,0.18767
1951,27,0.22320,0.16805
1951,28,0.21465,0.16333
1951,29,0.20754,0.14589
1951,30,0.19164,0.13309
1951,31,0.17745,0.11734
1951,32,0.15758,0.10473
1951,33,0.14771,0.09202
1951,34,0.13128,0.08009
1951,35,0.11751,0.07135
1951,36,0.10292,0.06149
1951,37,0.09073,0.05114
1951,38,0.07619,0.04389
1951,39,0.06388,0.03473
1951,40,0.05159,0.02756
1951,41,0.03838,0.01853
1951,42,0.02661,0.01370
1951,43,0.01661,0.00869
1951,44,0.00932,0.00506
1951,45,0.00406,0.00263
1951,46,0.00188,0.00134
1951,47,0.00089,0.00055
1951,48,0.00046,0.00029
1951,49,0.00034,0.00014
1951,50,0.00021,0.00009
1951,51,0.00007,0.00006
1951,52,0.00007,0.00003
1951,53,0.00009,0.00001
1951,54,0.00005,0.00000
1951,55,0.00008,0.00000
1952,12,0.00000,0.00000
1952,13,0.00000,0.00026
1952,14,0.00002,0.00428
1952,15,0.00017,0.01341
1952,16,0.00093,0.03811
1952,17,0.00377,0.07568
1952,18,0.01177,0.12429
1952,19,0.02824,0.17066
1952,20,0.05658,0.20076
1952,21,0.09593,0.21443
1952,22,0.13498,0.22457
1952,23,0.17988,0.21856
1952,24,0.19906,0.21410
1952,25,0.21256,0.20646
1952,26,0.21750,0.19296
1952,27,0.21071,0.17691
1952,28,0.20451,0.17018
1952,29,0.19212,0.15150
1952,30,0.18073,0.13857
1952,31,0.16271,0.12058
1952,32,0.14887,0.11525
1952,33,0.12897,0.09400
1952,34,0.11773,0.08478
1952,35,0.10288,0.07234
1952,36,0.08976,0.06274
1952,37,0.07645,0.05405
1952,38,0.06472,0.04605
1952,39,0.05251,0.03662
1952,40,0.04170,0.02743
1952,41,0.03135,0.01851
1952,42,0.02046,0.01488
1952,43,0.01311,0.00863
1952,44,0.00713,0.00506
1952,45,0.00360,0.00271
1952,46,0.00142,0.00133
1952,47,0.00078,0.00055
1952,48,0.00042,0.00029
1952,49,0.00022,0.00019
1952,50,0.00018,0.00010
1952,51,0.00011,0.00005
1952,52,0.00009,0.00003
1952,53,0.00006,0.00001
1952,54,0.00004,0.00000
1952,55,0.00008,0.00000
1953,12,0.00000,0.00000
1953,13,0.00000,0.00028
1953,14,0.00004,0.00444
1953,15,0.00015,0.01365
1953,16,0.00076,0.03874
1953,17,0.00315,0.07805
1953,18,0.00948,0.12895
1953,19,0.02387,0.17836
1953,20,0.05049,0.20799
1953,21,0.08442,0.22163
1953,22,0.12772,0.22714
1953,23,0.16402,0.23180
1953,24,0.19271,0.21544
1953,25,0.20161,0.21155
1953,26,0.20305,0.19500
1953,27,0.19995,0.17806
1953,28,0.18772,0.17222
1953,29,0.17741,0.15529
1953,30,0.16286,0.13894
1953,31,0.14877,0.11921
1953,32,0.13311,0.11521
1953,33,0.11740,0.09981
1953,34,0.10017,0.08381
1953,35,0.08964,0.07550
1953,36,0.07661,0.06320
1953,37,0.06528,0.05386
1953,38,0.05345,0.04695
1953,39,0.04336,0.03656
1953,40,0.03295,0.02811
1953,41,0.02483,0.01878
1953,42,0.01657,0.01462
1953,43,0.01023,0.00941
1953,44,0.00557,0.00492
1953,45,0.00264,0.00259
1953,46,0.00126,0.00127
1953,47,0.00062,0.00059
1953,48,0.00034,0.00025
1953,49,0.00020,0.00011
1953,50,0.00017,0.00008
1953,51,0.00010,0.00005
1953,52,0.00006,0.00003
1953,53,0.00006,0.00001
1953,54,0.00004,0.00000
1953,55,0.00010,0.00000
1954,12,0.00000,0.00000
1954,13,0.00000,0.00031
1954,14,0.00001,0.00494
1954,15,0.00012,0.01463
1954,16,0.00068,0.04056
1954,17,0.00260,0.07933
1954,18,0.00818,0.13041
1954,19,0.02038,0.18566
1954,20,0.04439,0.21676
1954,21,0.07968,0.23429
1954,22,0.11641,0.24136
1954,23,0.16022,0.23844
1954,24,0.18167,0.23171
1954,25,0.19778,0.21480
1954,26,0.19419,0.19926
1954,27,0.18849,0.18390
1954,28,0.17717,0.17449
1954,29,0.16327,0.16042
1954,30,0.15053,0.14562
1954,31,0.13465,0.12219
1954,32,0.12140,0.11625
1954,33,0.10618,0.10179
1954,34,0.09206,0.09068
1954,35,0.07688,0.07533
1954,36,0.06717,0.06693
1954,37,0.05566,0.05454
1954,38,0.04636,0.04793
1954,39,0.03667,0.03827
1954,40,0.02816,0.02887
1954,41,0.01987,0.01962
1954,42,0.01342,0.01494
1954,43,0.00824,0.00923
1954,44,0.00447,0.00519
1954,45,0.00219,0.00254
1954,46,0.00103,0.00130
1954,47,0.00059,0.00057
1954,48,0.00022,0.00026
1954,49,0.00016,0.00014
1954,50,0.00010,0.00008
1954,51,0.00007,0.00005
1954,52,0.00003,0.00003
1954,53,0.00005,0.00001
1954,54,0.00003,0.00000
1954,55,0.00007,0.00000
1955,12,0.00000,0.00000
1955,13,0.00000,0.00027
1955,14,0.00001,0.00457
1955,15,0.00007,0.01479
1955,16,0.00054,0.04038
1955,17,0.00251,0.08006
1955,18,0.00725,0.12962
1955,19,0.01859,0.18681
1955,20,0.04068,0.22241
1955,21,0.07297,0.24150
1955,22,0.11497,0.24862
1955,23,0.15422,0.24631
1955,24,0.18410,0.23452
1955,25,0.19198,0.22505
1955,26,0.19883,0.19917
1955,27,0.18580,0.18400
1955,28,0.17379,0.17697
1955,29,0.15895,0.15862
1955,30,0.14195,0.14610
1955,31,0.12614,0.12403
1955,32,0.11190,0.11564
1955,33,0.09825,0.10018
1955,34,0.08331,0.08976
1955,35,0.07099,0.07974
1955,36,0.05807,0.06425
1955,37,0.04934,0.05603
1955,38,0.03956,0.04765
1955,39,0.03132,0.03853
1955,40,0.02380,0.02909
1955,41,0.01708,0.01949
1955,42,0.01135,0.01480
1955,43,0.00685,0.00912
1955,44,0.00370,0.00510
1955,45,0.00174,0.00275
1955,46,0.00088,0.00114
1955,47,0.00037,0.00053
1955,48,0.00025,0.00024
1955,49,0.00013,0.00012
1955,50,0.00011,0.00005
1955,51,0.00008,0.00003
1955,52,0.00005,0.00002
1955,53,0.00003,0.00001
1955,54,0.00003,0.00000
1955,55,0.00005,0.00000
1956,12,0.00000,0.00000
1956,13,0.00000,0.00028
1956,14,0.00001,0.00460
1956,15,0.00008,0.01485
1956,16,0.00047,0.04340
1956,17,0.00204,0.08374
1956,18,0.00679,0.13816
1956,19,0.01656,0.19641
1956,20,0.03865,0.23266
1956,21,0.06893,0.25396
1956,22,0.10734,0.26123
1956,23,0.15173,0.25762
1956,24,0.17829,0.24547
1956,25,0.19509,0.23223
1956,26,0.19168,0.21121
1956,27,0.18582,0.18274
1956,28,0.16631,0.18046
1956,29,0.14916,0.16104
1956,30,0.13219,0.14684
1956,31,0.11408,0.12596
1956,32,0.10047,0.11890
1956,33,0.08583,0.10041
1956,34,0.07374,0.08881
1956,35,0.06183,0.07949
1956,36,0.05093,0.06844
1956,37,0.04088,0.05429
1956,38,0.03425,0.05071
1956,39,0.02686,0.03623
1956,40,0.02019,0.02942
1956,41,0.01446,0.01963
1956,42,0.00953,0.01497
1956,43,0.00584,0.00934
1956,44,0.00306,0.00528
1956,45,0.00147,0.00267
1956,46,0.00069,0.00127
1956,47,0.00036,0.00047
1956,48,0.00019,0.00021
1956,49,0.00009,0.00011
1956,50,0.00009,0.00005
1956,51,0.00004,0.00003
1956,52,0.00004,0.00002
1956,53,0.00002,0.00001
1956,54,0.00003,0.00000
1956,55,0.00003,0.00000
1957,12,0.00000,0.00000
1957,13,0.00000,0.00028
1957,14,0.00001,0.00457
1957,15,0.00005,0.01502
1957,16,0.00045,0.04357
1957,17,0.00174,0.08739
1957,18,0.00548,0.14135
1957,19,0.01543,0.20286
1957,20,0.03314,0.23729
1957,21,0.06395,0.25958
1957,22,0.09985,0.26932
1957,23,0.13840,0.26610
1957,24,0.17228,0.25244
1957,25,0.18426,0.23967
1957,26,0.18949,0.21434
1957,27,0.17710,0.19571
1957,28,0.16377,0.17842
1957,29,0.14127,0.16504
1957,30,0.12259,0.14869
