acousticness,analysis_url,artist_followers,artist_genres,artist_name,artist_popularity,danceability,duration_ms,energy,error,id,instrumentalness,key,liveness,loudness,lyrics,lyrics_url,mode,song_album,song_explicit,song_id,song_popularity,song_preview_url,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
0.258,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,15222067,"['emo rap', 'miami hip hop']",XXXTENTACION,91,0.74,166606,0.613,"{'status': 401, 'message': 'Invalid access token'}",3ee8Jmje8o58CHK66QrVC2,0.00372,8,0.123,-4.88,"  [intro: shiloh dynasty] i know you so well, so well i mean, i can do anything that he can i've been pretty—  [bridge: xxxtentacion & shiloh dynasty] i know you're somewhere, somewhere i've been trapped in my mind, girl, just holding on i don't wanna pretend we're something, we're nothing i've been stuck thinking 'bout her, i can't hold on (i'll be feeling)  [verse: xxxtentacion] i'm in pain, wanna put ten shots in my brain i've been trippin' 'bout some things, can't change suicidal, same time i'm tame picture this, in bed, get a phone call girl that you fucked with killed herself that was this summer when nobody helped and ever since then, man, i hate myself wanna fuckin' end it, pessimistic all wanna see me with no pot to piss in but niggas been excited 'bout the grave i'm diggin' havin' conversations 'bout my haste decisions fuckin' sickenin'; at the same time memories surface through the grapevine 'bout my uncle playin' with a slip knot post-traumatic stress got me fucked up been fucked up since the couple months they had a nigga locked up  [chorus: xxxtentacion & shiloh dynasty] i'll be feelin' pain, i'll be feelin' pain just to hold on and i don't feel the same, i'm so numb i'll be feelin' pain, i'll be feelin' pain just to hold on and i don't feel the same, i'm so numb  [outro: shiloh dynasty] i know you so well (i know you, girl) i mean, i can do better than he can i've been pretty— i know you so well  ",https://api.spotify.com/v1/Xxxtentacion-jocelyn-flores-lyrics,1,17,True,7m9OqQk4RVRkw9JJdeAw96,84,https://p.scdn.co/mp3-preview/9fd5ccc86f318c303d582800e9f7d6f07f40440b?cid=774b29d4f13844c495f206cafdad9c86,Jocelyn Flores,0.145,75.023,4,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,audio_features,spotify:track:3ee8Jmje8o58CHK66QrVC2,0.473
0.258,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,15222067,"['emo rap', 'miami hip hop']",XXXTENTACION,91,0.74,166606,0.613,"{'status': 401, 'message': 'Invalid access token'}",3ee8Jmje8o58CHK66QrVC2,0.00372,8,0.123,-4.88,"  [intro: shiloh dynasty] i know you so well, so well i mean, i can do anything that he can i've been pretty—  [bridge: xxxtentacion & shiloh dynasty] i know you're somewhere, somewhere i've been trapped in my mind, girl, just holding on i don't wanna pretend we're something, we're nothing i've been stuck thinking 'bout her, i can't hold on (i'll be feeling)  [verse: xxxtentacion] i'm in pain, wanna put ten shots in my brain i've been trippin' 'bout some things, can't change suicidal, same time i'm tame picture this, in bed, get a phone call girl that you fucked with killed herself that was this summer when nobody helped and ever since then, man, i hate myself wanna fuckin' end it, pessimistic all wanna see me with no pot to piss in but niggas been excited 'bout the grave i'm diggin' havin' conversations 'bout my haste decisions fuckin' sickenin'; at the same time memories surface through the grapevine 'bout my uncle playin' with a slip knot post-traumatic stress got me fucked up been fucked up since the couple months they had a nigga locked up  [chorus: xxxtentacion & shiloh dynasty] i'll be feelin' pain, i'll be feelin' pain just to hold on and i don't feel the same, i'm so numb i'll be feelin' pain, i'll be feelin' pain just to hold on and i don't feel the same, i'm so numb  [outro: shiloh dynasty] i know you so well (i know you, girl) i mean, i can do better than he can i've been pretty— i know you so well  ",https://api.spotify.com/v1/Xxxtentacion-jocelyn-flores-lyrics,1,17,True,7m9OqQk4RVRkw9JJdeAw96,84,https://p.scdn.co/mp3-preview/9fd5ccc86f318c303d582800e9f7d6f07f40440b?cid=774b29d4f13844c495f206cafdad9c86,Jocelyn Flores,0.145,75.023,4,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,audio_features,spotify:track:3ee8Jmje8o58CHK66QrVC2,0.473
0.258,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,15222067,"['emo rap', 'miami hip hop']",XXXTENTACION,91,0.74,166606,0.613,"{'status': 401, 'message': 'Invalid access token'}",3ee8Jmje8o58CHK66QrVC2,0.00372,8,0.123,-4.88,"  [intro: shiloh dynasty] i know you so well, so well i mean, i can do anything that he can i've been pretty—  [bridge: xxxtentacion & shiloh dynasty] i know you're somewhere, somewhere i've been trapped in my mind, girl, just holding on i don't wanna pretend we're something, we're nothing i've been stuck thinking 'bout her, i can't hold on (i'll be feeling)  [verse: xxxtentacion] i'm in pain, wanna put ten shots in my brain i've been trippin' 'bout some things, can't change suicidal, same time i'm tame picture this, in bed, get a phone call girl that you fucked with killed herself that was this summer when nobody helped and ever since then, man, i hate myself wanna fuckin' end it, pessimistic all wanna see me with no pot to piss in but niggas been excited 'bout the grave i'm diggin' havin' conversations 'bout my haste decisions fuckin' sickenin'; at the same time memories surface through the grapevine 'bout my uncle playin' with a slip knot post-traumatic stress got me fucked up been fucked up since the couple months they had a nigga locked up  [chorus: xxxtentacion & shiloh dynasty] i'll be feelin' pain, i'll be feelin' pain just to hold on and i don't feel the same, i'm so numb i'll be feelin' pain, i'll be feelin' pain just to hold on and i don't feel the same, i'm so numb  [outro: shiloh dynasty] i know you so well (i know you, girl) i mean, i can do better than he can i've been pretty— i know you so well  ",https://api.spotify.com/v1/Xxxtentacion-jocelyn-flores-lyrics,1,17,True,7m9OqQk4RVRkw9JJdeAw96,84,https://p.scdn.co/mp3-preview/9fd5ccc86f318c303d582800e9f7d6f07f40440b?cid=774b29d4f13844c495f206cafdad9c86,Jocelyn Flores,0.145,75.023,4,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,audio_features,spotify:track:3ee8Jmje8o58CHK66QrVC2,0.473
0.193,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,7903575,"['baroque pop', 'emo', 'modern rock', 'pop punk']",Panic! At The Disco,86,0.579,190947,0.904,"{'status': 401, 'message': 'Invalid access token'}",1rqqCSm0Qe4I9rUvWncaom,0.0,5,0.064,-2.729,"  [verse 1] all my life, been hustlin' and tonight is my appraisal 'cause i'm a hooker sellin' songs and my pimp's a record label this world is full of demons stocks and bonds and bible traders so i do the deed get up and leave a climber and a sadist, yeah  [pre-chorus] are you ready for the sequel? ain't ready for the latest? in the garden of evil i'm gonna be the greatest in a golden cathedral i'll be praying for the faithless and if you lose, boo-hoo  [chorus] hey look ma, i made it hey look ma, i made it everything's comin' up aces, aces if it’s a dream, don't wake me, don't wake me i said, “hey look ma, i made it.”  [verse 2] friends are happy for me or they're honeysuckle phonies then they celebrate my medals or they wanna take my trophies some are loyal soldiers while these other thorns are rosy and if you never know who you can trust then trust me, you'll be lonely, oh  [pre-chorus] are you ready for the sequel? ain't you ready for the latest? in the garden of evil i'm gonna be the greatest in a golden cathedral i'll be praying for the faithless and if you lose, boo-hoo  [chorus] hey look ma, i made it hey look ma, i made it everything's comin' up aces, aces if it's a dream, don't wake me, don't wake me i said, “hey look ma, i made it, i made it.” i said, “hey look ma, i made it, i made it.” i see it, i want it, i take it, take it if it's a dream, don't wake me, don't wake me  [outro] i said, “hey look ma, i made it.” (mama best believe it, mama best believe it) hey look ma, i made it (think i must be dreamin', wide awake and dreamin') hey look ma, i made it (mama best believe it, mama best believe it) hey look ma, i made it (think i must be dreamin') hey look ma, i made it  ",https://api.spotify.com/v1/Panic-at-the-disco-hey-look-ma-i-made-it-lyrics,1,Pray for the Wicked,False,22oEJW6r2rMb9z4IntfyEa,80,https://p.scdn.co/mp3-preview/724c46d8f0fb7ad7277eb244f1f865d33cd1f246?cid=774b29d4f13844c495f206cafdad9c86,"Hey Look Ma, I Made It",0.0618,82.014,4,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,audio_features,spotify:track:1rqqCSm0Qe4I9rUvWncaom,0.681
0.193,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,7903575,"['baroque pop', 'emo', 'modern rock', 'pop punk']",Panic! At The Disco,86,0.579,190947,0.904,"{'status': 401, 'message': 'Invalid access token'}",1rqqCSm0Qe4I9rUvWncaom,0.0,5,0.064,-2.729,"  [verse 1] all my life, been hustlin' and tonight is my appraisal 'cause i'm a hooker sellin' songs and my pimp's a record label this world is full of demons stocks and bonds and bible traders so i do the deed get up and leave a climber and a sadist, yeah  [pre-chorus] are you ready for the sequel? ain't ready for the latest? in the garden of evil i'm gonna be the greatest in a golden cathedral i'll be praying for the faithless and if you lose, boo-hoo  [chorus] hey look ma, i made it hey look ma, i made it everything's comin' up aces, aces if it’s a dream, don't wake me, don't wake me i said, “hey look ma, i made it.”  [verse 2] friends are happy for me or they're honeysuckle phonies then they celebrate my medals or they wanna take my trophies some are loyal soldiers while these other thorns are rosy and if you never know who you can trust then trust me, you'll be lonely, oh  [pre-chorus] are you ready for the sequel? ain't you ready for the latest? in the garden of evil i'm gonna be the greatest in a golden cathedral i'll be praying for the faithless and if you lose, boo-hoo  [chorus] hey look ma, i made it hey look ma, i made it everything's comin' up aces, aces if it's a dream, don't wake me, don't wake me i said, “hey look ma, i made it, i made it.” i said, “hey look ma, i made it, i made it.” i see it, i want it, i take it, take it if it's a dream, don't wake me, don't wake me  [outro] i said, “hey look ma, i made it.” (mama best believe it, mama best believe it) hey look ma, i made it (think i must be dreamin', wide awake and dreamin') hey look ma, i made it (mama best believe it, mama best believe it) hey look ma, i made it (think i must be dreamin') hey look ma, i made it  ",https://api.spotify.com/v1/Panic-at-the-disco-hey-look-ma-i-made-it-lyrics,1,Pray for the Wicked,False,22oEJW6r2rMb9z4IntfyEa,80,https://p.scdn.co/mp3-preview/724c46d8f0fb7ad7277eb244f1f865d33cd1f246?cid=774b29d4f13844c495f206cafdad9c86,"Hey Look Ma, I Made It",0.0618,82.014,4,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,audio_features,spotify:track:1rqqCSm0Qe4I9rUvWncaom,0.681
0.193,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,7903575,"['baroque pop', 'emo', 'modern rock', 'pop punk']",Panic! At The Disco,86,0.579,190947,0.904,"{'status': 401, 'message': 'Invalid access token'}",1rqqCSm0Qe4I9rUvWncaom,0.0,5,0.064,-2.729,"  [verse 1] all my life, been hustlin' and tonight is my appraisal 'cause i'm a hooker sellin' songs and my pimp's a record label this world is full of demons stocks and bonds and bible traders so i do the deed get up and leave a climber and a sadist, yeah  [pre-chorus] are you ready for the sequel? ain't ready for the latest? in the garden of evil i'm gonna be the greatest in a golden cathedral i'll be praying for the faithless and if you lose, boo-hoo  [chorus] hey look ma, i made it hey look ma, i made it everything's comin' up aces, aces if it’s a dream, don't wake me, don't wake me i said, “hey look ma, i made it.”  [verse 2] friends are happy for me or they're honeysuckle phonies then they celebrate my medals or they wanna take my trophies some are loyal soldiers while these other thorns are rosy and if you never know who you can trust then trust me, you'll be lonely, oh  [pre-chorus] are you ready for the sequel? ain't you ready for the latest? in the garden of evil i'm gonna be the greatest in a golden cathedral i'll be praying for the faithless and if you lose, boo-hoo  [chorus] hey look ma, i made it hey look ma, i made it everything's comin' up aces, aces if it's a dream, don't wake me, don't wake me i said, “hey look ma, i made it, i made it.” i said, “hey look ma, i made it, i made it.” i see it, i want it, i take it, take it if it's a dream, don't wake me, don't wake me  [outro] i said, “hey look ma, i made it.” (mama best believe it, mama best believe it) hey look ma, i made it (think i must be dreamin', wide awake and dreamin') hey look ma, i made it (mama best believe it, mama best believe it) hey look ma, i made it (think i must be dreamin') hey look ma, i made it  ",https://api.spotify.com/v1/Panic-at-the-disco-hey-look-ma-i-made-it-lyrics,1,Pray for the Wicked,False,22oEJW6r2rMb9z4IntfyEa,80,https://p.scdn.co/mp3-preview/724c46d8f0fb7ad7277eb244f1f865d33cd1f246?cid=774b29d4f13844c495f206cafdad9c86,"Hey Look Ma, I Made It",0.0618,82.014,4,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,audio_features,spotify:track:1rqqCSm0Qe4I9rUvWncaom,0.681
0.088,https://api.spotify.com/v1/audio-analysis/2l8nEO0vsTRCRnGqQty6qx,4229619,['emo rap'],6ix9ine,82,0.931,179405,0.387,"{'status': 401, 'message': 'Invalid access token'}",2l8nEO0vsTRCRnGqQty6qx,0.0,1,0.136,-9.127,"  [chorus: tory lanez] bitch, we in the city on that hot shit lookin' for a bitty on that thot shit y’all ain't gettin' money, nigga, stop this i been ’round the globe talkin' hot shit i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it bitch, we in the city on that hot shit lookin' for a bitty on that thot shit y'all ain't gettin' money, nigga, stop this i been 'round the globe talkin' hot shit i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it  [verse 1: 6ix9ine] i do my own shit, i don’t need 50 niggas to roll with folk shit, i’m on my doley, i'm on my boss shit i do my own shit, fuck all them niggas i used to roll with i know you used to see me with niggas, but that’s that old shit real nigga, quick to pull a fucking trigger fed nigga's definition of a real nigga fuck nigga, quick to fuckin' hate, nigga bitch nigga, definition of a bitch nigga now wildin', ready for all the violence i don’t need a nigga jacking that he riding i got this four fifth, this shit all up on my hip i blow that shit, now you where bobby shmurda's hat went!  [chorus: tory lanez] bitch, we in the city on that hot shit lookin' for a bitty on that thot shit y'all ain't gettin' money, nigga, stop this i been 'round the globe talkin' hot shit i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it  [verse 2: 6ix9ine] kick her out, i'm gettin' money now, actin' funny now thought she love me, but she only tryna fuck me for the clout saw the patek all bust down, charter run down bitch hit me on a touchdown, but i curved it they be beggin' me to keep the bitch, but i don't need the bitch ray charles, john cena shit, i can't see the bitch in the dm sendin' naked pics, uber that bitch but i send her in the pool even though i'm rich as shit  [outro: tory lanez] it's fuckin' tr— oh wait, i forgot you can't say that shit you can go start with everything else that start with a t, though it's fuckin' trojan it's fuckin' target it's fuckin'— hahahaha  ",https://api.spotify.com/v1/6ix9ine-kika-lyrics,1,DUMMY BOY,True,6VRwEqn7BvsN0dChfDrMAf,76,https://p.scdn.co/mp3-preview/4da565a9504f5181f3495a36847da1fa9cbe6641?cid=774b29d4f13844c495f206cafdad9c86,KIKA,0.412,125.978,4,https://api.spotify.com/v1/tracks/2l8nEO0vsTRCRnGqQty6qx,audio_features,spotify:track:2l8nEO0vsTRCRnGqQty6qx,0.376
0.088,https://api.spotify.com/v1/audio-analysis/2l8nEO0vsTRCRnGqQty6qx,4229619,['emo rap'],6ix9ine,82,0.931,179405,0.387,"{'status': 401, 'message': 'Invalid access token'}",2l8nEO0vsTRCRnGqQty6qx,0.0,1,0.136,-9.127,"  [chorus: tory lanez] bitch, we in the city on that hot shit lookin' for a bitty on that thot shit y’all ain't gettin' money, nigga, stop this i been ’round the globe talkin' hot shit i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it bitch, we in the city on that hot shit lookin' for a bitty on that thot shit y'all ain't gettin' money, nigga, stop this i been 'round the globe talkin' hot shit i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it  [verse 1: 6ix9ine] i do my own shit, i don’t need 50 niggas to roll with folk shit, i’m on my doley, i'm on my boss shit i do my own shit, fuck all them niggas i used to roll with i know you used to see me with niggas, but that’s that old shit real nigga, quick to pull a fucking trigger fed nigga's definition of a real nigga fuck nigga, quick to fuckin' hate, nigga bitch nigga, definition of a bitch nigga now wildin', ready for all the violence i don’t need a nigga jacking that he riding i got this four fifth, this shit all up on my hip i blow that shit, now you where bobby shmurda's hat went!  [chorus: tory lanez] bitch, we in the city on that hot shit lookin' for a bitty on that thot shit y'all ain't gettin' money, nigga, stop this i been 'round the globe talkin' hot shit i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it  [verse 2: 6ix9ine] kick her out, i'm gettin' money now, actin' funny now thought she love me, but she only tryna fuck me for the clout saw the patek all bust down, charter run down bitch hit me on a touchdown, but i curved it they be beggin' me to keep the bitch, but i don't need the bitch ray charles, john cena shit, i can't see the bitch in the dm sendin' naked pics, uber that bitch but i send her in the pool even though i'm rich as shit  [outro: tory lanez] it's fuckin' tr— oh wait, i forgot you can't say that shit you can go start with everything else that start with a t, though it's fuckin' trojan it's fuckin' target it's fuckin'— hahahaha  ",https://api.spotify.com/v1/6ix9ine-kika-lyrics,1,DUMMY BOY,True,6VRwEqn7BvsN0dChfDrMAf,76,https://p.scdn.co/mp3-preview/4da565a9504f5181f3495a36847da1fa9cbe6641?cid=774b29d4f13844c495f206cafdad9c86,KIKA,0.412,125.978,4,https://api.spotify.com/v1/tracks/2l8nEO0vsTRCRnGqQty6qx,audio_features,spotify:track:2l8nEO0vsTRCRnGqQty6qx,0.376
0.088,https://api.spotify.com/v1/audio-analysis/2l8nEO0vsTRCRnGqQty6qx,4229619,['emo rap'],6ix9ine,82,0.931,179405,0.387,"{'status': 401, 'message': 'Invalid access token'}",2l8nEO0vsTRCRnGqQty6qx,0.0,1,0.136,-9.127,"  [chorus: tory lanez] bitch, we in the city on that hot shit lookin' for a bitty on that thot shit y’all ain't gettin' money, nigga, stop this i been ’round the globe talkin' hot shit i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it bitch, we in the city on that hot shit lookin' for a bitty on that thot shit y'all ain't gettin' money, nigga, stop this i been 'round the globe talkin' hot shit i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it  [verse 1: 6ix9ine] i do my own shit, i don’t need 50 niggas to roll with folk shit, i’m on my doley, i'm on my boss shit i do my own shit, fuck all them niggas i used to roll with i know you used to see me with niggas, but that’s that old shit real nigga, quick to pull a fucking trigger fed nigga's definition of a real nigga fuck nigga, quick to fuckin' hate, nigga bitch nigga, definition of a bitch nigga now wildin', ready for all the violence i don’t need a nigga jacking that he riding i got this four fifth, this shit all up on my hip i blow that shit, now you where bobby shmurda's hat went!  [chorus: tory lanez] bitch, we in the city on that hot shit lookin' for a bitty on that thot shit y'all ain't gettin' money, nigga, stop this i been 'round the globe talkin' hot shit i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it i do my own stunts, jackie chan with it  [verse 2: 6ix9ine] kick her out, i'm gettin' money now, actin' funny now thought she love me, but she only tryna fuck me for the clout saw the patek all bust down, charter run down bitch hit me on a touchdown, but i curved it they be beggin' me to keep the bitch, but i don't need the bitch ray charles, john cena shit, i can't see the bitch in the dm sendin' naked pics, uber that bitch but i send her in the pool even though i'm rich as shit  [outro: tory lanez] it's fuckin' tr— oh wait, i forgot you can't say that shit you can go start with everything else that start with a t, though it's fuckin' trojan it's fuckin' target it's fuckin'— hahahaha  ",https://api.spotify.com/v1/6ix9ine-kika-lyrics,1,DUMMY BOY,True,6VRwEqn7BvsN0dChfDrMAf,76,https://p.scdn.co/mp3-preview/4da565a9504f5181f3495a36847da1fa9cbe6641?cid=774b29d4f13844c495f206cafdad9c86,KIKA,0.412,125.978,4,https://api.spotify.com/v1/tracks/2l8nEO0vsTRCRnGqQty6qx,audio_features,spotify:track:2l8nEO0vsTRCRnGqQty6qx,0.376
0.179,https://api.spotify.com/v1/audio-analysis/7Feaw9WAEREY0DUOSXJLOM,7048315,"['emo', 'modern rock', 'pop punk']",Fall Out Boy,84,0.661,163805,0.723,"{'status': 401, 'message': 'Invalid access token'}",7Feaw9WAEREY0DUOSXJLOM,1.23e-05,5,0.14,-6.976,"  [verse 1] am i more than you bargained for yet? i've been dying to tell you anything you want to hear 'cause that's just who i am this week lie in the grass, next to the mausoleum i'm just a notch in your bedpost but you're just a line in a song (notch in your bedpost but you're just a line in a song)  [pre-chorus] drop a heart, break a name we're always sleeping in and sleeping for the wrong team  [chorus] we're going down, down in an earlier round and sugar, we're going down swinging i'll be your number one with a bullet a loaded god complex, cock it and pull it we're going down, down in an earlier round and sugar, we're going down swinging i'll be your number one with a bullet a loaded god complex, cock it and pull it  [verse 2] is this more than you bargained for yet? oh, don't mind me, i'm watching you two from the closet wishing to be the friction in your jeans isn't it messed up how i'm just dying to be him? i'm just a notch in your bedpost but you're just a line in a song (notch in your bedpost but you're just a line in a song)  [pre-chorus] drop a heart, break a name we're always sleeping in and sleeping for the wrong team  [chorus] we're going down, down in an earlier round and sugar, we're going down swinging i'll be your number one with a bullet a loaded god complex, cock it and pull it we're going down, down in an earlier round and sugar, we're going down swinging i'll be your number one with a bullet a loaded god complex, cock it and pull it  [chorus] down, down in an earlier round and sugar, we're going down swinging i'll be your number one with a bullet a loaded god complex, cock it and pull it we're going down, down in an earlier round (take aim at myself) and sugar, we're going down swinging (take back what you said) i'll be your number one with a bullet (take aim at myself) a loaded god complex, cock it and pull it  [bridge] we're going down, down (down, down) down, down (down, down) we're going down, down (down, down) a loaded god complex, cock it and pull it  [outro/chorus] we're going down, down in an earlier round (take aim at myself) and sugar, we're going down swinging (take back what you said) i'll be your number one with a bullet (take aim at myself) a loaded god complex, cock it and pull it  ",https://api.spotify.com/v1/Fall-out-boy-sugar-were-goin-down-lyrics,0,From Under The Cork Tree,False,2TfSHkHiFO4gRztVIkggkE,77,https://p.scdn.co/mp3-preview/9366facdbc9cf2b515e3c067dfdf61eeaea9ac3b?cid=774b29d4f13844c495f206cafdad9c86,"Sugar, We're Goin Down",0.0566,113.778,4,https://api.spotify.com/v1/tracks/7Feaw9WAEREY0DUOSXJLOM,audio_features,spotify:track:7Feaw9WAEREY0DUOSXJLOM,0.316
