eventid,iyear,imonth,iday,country,country_txt,region_txt,provstate,city,latitude,longitude,summary,crit1,crit2,crit3,doubtterr,success,suicide,attacktype1_txt,attacktype2_txt,attacktype3_txt,targtype1_txt,targsubtype1_txt,natlty1_txt,gname,motive,nperps,nperpcap,claimed,weaptype1_txt,weaptype2_txt,weapdetail,nkill,nkillter,nwound,propextent_txt,nhostkid
-1061412910,2008,2,5,217,United States,North America,California,Los Angeles,34.097865999999996,-118.407379,"02/05/2008:  UCLA professor Edythe London’s home was set on fire by suspected activists, causing property damage but resulting in no casualties. The Animal Liberation Fron (ALF) later claimed responsibility for the attack.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Educational Institution,School/University/Educational Building,United States,Animal Liberation Front (ALF),Unknown,,0.0,0.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),
-1061372908,2008,2,9,217,United States,North America,Tennessee,Columbia,35.615725,-87.03544699999999,"02/09/2008:  Three men fire-bombed a mosque in Columbia, Tennessee. The messages ‘White power’ and ‘we run the world’, as well as a swastika, were sprayed on the walls. No groups have claimed responsibility for the attack.",1,1,1,1.0,1.0,0.0,Facility/Infrastructure Attack,,,Religious Figures/Institutions,Place of Worship,United States,Neo-Nazi extremists,Unknown,3.0,3.0,-9.0,Incendiary,,"Fire was set using gasoline, rags and empty beer bottles.",0.0,0.0,0.0,Unknown,
-1061292905,2008,2,17,217,United States,North America,California,Eureka,40.802071000000005,-124.163673,"2/17/2008: Unknown perpetrators ignited two fires within the Six Rivers Planned Parenthood in Eureka, California, United States.  There were no casualties and the abortion clinic only sustained $50 in damages.  Biblical scriptures were taped to the front door of the facility.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Abortion Related,Clinics,United States,Anti-Abortion extremists,To protest the practice of abortion and to sabotage abortion facilities operating in California.,-99.0,-99.0,0.0,Incendiary,,Fire ignited with a flammable fluid,0.0,0.0,0.0,Minor (likely < $1 million),
-1061292901,2008,2,17,217,United States,North America,California,Eureka,40.802071000000005,-124.163673,"02/17/2008:  Unknown perpetrators set two small fires at a Planned Parenthood facility in Six Rivers, California.  The facility was closed at the time, and there were no casualties and only minor property damage.  No group claimed responsibility for this attack.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Abortion Related,Clinics,United States,Unknown,,,0.0,0.0,Incendiary,,,0.0,0.0,0.0,Minor (likely < $1 million),
-1060442900,2008,3,3,217,United States,North America,Washington,Woodinville,47.754265000000004,-122.163458,"3/3/2008: A group of individuals associated with the ELF burned down a number of million-dollar show homes.  Explosives were found at the scene by investigators. The event occurred in Woodinville, a suburb north of Seattle, Washington, United States.  Fire bombs were used to ignite the building.  A spray painted sign was left behind with ""ELF"" and ""Build Green? Nope Black!"" painted on it.  The homes were located near the headwaters at Bear Creek.  The area is home to an endangered type of salmon and activists had expressed concerns that not enough was being done to protect the environment in the area.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Business,Construction,United States,Earth Liberation Front (ELF),"The assailants left behind a banner stating that the homes were not made using eco-friendly practices.  In addition, the housing development was near a headwaters housing endangered salmon.  The project had been criticized for the potential impact it may have on this area.",-99.0,0.0,1.0,Incendiary,,"Although sources state that the houses burnt down, authorities also found explosive devices in the houses, which they were able to remove.",0.0,0.0,0.0,Major (likely >= $1 million but < $1 billion),
-1060402908,2008,3,6,217,United States,North America,New York,New York City,40.697132,-73.931351,"03/06/2008:  A small explosion hit a Armed Forces Career Center in New York's Time Square at 3:43 a.m.  No one was reportedly injured or killed by the blast that broke a glass window and a door.  The NYPD stated that the source of the explosion was an ""improvised explosive device.""  No one or group claimed responsibility for the blast.",1,1,1,0.0,1.0,0.0,Bombing/Explosion,,,Military,Military Barracks/Base/Headquarters/Checkpost,United States,Unknown,To attack U.S. military interests.,1.0,0.0,0.0,Explosives,,The device was improvised.,0.0,0.0,0.0,Minor (likely < $1 million),
-1059392907,2008,4,7,217,United States,North America,Missouri,Kansas City,39.176086,-94.574127,"4/7/2008: On Monday, an electricity pylon was cut through with a propane torch in the 8100 block of Wilson Road in Kansas City, Missouri. The pylon did not fall over as the intention was. The wheel assembly of a nearby rail car was also cut. No group claimed responsibility for the attack but police suspect eco-terrorists.",1,1,1,1.0,1.0,0.0,Facility/Infrastructure Attack,,,Utilities,Electricity,United States,Unknown,The specific motive for the attack is unknown or was not reported.,-99.0,0.0,0.0,Incendiary,,A propane torch was used to cut the poles.,0.0,0.0,0.0,Minor (likely < $1 million),
-1059392906,2008,4,7,217,United States,North America,Missouri,Kansas City,39.176086,-94.574127,"4/7/2008: On Monday, the wheel assembly of a nearby rail car was cut with a propane torch in the 8100 block of Wilson Road in Kansas City, Missouri. No group claimed responsibility for the attack but police suspect eco-terrorists.",1,1,1,1.0,1.0,0.0,Facility/Infrastructure Attack,,,Transportation,Train/Train Tracks/Trolley,United States,Unknown,The specific motive for the attack is unknown or was not reported.,-99.0,0.0,0.0,Incendiary,,A propane torch was used to cut the wheel assembly of a rail car.,0.0,0.0,0.0,Minor (likely < $1 million),
-1059242901,2008,4,22,217,United States,North America,Florida,Miami Beach,25.793095,-80.134904,"4/23/2008: On Tuesday, at 0230, the Chabad House synagogue at 2410 Pinetree Drive in Miami Beach, Florida was set on fire. No group claimed responsibility for the arson and there were no reported casualties.",1,1,1,0.0,1.0,0.0,Facility/Infrastructure Attack,,,Religious Figures/Institutions,Place of Worship,United States,Unknown,The specific motive for the attack is unknown or was not reported.,-99.0,0.0,0.0,Incendiary,,The synagogue was set on fire.,0.0,0.0,0.0,Major (likely >= $1 million but < $1 billion),
-1059212902,2008,4,25,217,United States,North America,California,San Diego,32.715695000000004,-117.16171899999999,"4/25/2008: On Friday, at 0200, a bomb exploded at a FedEx building in San Diego, California and shattered the glass door of the building. Authorities found a second bomb in the parking lot and detonated it. No group claimed responsibility for the bombing and there were no reported casualties.",1,1,1,1.0,1.0,0.0,Bombing/Explosion,,,Business,Multinational Corporation,United States,Unknown,The specific motive for the attack is unknown or was not reported.,-99.0,0.0,0.0,Explosives,,Two explosive devices were used in the attack.,0.0,0.0,0.0,Minor (likely < $1 million),
