"Wiretap Table A-1. United States District Courts
Report of Court-Authorized Intercepts of Wire, Oral, or Electronic Communications Pursuant to 18 U.S.C. 2519
For the Reporting Year 2018",,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
ALABAMA  MIDDLE,2013-74601,"ALBRITTON, III",O'BRIEN,NARCOTICS,WC,D,41451.0,30.0,3.0,120.0,INSTALLED AND USED,116.0,0.0,0,0,0,150072.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALABAMA  MIDDLE,2013-74603,"ALBRITTON, III",O'BRIEN,NARCOTICS,WC,D,41513.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,0.0,0,0,0,83520.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALABAMA  MIDDLE,2018-71632,"ALBRITTON, III",DOWNING,CONSPIRACY,"TX,WC",D,43406.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ALABAMA  MIDDLE,2018-71822,"ALBRITTON, III",MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43382.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ALABAMA NORTHERN,2015-77519,HAIKALA,OBRIEN,BRIBERY,"EO,WC",D,42306.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,120.0,107,"3,597",573,29104.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALABAMA NORTHERN,2017-74605,HAIKALA,HULSER,NARCOTICS,WC,D,42879.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,20.0,6,602,65,29829.0,2242.0,0,0,0.0,0.0,0.0,0,,
ALABAMA NORTHERN,2017-74607,HAIKALA,BLANCO,NARCOTICS,WC,D,42845.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,91.0,6,"2,733",306,28878.0,2242.0,6.0,0.0,0.0,0.0,0.0,6.0,,
ALABAMA NORTHERN,2017-77460,COLLINS,DAVID C. RYBICKI,NARCOTICS,"TX,WC",D,43083.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ALABAMA NORTHERN,2018-69150,COOGLER,BLANCO,DRUGS - ILLEGAL,"TX,WC",D,43117.0,22.0,0.0,22.0,INSTALLED AND USED,22.0,0,50,0,0,0,0,13.0,0.0,0.0,0.0,0.0,13.0,,
ALABAMA NORTHERN,2018-70651,COOGLER,BLANCO,DRUGS - ILLEGAL,"TX,WC",D,43104.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0,20,0,900,0,0,13.0,0.0,0.0,0.0,0.0,13.0,,
ALABAMA NORTHERN,2018-72166,CHEN,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43300.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ALABAMA NORTHERN,2018-75812,COOGLER,BLANCO,CONSPIRACY,WC,D,43104.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,83.0,10,"2,500","2,000",0,0,6.0,0.0,0.0,0.0,0.0,6.0,,
ALABAMA NORTHERN,2018-75813,COOGLER,BLANCO,CONSPIRACY,WC,D,43117.0,30.0,0.0,30.0,INSTALLED AND USED,22.0,205.0,20,"4,500","4,000",0,0,6.0,0.0,0.0,0.0,0.0,6.0,,
ALABAMA NORTHERN,2018-77521,HOPKINS,DAY,NARCOTICS,"EO,WC",D,43144.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,29.0,34,855,466,15711.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALABAMA  SOUTHERN,2017-74609,STEELE,HULSER,NARCOTICS,WC,D,42874.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,302.0,55,"18,094","1,469",76220.0,1700.0,3.0,0.0,0.0,0.0,0.0,0.0,,
ALABAMA  SOUTHERN,2017-74611,DUBOSE,DAY,NARCOTICS,WC,D,42787.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,100.0,15,"5,970",597,76220.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
