State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepted,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Result Related
ARIZONA,MARICOPA,2015-1,MCCOY,MONTGOMERY,NARCOTICS,"WC,TX",D,41871.0,30,6,210,INSTALLED AND USED,120.0,149.0,418.0,17890.0,5195.0,212000.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2015-2,MCCOY,BRONYAH,NARCOTICS,"WC,TX",D,42044.0,30,2,90,INSTALLED AND USED,71.0,83.0,16.0,5874.0,348.0,89413.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,,
ARIZONA,MARICOPA,2015-3,MYERS,MONTGOMERY,NARCOTICS,"WC,TX",D,42153.0,30,0,30,INSTALLED AND USED,20.0,105.0,28.0,2094.0,37.0,24000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2015-4,MYERS,FORSYTH,NARCOTICS,"WC,TX",D,42160.0,30,1,60,INSTALLED AND USED,60.0,40.0,4.0,2373.0,490.0,120527.0,4792.0,11.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2015-5,MYERS,MONTGOMERY,NARCOTICS,WC,D,42227.0,30,3,120,INSTALLED AND USED,120.0,3436.0,1347.0,412298.0,15566.0,428434.0,47088.0,7.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2015-6,MYERS,FORSYTH,NARCOTICS,"WC,TX,AP",D,42249.0,30,1,60,INSTALLED AND USED,60.0,58.0,5.0,3468.0,1325.0,133651.0,7716.0,24.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2015-7,GRANVILLE,MONTGOMERY,NARCOTICS,WC,D,42279.0,30,1,60,INSTALLED AND USED,60.0,54.0,125.0,3225.0,1027.0,156139.0,25375.0,6.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2014-1,WELTY,CROWLEY,NARCOTICS,WC,D,41666.0,30,9,300,INSTALLED AND USED,125.0,113.0,95.0,14082.0,9783.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,,
ARIZONA,STATE ATTORNEY GENERAL,2015-1,WELTY,CROWLEY,NARCOTICS,WC,D,41786.0,30,15,480,INSTALLED AND USED,460.0,73.0,250.0,33622.0,13102.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,23.0,,
ARIZONA,STATE ATTORNEY GENERAL,2015-2,WELTY,CROWLEY,NARCOTICS,"WC,TX,AP",D,41890.0,30,5,180,INSTALLED AND USED,166.0,53.0,175.0,8723.0,4153.0,224000.0,22000.0,11.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2015-3,FIELDS,ORTIZ,NARCOTICS,"WC,TX,EO",D,41983.0,30,3,120,INSTALLED AND USED,120.0,84.0,81.0,10069.0,2129.0,79829.0,4052.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2015-4,FIELDS,ORTIZ,NARCOTICS,"WC,TX,EO",D,42020.0,30,2,90,INSTALLED AND USED,89.0,76.0,22.0,6802.0,1238.0,16352.0,3039.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2015-5,FIELDS,ORTIZ,NARCOTICS,"WC,TX,EO",D,42034.0,30,1,60,INSTALLED AND USED,60.0,150.0,30.0,9024.0,2473.0,75197.0,52026.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2015-6,FIELDS,ORTIZ,NARCOTICS,"WC,TX,EO",D,42061.0,30,0,30,INSTALLED AND USED,30.0,1294.0,251.0,38807.0,3277.0,18949.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2015-7,FIELDS,ORTIZ,NARCOTICS,"WC,TX,EO",D,42061.0,30,0,30,INSTALLED AND USED,30.0,502.0,70.0,15059.0,636.0,3761.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2015-8,FIELDS,ORTIZ,NARCOTICS,"WC,TX,EO",D,42093.0,30,1,60,INSTALLED AND USED,60.0,4801.0,145.0,288088.0,17238.0,32020.0,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2015-9,FIELDS,ORTIZ,NARCOTICS,"WC,TX,EO",D,42093.0,30,0,30,INSTALLED AND USED,29.0,137.0,34.0,3959.0,1218.0,20332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2015-10,FIELDS,ORTIZ,NARCOTICS,"WC,TX,EO",D,42114.0,30,0,30,INSTALLED AND USED,30.0,9.0,5.0,275.0,34.0,11016.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2015-11,FIELDS,ORTIZ,NARCOTICS,"WC,TX,EO",D,42114.0,30,0,30,INSTALLED AND USED,30.0,56.0,12.0,1670.0,566.0,11368.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
