Appendix Table B-1,,,,,
State Courts,,,,,
"Report of Court-Authorized Intercepts of Wire, Oral, or Electronic Communications Pursuant to 18 U.S.C. 2519",,,,,
Data Definitions,,,,,
,,,,,
Column,Field or Value,Definition,Column,Field or Value,Definition
A,State,The state where the wiretap was authorized.,B,Jurisdiction,"The state or any political subdivision of that state (county, district, etc.) where the application was authorized."
C,A.O. Number,The first four digits of the A.O. number represent the year in which the wiretap was terminated.  Wiretaps that were terminated prior to the current year were not reported if they were part of ongoing investigations.,D,Judge,Last name of the judge who approved the wiretap.
E,Prosecutor,The principal prosecuting attorney of a state or any political subdivision of that state who authorized the reported application.,F,Offense,The most serious offense listed on the wiretap application.
G,Intercept Type,,,,
,,"WC = Cellular or Mobile Telephone (Wire)
WS = Standard Telephone (Wire)
WO = Other (Wire)
OM = Microphone (Oral)
OO = Other (Oral)
AP = App (Electronic)",,,"ED = Digital Pager (Electronic)
EE = Computer or E-Mail (Electronic)
EF = Fax Machine (Electronic)
EO = Other (Electronic)
TX = Text Message (Electronic)"
H,Location,,,,
,,"D = Portable Device
H = Personal Residence
B = Business
A = Public Area",,,"O = Other Location
R = Roving (Relaxed Specification Order)
N = Not Specified"
I,Application Date,The date that the prosecuting official or the designee submitted the application to the court.,J,Original Order (Days),The number of days authorized in the original order.
K,Number of Extensions,The number of times an extension was sought and approved by judges.,L,Total Length (Days),The number of days the wiretap was authorized to be in use.
M,Installation,Identifies whether the intercept was used or not used.,N,Number of Days in Operation,The total number of days that the wiretap was in use.
O,Average Intercepts per Day,The number of intercepts divided by the number of days in operation.  NR = Not Reported.,P,Number of Persons Intercepted,The number of separate individuals whose communications were intercepted.  NR = Not Reported.
Q,Number of Intercepts,The total number of communications that were captured during the time the wiretap was in operation.  NR = Not Reported.,R,Number of Incriminating Intercepts,The number of intercepts that were identified by law enforcement personnel as incriminating.  NR = Not Reported.
S,Total Cost in Dollars,The personnel and resource costs to operate the wiretap.,T,Other than Manpower Cost in Dollars,The costs of equipment and other tangible items used to operate the wiretap.
U,Arrests,Number of individuals arrested as a result of information obtained from the wiretap.,V,Trials,The number of completed trials that were held as a result of information obtained from the wiretap or a combination of wiretaps.
"W, X, Y",Motions to Suppress Intercepts,"The number of motions to suppress by the defendant that were granted, denied, or pending.",Z,Persons Convicted,The number of individuals convicted as a result of information obtained from the wiretap.
AA,Cost Related,Identifies the A.O. number of a related wiretap that includes cost information for this wiretap.,AB,Results Related,"Identifies the A.O. number of a related wiretap that contains data about arrests, trials, motions, or convictions for this wiretap."
