"Wiretap Table 2—Intercept Orders Issued by Judges 
During Calendar Year 2018",,,,,,,,,,,,,,,,
Reporting Jurisdiction,Number of Intercept Orders,,,,,Number of Extensions,Avg. Length (in Days),,Total Number Of Days Operation,Location Authorized in Original Application,,,,,,
,Authorized,Amended,No Prosecutor's Report,Never Installed,Installed¹,,"Original 
Authorization",Extensions,,Personal Residence,Business,Portable Device,Combination²,Other,No Location specified,
,,,,,,,,,,,,,,,Roving,Ordinary
,,,,,,,,,,,,,,,,
Total,2937.0,129.0,1244.0,9.0,1684.0,1355.0,30,30,62681.0,10.0,7.0,2831.0,57.0,15.0,17.0,-
Federal Total,1457.0,45.0,991.0,4.0,462.0,584.0,30,30,18339.0,3.0,6.0,1404.0,16.0,11.0,17.0,-
ALABAMA  MIDDLE,2,-,2,-,-,-,30,-,-,-,-,2,-,-,-,-
ALABAMA  SOUTHERN,3,-,3,-,-,2,30,30,-,-,-,3,-,-,-,-
ALABAMA NORTHERN,6,-,1,-,5,-,29,-,134,-,-,6,-,-,-,-
ARIZONA,40,1,32,-,8,12,30,30,394,-,-,40,-,-,-,-
ARKANSAS  WESTERN,1,-,-,-,1,-,30,-,28,-,-,1,-,-,-,-
ARKANSAS EASTERN,19,-,10,-,9,2,30,30,280,-,-,19,-,-,-,-
CALIFORNIA CENTRAL,119,-,100,-,19,67,30,30,729,-,1,117,1,-,-,-
CALIFORNIA EASTERN,19,-,4,-,15,2,30,30,448,-,-,19,-,-,-,-
CALIFORNIA NORTHERN,59,1,57,-,2,30,30,30,210,-,-,59,-,-,-,-
CALIFORNIA SOUTHERN,37,-,18,-,19,71,30,30,"1,073",-,-,35,2,-,-,-
COLORADO,11,-,10,-,1,1,30,30,7,-,-,11,-,-,-,-
CONNECTICUT,23,-,17,-,6,11,30,30,239,-,-,23,-,-,-,-
DELAWARE,1,-,1,-,-,-,30,-,-,-,-,1,-,-,-,-
DISTRICT OF COLUMBIA,21,-,4,-,17,4,30,30,457,-,-,21,-,-,-,-
FLORIDA  NORTHERN,4,-,4,-,-,1,30,30,-,-,-,4,-,-,-,-
FLORIDA MIDDLE,52,1,37,-,15,18,30,30,560,-,-,50,-,2,-,-
FLORIDA SOUTHERN,15,-,6,-,9,5,29,30,419,-,-,13,2,-,-,-
GEORGIA  NORTHERN,4,-,4,-,-,1,30,30,-,-,-,4,-,-,-,-
GEORGIA MIDDLE,10,1,9,-,1,2,26,30,60,-,-,9,-,1,-,-
GEORGIA SOUTHERN,20,-,14,-,6,3,30,30,201,-,-,20,-,-,-,-
HAWAII,5,1,-,-,5,4,30,30,270,-,-,2,-,-,3,-
IDAHO,2,-,-,-,2,-,30,-,43,-,-,2,-,-,-,-
ILLINOIS CENTRAL,2,-,1,-,1,-,30,-,28,-,-,2,-,-,-,-
ILLINOIS NORTHERN,92,1,58,-,34,57,30,30,"1,701",-,-,90,-,1,1,-
ILLINOIS SOUTHERN,1,-,-,-,1,1,30,30,60,-,-,1,-,-,-,-
INDIANA NORTHERN,4,-,2,-,2,-,30,-,18,-,-,4,-,-,-,-
INDIANA SOUTHERN,18,-,16,-,2,5,30,30,84,-,-,18,-,-,-,-
IOWA NORTHERN,8,2,6,-,2,5,30,30,89,-,-,8,-,-,-,-
KANSAS,7,-,7,-,-,-,30,-,-,-,-,7,-,-,-,-
KENTUCKY WESTERN,30,-,27,-,3,-,30,-,83,-,-,29,1,-,-,-
LOUISIANA EASTERN,12,-,11,-,1,1,30,30,60,-,-,12,-,-,-,-
LOUISIANA MIDDLE,8,-,5,-,3,1,30,30,90,-,-,7,-,1,-,-
LOUISIANA WESTERN,5,1,-,-,5,1,30,30,180,-,-,5,-,-,-,-
MAINE,4,-,3,-,1,-,30,-,27,-,-,4,-,-,-,-
MARYLAND,15,-,1,-,14,8,30,30,608,-,-,11,-,-,4,-
MASSACHUSETTS,14,-,8,-,6,11,30,30,314,-,-,13,1,-,-,-
MICHIGAN EASTERN,37,6,19,-,18,4,29,30,529,-,-,34,2,-,1,-
MICHIGAN WESTERN,2,-,1,-,1,2,30,30,60,-,-,2,-,-,-,-
MINNESOTA,25,2,16,-,9,3,30,30,314,-,-,25,-,-,-,-
MISSISSIPPI NORTHERN,3,1,1,-,2,1,30,30,60,-,-,2,-,1,-,-
MISSISSIPPI SOUTHERN,16,2,11,-,5,1,30,30,180,2,-,14,-,-,-,-
MISSOURI EASTERN,6,-,5,-,1,1,30,30,60,-,-,6,-,-,-,-
MISSOURI WESTERN,5,1,5,-,-,1,30,30,-,-,-,5,-,-,-,-
NEBRASKA,24,1,18,-,6,5,30,30,201,-,-,24,-,-,-,-
NEVADA,13,2,7,2,4,4,30,30,175,-,-,13,-,-,-,-
NEW HAMPSHIRE,3,-,2,-,1,-,30,-,17,-,-,3,-,-,-,-
NEW JERSEY,92,4,75,-,17,50,29,30,727,-,-,86,-,4,2,-
NEW MEXICO,18,-,14,-,4,11,28,30,150,-,-,18,-,-,-,-
NEW YORK  NORTHERN,8,-,4,-,4,3,30,30,150,-,-,8,-,-,-,-
NEW YORK  WESTERN,2,-,2,-,-,-,18,-,-,-,-,2,-,-,-,-
NEW YORK EASTERN,7,-,-,-,7,4,30,30,330,-,-,7,-,-,-,-
NEW YORK SOUTHERN,88,2,52,-,36,31,30,30,"1,471",-,-,88,-,-,-,-
NORTH CAROLINA  MIDDLE,2,-,2,-,-,-,30,-,-,-,-,2,-,-,-,-
NORTH CAROLINA EASTERN,7,-,6,-,1,4,29,30,30,-,-,7,-,-,-,-
NORTH CAROLINA WESTERN,19,-,16,-,3,6,30,30,90,-,-,19,-,-,-,-
