"Wiretap Table 6—Types of Surveillance Used, Arrests, and Convictions for Intercepts Installed
January 1 Through December 31, 2018",,,,,,,
Reporting Jurisdiction,Orders for Which Intercepts Installed ¹,"Wire (Incl. Any Type Telephone: Standard, Cell, Mobile)","Oral(Incl. Microphone,Eavesdrop)","Electronic(Incl. Digital Pager, Fax, Computer)",Combination ²,Number of Persons Arrested,Number of Persons Convicted ³
TOTAL,1684.0,1077.0,2.0,22.0,583.0,7498.0,1122.0
FEDERAL  JURISDICTIONS,,,,,,,
FEDERAL TOTAL,462.0,411.0,1.0,16.0,34.0,1184.0,216.0
ALABAMA  MIDDLE,NP,0.0,0.0,0.0,0.0,0,0
ALABAMA  SOUTHERN,NP,0.0,0.0,0.0,0.0,0,0
ALABAMA NORTHERN,5,2.0,0.0,0.0,3.0,38.0,38.0
ARIZONA,8,5.0,0.0,3.0,0.0,2.0,0.0
ARKANSAS  WESTERN,1,0.0,0.0,0.0,1.0,16.0,16.0
ARKANSAS EASTERN,9,9.0,0.0,0.0,0.0,6.0,6.0
CALIFORNIA CENTRAL,19,11.0,0.0,5.0,3.0,27.0,0.0
CALIFORNIA EASTERN,15,10.0,0.0,0.0,5.0,46.0,0.0
CALIFORNIA NORTHERN,2,2.0,0.0,0.0,0.0,0.0,0.0
CALIFORNIA SOUTHERN,19,18.0,0.0,0.0,1.0,40.0,0.0
COLORADO,1,1.0,0.0,0.0,0.0,0,0
CONNECTICUT,6,6.0,0.0,0.0,0.0,42.0,0.0
DELAWARE,NP,0.0,0.0,0.0,0.0,0,0
DISTRICT OF COLUMBIA,17,14.0,0.0,0.0,3.0,19.0,1.0
FLORIDA  NORTHERN,NP,0.0,0.0,0.0,0.0,0,0
FLORIDA MIDDLE,15,14.0,1.0,0.0,0.0,26.0,0.0
FLORIDA SOUTHERN,9,7.0,0.0,0.0,2.0,48.0,0.0
GEORGIA  NORTHERN,NP,0.0,0.0,0.0,0.0,0,0
GEORGIA MIDDLE,1,1.0,0.0,0.0,0.0,0.0,0.0
GEORGIA SOUTHERN,6,6.0,0.0,0.0,0.0,24.0,0.0
HAWAII,5,5.0,0.0,0.0,0.0,18.0,0.0
IDAHO,2,2.0,0.0,0.0,0.0,9.0,0.0
ILLINOIS CENTRAL,1,1.0,0.0,0.0,0.0,0.0,0.0
ILLINOIS NORTHERN,34,33.0,0.0,1.0,0.0,32.0,0.0
ILLINOIS SOUTHERN,1,1.0,0.0,0.0,0.0,0,0
INDIANA NORTHERN,2,2.0,0.0,0.0,0.0,0,0
INDIANA SOUTHERN,2,2.0,0.0,0.0,0.0,18.0,0.0
IOWA NORTHERN,2,2.0,0.0,0.0,0.0,0.0,0.0
KANSAS,NP,0.0,0.0,0.0,0.0,0,0
KENTUCKY WESTERN,3,3.0,0.0,0.0,0.0,1.0,0.0
LOUISIANA EASTERN,1,1.0,0.0,0.0,0.0,0.0,0.0
LOUISIANA MIDDLE,3,3.0,0.0,0.0,0.0,1.0,0.0
LOUISIANA WESTERN,5,5.0,0.0,0.0,0.0,7.0,0.0
MAINE,1,1.0,0.0,0.0,0.0,7.0,1.0
MARYLAND,14,13.0,0.0,1.0,0.0,5.0,0.0
MASSACHUSETTS,6,4.0,0.0,0.0,2.0,6.0,0.0
MICHIGAN EASTERN,18,18.0,0.0,0.0,0.0,28.0,2.0
MICHIGAN WESTERN,1,1.0,0.0,0.0,0.0,18.0,0.0
MINNESOTA,9,5.0,0.0,0.0,4.0,137.0,129.0
MISSISSIPPI NORTHERN,2,2.0,0.0,0.0,0.0,4.0,1.0
MISSISSIPPI SOUTHERN,5,5.0,0.0,0.0,0.0,0.0,0.0
MISSOURI EASTERN,1,1.0,0.0,0.0,0.0,10.0,0.0
MISSOURI WESTERN,NP,0.0,0.0,0.0,0.0,0,0
NEBRASKA,6,6.0,0.0,0.0,0.0,11.0,1.0
NEVADA,4,4.0,0.0,0.0,0.0,23.0,0.0
NEW HAMPSHIRE,1,1.0,0.0,0.0,0.0,4.0,0.0
NEW JERSEY,17,15.0,0.0,0.0,2.0,103.0,0.0
NEW MEXICO,4,4.0,0.0,0.0,0.0,0,0
NEW YORK  NORTHERN,4,4.0,0.0,0.0,0.0,2.0,0.0
NEW YORK  WESTERN,NP,0.0,0.0,0.0,0.0,0,0
NEW YORK EASTERN,7,7.0,0.0,0.0,0.0,19.0,0.0
NEW YORK SOUTHERN,36,36.0,0.0,0.0,0.0,72.0,0.0
NORTH CAROLINA  MIDDLE,NP,0.0,0.0,0.0,0.0,0,0
NORTH CAROLINA EASTERN,1,1.0,0.0,0.0,0.0,3.0,1.0
NORTH CAROLINA WESTERN,3,3.0,0.0,0.0,0.0,0.0,0.0
OHIO NORTHERN,21,21.0,0.0,0.0,0.0,11.0,0.0
OHIO SOUTHERN,2,2.0,0.0,0.0,0.0,0,0
OKLAHOMA EASTERN,2,1.0,0.0,0.0,1.0,8.0,0.0
OKLAHOMA NORTHERN,1,1.0,0.0,0.0,0.0,9.0,0.0
OKLAHOMA WESTERN,12,12.0,0.0,0.0,0.0,57.0,0.0
OREGON,9,9.0,0.0,0.0,0.0,25.0,0.0
PENNSYLVANIA EASTERN,7,7.0,0.0,0.0,0.0,6.0,0.0
PENNSYLVANIA MIDDLE,1,1.0,0.0,0.0,0.0,0.0,0.0
PENNSYLVANIA WESTERN,1,1.0,0.0,0.0,0.0,30.0,0.0
PUERTO RICO,6,6.0,0.0,0.0,0.0,0.0,0.0
SOUTH CAROLINA,4,4.0,0.0,0.0,0.0,12.0,0.0
TENNESSEE  MIDDLE,3,1.0,0.0,2.0,0.0,0.0,0.0
TENNESSEE EASTERN,1,1.0,0.0,0.0,0.0,3.0,0.0
TENNESSEE WESTERN,12,11.0,0.0,0.0,1.0,4.0,0.0
TEXAS EASTERN,9,9.0,0.0,0.0,0.0,0.0,0.0
TEXAS NORTHERN,6,2.0,0.0,2.0,2.0,27.0,0.0
TEXAS SOUTHERN,6,5.0,0.0,0.0,1.0,8.0,0.0
TEXAS WESTERN,3,2.0,0.0,0.0,1.0,8.0,0.0
UTAH,6,5.0,0.0,0.0,1.0,53.0,0.0
VERMONT,2,2.0,0.0,0.0,0.0,13.0,4.0
VIRGINIA EASTERN,6,4.0,0.0,2.0,0.0,4.0,0.0
WASHINGTON  WESTERN,NP,0.0,0.0,0.0,0.0,0,0
WEST VIRGINIA NORTHERN,1,1.0,0.0,0.0,0.0,0,0
WEST VIRGINIA SOUTHERN,4,3.0,0.0,0.0,1.0,19.0,16.0
WISCONSIN  EASTERN,2,2.0,0.0,0.0,0.0,0.0,0.0
WYOMING,1,1.0,0.0,0.0,0.0,15.0,0.0
ALASKA,2.0,0.0,0.0,0.0,2.0,0.0,0
STATE OF ALASKA - THIRD JUDICIAL DISTRICT (ANCHORAGE),2,0.0,0.0,0.0,2.0,0.0,0
ARIZONA,6.0,1.0,0.0,0.0,5.0,71.0,0.0
MARICOPA,6,1.0,0.0,0.0,5.0,71.0,0.0
CALIFORNIA,346.0,241.0,0.0,2.0,103.0,424.0,43.0
ALAMEDA,11,1.0,0.0,0.0,10.0,22.0,4.0
CONTRA COSTA,20,1.0,0.0,0.0,19.0,5.0,0.0
FRESNO,8,0.0,0.0,1.0,7.0,31.0,0.0
KERN,11,2.0,0.0,0.0,9.0,9.0,3.0
LAKE,1,1.0,0.0,0.0,0.0,0,0
LOS ANGELES,158,158.0,0.0,0.0,0.0,44.0,1.0
NAPA,1,0.0,0.0,0.0,1.0,0,0
ORANGE,16,16.0,0.0,0.0,0.0,52.0,16.0
