Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018
138 St-Grand    Concourse,54,The Bronx,368,2540.0,3017.0,3136.0,3123.0,2793,2557
149 St-Grand    Concourse,542,The Bronx,134,14202.0,15326.0,13683.0,12797.0,12623,11873
161 St-Yankee    Stadium,4DB,The Bronx,29,35071.0,36176.0,36969.0,35171.0,33398,32173
167 St,4,The Bronx,161,10176.0,10417.0,11942.0,11579.0,9981,9822
167 St *,DB,The Bronx,206,12887.0,13220.0,12890.0,12775.0,12682,7529
170 St,4,The Bronx,173,9768.0,9960.0,11398.0,11161.0,9482,8936
170 St,DB,The Bronx,191,9216.0,9490.0,8737.0,8633.0,8558,8037
174 St,52,The Bronx,244,7907.0,8003.0,6797.0,8183.0,7974,6141
174-175 Sts  *,DB,The Bronx,334,6499.0,6777.0,6271.0,6280.0,6298,3404
176 St,4,The Bronx,249,6067.0,6217.0,7318.0,7459.0,6549,5937
182-183 Sts,DB,The Bronx,267,6617.0,6939.0,6660.0,6574.0,5623,5347
183 St,4,The Bronx,222,6967.0,7056.0,7944.0,7786.0,7426,6696
219 St,52,The Bronx,341,3889.0,4056.0,3837.0,3200.0,3091,3248
225 St,52,The Bronx,311,4754.0,5043.0,4935.0,4403.0,4003,3936
231 St,1,The Bronx,164,8676.0,9568.0,9480.0,9561.0,9760,9499
233 St,52,The Bronx,289,5956.0,6434.0,6007.0,5501.0,4707,4720
238 St  *,1,The Bronx,367,3199.0,3801.0,3719.0,3977.0,4174,2578
3 Av-138 St,6,The Bronx,180,9026.0,9364.0,9113.0,8543.0,8331,8591
3 Av-149 St,52,The Bronx,72,21890.0,24819.0,19003.0,23393.0,23901,19975
Allerton Av,52,The Bronx,264,6231.0,6741.0,6388.0,5889.0,5559,5379
Baychester Av,5,The Bronx,391,3111.0,2132.0,1683.0,1343.0,1402,1840
Bedford Park    Blvd,DB,The Bronx,234,8072.0,8213.0,7377.0,7234.0,7819,6428
Bedford Park    Blvd-Lehman College,4,The Bronx,283,5062.0,5093.0,6026.0,5618.0,5200,4793
Bronx Park    East,52,The Bronx,381,2953.0,3063.0,2679.0,2391.0,2184,2139
Brook Av,6,The Bronx,230,7191.0,7198.0,7126.0,6850.0,7009,6536
Buhre Av *,6,The Bronx,352,3038.0,1614.0,1672.0,2540.0,2837,2897
Burke Av,52,The Bronx,345,3902.0,4090.0,3866.0,3531.0,3330,3182
Burnside Av,4,The Bronx,143,11259.0,11310.0,12829.0,12611.0,11472,10885
Castle Hill Av *,6,The Bronx,235,5918.0,4238.0,6317.0,6217.0,6487,6411
Cypress Av,6,The Bronx,338,3803.0,3870.0,3941.0,4015.0,4047,3364
East 143    St-St Mary's St,6,The Bronx,417,768.0,788.0,854.0,872.0,802,767
East 149 St,6,The Bronx,275,5340.0,5195.0,5402.0,5094.0,5236,5050
East 180 St,52,The Bronx,199,6753.0,9919.0,8065.0,10226.0,11725,7791
Eastchester-Dyre    Av,5,The Bronx,383,3334.0,2193.0,1697.0,1377.0,1479,2032
Elder Av,6,The Bronx,211,7638.0,7860.0,7534.0,7700.0,7840,7156
Fordham Rd,4,The Bronx,131,13711.0,13567.0,15423.0,14781.0,13431,12386
Fordham Rd,DB,The Bronx,121,15697.0,16208.0,14902.0,14201.0,14314,12938
Freeman St,52,The Bronx,310,4994.0,5044.0,4463.0,5434.0,5291,4020
Gun Hill Rd,52,The Bronx,195,7985.0,9233.0,8528.0,9261.0,8954,7950
Gun Hill Rd,5,The Bronx,355,4825.0,3240.0,2489.0,2079.0,2167,2814
Hunts Point    Av,6,The Bronx,155,10574.0,10352.0,11670.0,10136.0,9903,10189
Intervale Av,52,The Bronx,361,3239.0,3388.0,2832.0,3435.0,3431,2666
Jackson Av,52,The Bronx,293,5497.0,5780.0,5063.0,6071.0,6011,4553
Kingsbridge    Rd,4,The Bronx,169,9915.0,9927.0,10965.0,10531.0,9858,9045
Kingsbridge    Rd,DB,The Bronx,185,9193.0,9756.0,8995.0,8903.0,9086,8380
Longwood Av,6,The Bronx,342,3635.0,3640.0,3692.0,3365.0,3487,3239
Middletown Rd  *,6,The Bronx,405,1039.0,1528.0,1879.0,1315.0,1403,1415
Morris Park,5,The Bronx,410,1268.0,874.0,679.0,779.0,802,955
Morrison    Av-Soundview,6,The Bronx,220,7664.0,7810.0,7447.0,7520.0,7540,6748
Mosholu Pkwy,4,The Bronx,188,8681.0,8721.0,9816.0,9256.0,8527,8164
Mt Eden Av,4,The Bronx,265,5851.0,5899.0,6623.0,6435.0,5612,5360
Nereid Av,52,The Bronx,351,3841.0,3725.0,3501.0,3188.0,2933,2923
Norwood-205    St,D,The Bronx,182,9562.0,10155.0,10070.0,9797.0,9127,8534
Parkchester,6,The Bronx,96,18063.0,19613.0,18457.0,17932.0,17051,15597
Pelham Bay    Park,6,The Bronx,224,6804.0,7778.0,8134.0,6733.0,6991,6675
Pelham Pkwy,52,The Bronx,177,10637.0,11322.0,10586.0,10022.0,9452,8836
Pelham Pkwy,5,The Bronx,409,1673.0,1210.0,944.0,858.0,866,1084
Prospect Av,52,The Bronx,237,7683.0,8085.0,6935.0,8587.0,8324,6381
Simpson St,52,The Bronx,198,10310.0,10690.0,9234.0,10504.0,10334,7792
St Lawrence    Av,6,The Bronx,298,4805.0,4970.0,4633.0,4776.0,4898,4482
Tremont Av,DB,The Bronx,142,11386.0,12001.0,11209.0,10921.0,10962,10951
Van Cortlandt    Park-242 St,1,The Bronx,221,6966.0,6927.0,7302.0,7317.0,6865,6728
Wakefield-241    St*,2,The Bronx,278,5443.0,6451.0,6094.0,6069.0,5027,4954
West Farms    Sq-East Tremont Av,52,The Bronx,239,8803.0,8875.0,7230.0,8447.0,8074,6283
Westchester    Sq-East Tremont Av,6,The Bronx,279,5674.0,5619.0,5464.0,4784.0,4999,4903
Whitlock Av,6,The Bronx,385,1933.0,2002.0,1864.0,1913.0,2035,2013
Woodlawn,4,The Bronx,210,8125.0,7686.0,8724.0,8010.0,7271,7251
"Zerega Av
 *",6,The Bronx,375,2885.0,1576.0,1327.0,2080.0,2253,2274
18 Av,D,Brooklyn,238,7057.0,7032.0,6073.0,6681.0,6807,6328
18 Av *,F,Brooklyn,357,4398.0,4465.0,4663.0,3787.0,3271,2807
18 Av,N,Brooklyn,330,6296.0,6865.0,6996.0,2602.0,3695,3516
20 Av,D,Brooklyn,270,5658.0,5621.0,5252.0,5656.0,5584,5191
20 Av*,N,Brooklyn,340,4026.0,3946.0,3701.0,1176.0,2194,3286
25 Av,D,Brooklyn,273,4536.0,5053.0,4827.0,6064.0,5798,5078
25 St,R,Brooklyn,328,4500.0,4895.0,4434.0,4071.0,4012,3555
36 St,RND,Brooklyn,92,13945.0,14553.0,16290.0,16191.0,18871,15943
4 Av  /9    St,RGF,Brooklyn,118,15869.0,15711.0,15860.0,14654.0,14351,13111
45 St,R,Brooklyn,203,8689.0,8938.0,8620.0,7805.0,7054,7643
50 St,D,Brooklyn,360,3233.0,3102.0,2672.0,2902.0,2934,2733
53 St  *,R,Brooklyn,186,8842.0,9007.0,8678.0,8148.0,4009,8258
55 St,D,Brooklyn,398,1824.0,1767.0,1525.0,1758.0,1729,1681
59 St,RN,Brooklyn,91,14372.0,14966.0,15344.0,14917.0,19650,15980
7 Av,QB,Brooklyn,163,9483.0,9492.0,9731.0,8581.0,11619,9720
7 Av,GF,Brooklyn,141,14456.0,14246.0,13202.0,12325.0,11570,11300
71 St,D,Brooklyn,252,5314.0,5271.0,4808.0,6732.0,6434,5811
77 St,R,Brooklyn,292,5208.0,5509.0,5448.0,5247.0,4881,4553
79 St,D,Brooklyn,247,6358.0,6504.0,5856.0,6494.0,6630,5956
8 Av,N,Brooklyn,108,16484.0,17434.0,15960.0,17252.0,16278,14040
86 St *,N,Brooklyn,378,2934.0,3090.0,3023.0,1578.0,1900,2165
86 St,R,Brooklyn,144,12819.0,13178.0,12889.0,12263.0,9662,10657
9 Av,D,Brooklyn,261,7383.0,7466.0,6372.0,6541.0,6297,5560
Alabama Av,J,Brooklyn,387,2687.0,2948.0,3163.0,3206.0,2540,1930
Atlantic Av *,L,Brooklyn,399,1474.0,1752.0,1267.0,1179.0,1728,1647
Atlantic    Av-Barclays Ctr,5432RQNDB,Brooklyn,16,54754.0,55601.0,54221.0,53638.0,53133,51838
Avenue H,Q,Brooklyn,349,2669.0,2584.0,2506.0,2590.0,2948,3000
Avenue I *,F,Brooklyn,415,2146.0,2236.0,1874.0,1529.0,783,835
Avenue J,Q,Brooklyn,245,5994.0,5528.0,5782.0,5524.0,6327,6098
Avenue M,Q,Brooklyn,274,4429.0,4111.0,4345.0,4246.0,5091,5064
Avenue N *,F,Brooklyn,404,3202.0,3282.0,2888.0,2320.0,1417,1447
Avenue P *,F,Brooklyn,406,2899.0,2909.0,2628.0,2244.0,1290,1318
Avenue U *,N,Brooklyn,350,4745.0,4915.0,4767.0,1795.0,2803,2954
Avenue U,Q,Brooklyn,183,8015.0,7500.0,8322.0,8188.0,8804,8492
Avenue X *,F,Brooklyn,397,2783.0,2999.0,1817.0,1988.0,1822,1759
Bay 50 St,D,Brooklyn,364,2492.0,2784.0,2575.0,2960.0,2854,2649
Bay Pkwy,D,Brooklyn,181,8927.0,9097.0,8350.0,9471.0,9306,8575
Bay Pkwy *,F,Brooklyn,422,1578.0,1690.0,1476.0,1232.0,522,536
Bay Pkwy,N,Brooklyn,204,8457.0,8808.0,8609.0,11631.0,10537,7605
Bay Ridge Av *,R,Brooklyn,215,8590.0,8967.0,9001.0,8719.0,4005,7072
Bay Ridge-95    St,R,Brooklyn,286,5692.0,5837.0,5730.0,5510.0,4361,4754
Bedford Av,L,Brooklyn,22,49553.0,54863.0,45740.0,49479.0,48007,42024
Bedford-Nostrand    Avs,G,Brooklyn,162,9008.0,9798.0,10057.0,9815.0,10274,9742
Bergen St,32,Brooklyn,312,4825.0,4381.0,4384.0,4433.0,3729,3906
Bergen St,GF,Brooklyn,136,13031.0,14118.0,14243.0,12161.0,12047,11737
Beverley Rd*,Q,Brooklyn,317,2561.0,2787.0,2967.0,3183.0,3811,3801
Beverly Rd,52,Brooklyn,307,4569.0,4176.0,4699.0,4376.0,4268,4081
