index,state_x,SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2018,POPEST18PLUS2018,PCNT_POPEST18PLUS,per_capita,state_y,description,Latitude,Longitude
CALIFORNIA,275,40,4,9,6,CALIFORNIA,39557045,30567090,77.3,6.951985417515388,CALIFORNIA,Sacramento,38.576668,-121.493629
NEW YORK,222,40,1,2,36,NEW YORK,19542209,15474107,79.2,11.360025880390491,NEW YORK,Albany,42.652843,-73.757874
NEW JERSEY,112,40,1,2,34,NEW JERSEY,8908520,6954877,78.1,12.572234220723534,NEW JERSEY,Trenton,40.220596,-74.769913
TEXAS,108,40,3,7,48,TEXAS,28701845,21303746,74.2,3.762824306242334,TEXAS,Austin,30.27467,-97.740349
ILLINOIS,98,40,2,3,17,ILLINOIS,12741080,9883814,77.6,7.691655652425069,ILLINOIS,Springfield,39.798363,-89.654961
FLORIDA,84,40,3,5,12,FLORIDA,21299325,17070244,80.1,3.943786950994926,FLORIDA,Tallahassee,30.438118,-84.281296
ARIZONA,60,40,4,8,4,ARIZONA,7171646,5528989,77.1,8.366280209592052,ARIZONA,Phoenix,33.448143,-112.096962
MASSACHUSETTS,58,40,1,1,25,MASSACHUSETTS,6902149,5535291,80.2,8.403179937147112,MASSACHUSETTS,Boston,42.358162,-71.063698
GEORGIA,45,40,3,5,13,GEORGIA,10519475,8013724,76.2,4.277780022291987,GEORGIA,Atlanta,33.749027000000005,-84.38822900000001
PENNSYLVANIA,41,40,1,2,42,PENNSYLVANIA,12807060,10158149,79.3,3.2013592502885126,PENNSYLVANIA,Harrisburg,40.264378,-76.88359799999999
NEW MEXICO,40,40,4,8,35,NEW MEXICO,2095428,1613275,77.0,19.089178917147237,NEW MEXICO,Santa Fe,35.68224,-105.939728
TENNESSEE,38,40,3,6,47,TENNESSEE,6770010,5263790,77.8,5.612990231919894,TENNESSEE,Nashville,36.16581,-86.78424100000001
VIRGINIA,37,40,3,5,51,VIRGINIA,8517685,6647893,78.0,4.343903302364434,VIRGINIA,Richmond,37.538857,-77.43364
MICHIGAN,37,40,2,3,26,MICHIGAN,9995915,7831247,78.3,3.7015120676796474,MICHIGAN,Lansing,42.733635,-84.555328
MARYLAND,37,40,3,5,24,MARYLAND,6042718,4702570,77.8,6.123072431975148,MARYLAND,Annapolis,38.978764,-76.490936
KENTUCKY,36,40,3,6,21,KENTUCKY,4468402,3459573,77.4,8.05657145440361,KENTUCKY,Frankfort,38.186721999999996,-84.875374
LOUISIANA,33,40,3,7,22,LOUISIANA,4659978,3564062,76.5,7.081578496722517,LOUISIANA,Baton Rouge,30.457069,-91.187393
INDIANA,31,40,2,3,18,INDIANA,6691878,5123748,76.6,4.632481345296492,INDIANA,Indianapolis,39.768623,-86.162643
NORTH CAROLINA,31,40,3,5,37,NORTH CAROLINA,10383620,8082975,77.8,2.985471348142555,NORTH CAROLINA,Raleigh,35.780429999999996,-78.639099
MINNESOTA,28,40,2,4,27,MINNESOTA,5611179,4308564,76.8,4.990038635374135,MINNESOTA,St. Paul,44.955096999999995,-93.102211
UTAH,27,40,4,8,49,UTAH,3161105,2228643,70.5,8.541317039452975,UTAH,Salt Lake City,40.777477000000005,-111.88823700000002
OREGON,25,40,4,9,41,OREGON,4190713,3317146,79.2,5.9655719683022905,OREGON,Salem,44.938461,-123.030403
SOUTH CAROLINA,25,40,3,5,45,SOUTH CAROLINA,5084127,3978182,78.2,4.917265048650437,SOUTH CAROLINA,Columbia,34.000343,-81.033211
CONNECTICUT,23,40,1,1,9,CONNECTICUT,3572665,2837472,79.4,6.437771243595467,CONNECTICUT,Hartford,41.764046,-72.682198
OHIO,20,40,2,3,39,OHIO,11689442,9096117,77.8,1.7109456550620636,OHIO,Columbus,39.961346,-82.99906899999999
MISSISSIPPI,19,40,3,6,28,MISSISSIPPI,2986530,2280389,76.4,6.361898256505041,MISSISSIPPI,Jackson,32.303847999999995,-90.182106
NEVADA,18,40,4,8,32,NEVADA,3034392,2345395,77.3,5.931995602413926,NEVADA,Carson City,39.163914,-119.766121
COLORADO,16,40,4,8,8,COLORADO,5695564,4430329,77.8,2.809203794391565,COLORADO,Denver,39.739227,-104.98485600000001
MISSOURI,15,40,2,4,29,MISSOURI,6126452,4749622,77.5,2.4483991713311393,MISSOURI,Jefferson City,38.579201,-92.172935
ALABAMA,15,40,3,6,1,ALABAMA,4887871,3798031,77.7,3.0688207606133635,ALABAMA,Montgomery,32.377716,-86.300568
VERMONT,12,40,1,1,50,VERMONT,626299,510326,81.5,19.16017748711079,VERMONT,Montpelier,44.262436,-72.580536
ARKANSAS,11,40,3,7,5,ARKANSAS,3013825,2310645,76.7,3.6498469552810797,ARKANSAS,Little Rock,34.746613,-92.288986
OKLAHOMA,10,40,3,7,40,OKLAHOMA,3943079,2986593,75.7,2.5360891830977774,OKLAHOMA,Oklahoma City,35.492207,-97.503342
NEBRASKA,10,40,2,4,31,NEBRASKA,1929268,1452427,75.3,5.183313049301601,NEBRASKA,Lincoln,40.808075,-96.69965400000001
HAWAII,7,40,4,9,15,HAWAII,1420491,1117077,78.6,4.927873531053699,HAWAII,Honolulu,21.307442,-157.857376
MAINE,6,40,1,1,23,MAINE,1338404,1088000,81.3,4.48295133606893,MAINE,Augusta,44.307167,-69.781693
RHODE ISLAND,5,40,1,1,44,RHODE ISLAND,1057315,852102,80.6,4.728959676160841,RHODE ISLAND,Providence,41.830914,-71.414963
WASHINGTON,5,40,4,9,53,WASHINGTON,7535591,5872306,77.9,0.6635179642844204,WASHINGTON,Olympia,47.035804999999996,-122.905014
KANSAS,4,40,2,4,20,KANSAS,2911505,2205544,75.8,1.3738599109395313,KANSAS,Topeka,39.048190999999996,-95.67795600000001
IOWA,4,40,2,4,19,IOWA,3156145,2425378,76.8,1.2673688946483763,IOWA,Des Moines,41.591087,-93.603729
WISCONSIN,3,40,2,3,55,WISCONSIN,5813568,4537465,78.0,0.5160342151326002,WISCONSIN,Madison,43.074684000000005,-89.384445
IDAHO,2,40,4,8,16,IDAHO,1754208,1307236,74.5,1.140115653331874,IDAHO,Boise,43.617775,-116.199722
WYOMING,2,40,4,8,56,WYOMING,577737,442962,76.7,3.461782783515683,WYOMING,Cheyenne,41.140259,-104.820236
NEW HAMPSHIRE,2,40,1,1,33,NEW HAMPSHIRE,1356458,1098288,81.0,1.4744282535839663,NEW HAMPSHIRE,Concord,43.206897999999995,-71.537994
DELAWARE,1,40,3,5,10,DELAWARE,967171,763555,78.9,1.03394332543056,DELAWARE,Dover,39.157307,-75.519722
