Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepted,Number of Intercepts,Number of Incriminating  Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
"ALABAMA, MIDDLE",2012-13,ALBRITTON,HULSER,NARCOTICS,WC,D,41194.0,30,0,30,INSTALLED AND USED,24.0,52.0,15.0,1258.0,217.0,31681.0,1873.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-1,ALBRITTON,O'BRIEN,NARCOTICS,"WC,TX",D,42062.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-2,ALBRITTON,O'BRIEN,NARCOTICS,"WC,TX",D,42062.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-3,ALBRITTON,BITKOWER,NARCOTICS,"WC,TX",D,42062.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-4,ALBRITTON,O'BRIEN,NARCOTICS,"WC,TX",D,42075.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-5,ALBRITTON,O'BRIEN,NARCOTICS,"WC,TX",D,42075.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-6,ALBRITTON,BLANCO,NARCOTICS,"WC,TX",D,42088.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-7,ALBRITTON,BLANCO,$LAUNDERING,WC,D,42088.0,30,0,30,INSTALLED AND USED,30.0,25.0,49.0,763.0,562.0,60306.0,18707.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-8,ALBRITTON,O'BRIEN,NARCOTICS,"WC,TX",D,42100.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-9,ALBRITTON,O'BRIEN,NARCOTICS,"WC,TX",D,42136.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
