State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts per Day,Number of Persons Intercepted,Number of Intercepts,Number of Incriminating Intercepts,Total Cost ($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
ARIZONA,MARICOPA,2013-1,WELTY,MONTGOMERY,NARCOTICS,"WC,TX",D,41333.0,30,0,30,INSTALLED AND USED,49.0,47.0,41.0,2294.0,821.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-16
ARIZONA,MARICOPA,2013-2,WELTY,MONTGOMERY,NARCOTICS,WC,D,41365.0,30,1,60,INSTALLED AND USED,29.0,44.0,3.0,1289.0,513.0,22698.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2013-3,GATES,MONTGOMERY,NARCOTICS,"WC,TX",D,41446.0,30,2,90,INSTALLED AND USED,6.0,1.0,0.0,4.0,0.0,6282.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2013-4,MCCOY,MONTGOMERY,NARCOTICS,"WC,TX",D,41464.0,30,5,180,INSTALLED AND USED,55.0,142.0,20.0,7800.0,257.0,48814.0,8400.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2013-5,KREAMER,MONTGOMERY,NARCOTICS,WC,D,41590.0,30,1,60,INSTALLED AND USED,81.0,91.0,124.0,7355.0,726.0,169376.0,11000.0,11.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2011-15,MCMURDIE,ALLEMAN,NARCOTICS,WC,D,40544.0,30,0,30,INSTALLED AND USED,30.0,29.0,45.0,856.0,100.0,23000.0,3000.0,1.0,0.0,0.0,0.0,0.0,1.0,,
ARIZONA,STATE ATTORNEY GENERAL,2011-16,GRANVILLE,BARRICK,NARCOTICS,WC,D,40665.0,30,0,30,INSTALLED AND USED,88.0,96.0,3.0,8435.0,702.0,197246.0,7890.0,5.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2011-17,GRANVILLE,BARRICK,NARCOTICS,WC,D,40665.0,30,2,90,INSTALLED AND USED,43.0,59.0,110.0,2534.0,564.0,33374.0,2548.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2011-18,GRANVILLE,BARRICK,NARCOTICS,WC,D,40696.0,30,0,30,INSTALLED AND USED,30.0,9.0,7.0,265.0,0.0,20904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2011-19,GRANVILLE,BARRICK,NARCOTICS,WC,D,40703.0,30,0,30,INSTALLED AND USED,81.0,231.0,9.0,18676.0,3227.0,368000.0,30000.0,30.0,0.0,0.0,0.0,0.0,6.0,,
ARIZONA,STATE ATTORNEY GENERAL,2011-20,GRANVILLE,BARRICK,NARCOTICS,WC,D,40723.0,30,1,60,INSTALLED AND USED,30.0,2.0,15.0,72.0,27.0,23230.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2011-21,GRANVILLE,BARRICK,NARCOTICS,WC,D,40756.0,30,0,30,INSTALLED AND USED,116.0,114.0,10.0,13232.0,3002.0,90450.0,5384.0,2.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2011-22,GRANVILLE,BARRICK,NARCOTICS,WC,D,40756.0,30,1,60,INSTALLED AND USED,34.0,18.0,48.0,606.0,7.0,53800.0,800.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2011-23,GRANVILLE,BARRICK,NARCOTICS,WC,D,40756.0,30,0,30,INSTALLED AND USED,30.0,94.0,250.0,2816.0,104.0,37028.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2011-24,GRANVILLE,BARRICK,NARCOTICS,WC,D,40794.0,30,0,30,INSTALLED AND USED,30.0,72.0,35.0,2163.0,651.0,112000.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2011-25,GRANVILLE,BARRICK,NARCOTICS,WC,D,40794.0,30,0,30,INSTALLED AND USED,90.0,37.0,30.0,3364.0,937.0,88000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-16
