State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepted,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Result Related
ARIZONA,MARICOPA,2012-14,KREAMER,CONTI,NARCOTICS,"WC,OO","D,O",41191.0,30,1,60,INSTALLED AND USED,42.0,195.0,2.0,8198.0,1542.0,136156.0,1000.0,10.0,0.0,0.0,0.0,0.0,8.0,,
ARIZONA,MARICOPA,2014-1,MCCOY,MONTGOMERY,NARCOTICS,WC,D,41464.0,30,8,270,INSTALLED AND USED,55.0,74.0,90.0,4067.0,1185.0,20173.0,6900.0,3.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2014-2,GATES,CONTI,NARCOTICS,"WC,WO",D,41570.0,30,10,330,INSTALLED AND USED,30.0,234.0,15.0,7019.0,662.0,13651.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2014-3,KREAMER,MONTGOMERY,NARCOTICS,WC,D,41661.0,30,3,120,INSTALLED AND USED,6.0,128.0,770.0,770.0,25.0,13337.0,3337.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2014-4,GATES,MONTGOMERY,NARCOTICS,"WC,TX",D,41674.0,30,3,120,INSTALLED AND USED,120.0,79.0,20.0,9538.0,2440.0,70716.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2014-5,KREAMER,MONTGOMERY,NARCOTICS,WC,D,41684.0,30,3,120,NEVER INSTALLED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2014-6,KREAMER,MONTGOMERY,CONSPIRACY,"WC,OM","D,O",41710.0,30,0,30,INSTALLED AND USED,44.0,294.0,37.0,12948.0,2980.0,20662.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2014-7,GATES,MONTGOMERY,NARCOTICS,"WC,WO,TX",D,41759.0,30,6,210,INSTALLED AND USED,30.0,62.0,1870.0,1871.0,807.0,21979.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2014-8,KREAMER,MONTGOMERY,NARCOTICS,"WC,TX",D,41760.0,30,0,30,INSTALLED AND USED,30.0,134.0,19.0,4021.0,705.0,17495.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2014-9,KREAMER,MONTGOMERY,NARCOTICS,"WC,OO,EO","D,O",41806.0,30,2,90,INSTALLED AND USED,43.0,112.0,96.0,4803.0,1217.0,25787.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2014-10,BERGIN,MONTGOMERY,NARCOTICS,WC,D,41809.0,30,0,30,INSTALLED AND USED,67.0,299.0,42.0,20065.0,3236.0,19272.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2014-11,WELTY,CONTI,NARCOTICS,"WC,TX,EO",D,41827.0,30,3,120,INSTALLED AND USED,102.0,186.0,7.0,18968.0,3275.0,232577.0,26077.0,19.0,0.0,0.0,0.0,0.0,10.0,,
ARIZONA,MARICOPA,2014-12,GATES,MONTGOMERY,NARCOTICS,"WC,TX,EO",D,41837.0,30,1,60,INSTALLED AND USED,49.0,33.0,117.0,1625.0,1381.0,284605.0,69265.0,13.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2014-13,WELTY,MONTGOMERY,NARCOTICS,"WC,WS","D,B",41841.0,30,1,60,INSTALLED AND USED,60.0,121.0,484.0,7271.0,1471.0,502000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2014-14,MCCOY,MONTGOMERY,NARCOTICS,"WC,TX",D,41898.0,30,2,90,INSTALLED AND USED,83.0,341.0,352.0,28267.0,1407.0,155593.0,29967.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,PIMA,2014-1,BERNINI,LAWALL,NARCOTICS,"WC,TX",D,41744.0,30,1,60,INSTALLED AND USED,164.0,0.0,43.0,NR,2350.0,254000.0,240000.0,1.0,0.0,0.0,0.0,0.0,2.0,,
ARIZONA,PIMA,2014-2,BERNINI,LAWALL,NARCOTICS,"WC,TX,EO",D,41806.0,30,0,30,INSTALLED AND USED,167.0,204.0,10.0,34000.0,4127.0,430009.0,41432.0,19.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,PIMA,2014-3,BERNINI,LAWALL,CONSPIRACY,"WC,TX,EO",D,41817.0,30,0,30,INSTALLED AND USED,120.0,548.0,122.0,65783.0,38572.0,364678.0,59240.0,23.0,0.0,0.0,0.0,0.0,18.0,,
ARIZONA,PIMA,2014-4,FIELDS,ORTIZ,FRAUD,"WO,TX,EO",D,41852.0,30,3,120,INSTALLED AND USED,118.0,409.0,334.0,48312.0,2669.0,273767.0,20702.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2014-2
ARIZONA,PIMA,2014-5,FIELDS,VEJAR,FRAUD,"WO,TX,EO",D,41872.0,30,0,30,INSTALLED AND USED,36.0,129.0,180.0,4658.0,982.0,397711.0,11000.0,15.0,0.0,0.0,0.0,0.0,1.0,,
ARIZONA,PIMA,2014-6,FIELDS,VEJAR,FRAUD,"WO,TX,EO",D,41872.0,30,2,90,INSTALLED AND USED,7.0,108.0,38.0,757.0,80.0,19186.0,800.0,2.0,0.0,0.0,0.0,0.0,2.0,,
ARIZONA,PIMA,2014-7,BERNINI,LAWALL,NARCOTICS,"WC,TX",D,41872.0,30,0,30,INSTALLED AND USED,189.0,186.0,430.0,35142.0,8641.0,365004.0,19132.0,6.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,PIMA,2014-8,FIELDS,VEJAR,FRAUD,"WO,TX,EO",D,41905.0,30,0,30,INSTALLED AND USED,28.0,266.0,217.0,7444.0,1936.0,74265.0,9828.0,18.0,0.0,0.0,0.0,0.0,5.0,,
