State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
ALASKA,3rd Judicial District,2017-1,MOTYKA,LINDEMUTH,MURDER,"WC,TX",D,42870.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,29.0,47,886,,,,1.0,,,,,,,
ALASKA,3rd Judicial District,2017-2,MOTYKA,LINDEMUTH,MURDER,"WC,TX",D,42870.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,29.0,47,886,,,,1.0,,,,,,,
ALASKA,3rd Judicial District,2017-3,MOTYKA,LINDEMUTH,MURDER,"WC,TX",D,42870.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ALASKA,3rd Judicial District,2017-4,MOTYKA,LINDEMUTH,MURDER,"WC,TX",D,42870.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ALASKA,4th Judicial District,2017-1,MACDONALD,LINDEMUTH,MURDER,"WC,TX",D,42790.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,31.0,1,472,0,60744.0,20000.0,3.0,,0.0,0.0,0.0,,,
ALASKA,4th Judicial District,2017-2,MACDONALD,LINDEMUTH,MURDER,"WC,TX",D,42795.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,19.0,1,270,0,60744.0,20000.0,3.0,0.0,0.0,0.0,0.0,,,
ALASKA,4th Judicial District,2017-3,MACDONALD,LINDEMUTH,MURDER,"WC,TX",D,42790.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,MARICOPA,2015-8,GATES,CONTI,DRUGS - ILLEGAL,"WC,TX",D,42277.0,30.0,4.0,150.0,INSTALLED AND USED,79.0,94.0,30,"7,500","4,500",433891.0,120399.0,10.0,,,,,10.0,,
ARIZONA,MARICOPA,2016-5,MYERS,MONTGOMERY,DRUGS - ILLEGAL,"WC,TX",D,42391.0,30.0,4.0,150.0,INSTALLED AND USED,143.0,617.0,"1,140","88,365","17,271",398921.0,54080.0,4.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2016-6,MYERS,METZ,DRUGS - ILLEGAL,WC,D,42493.0,30.0,2.0,90.0,INSTALLED AND USED,70.0,224.0,2,"15,700","3,042",286186.0,15976.0,17.0,,,,,,,
ARIZONA,MARICOPA,2016-7,MCCOY,BARRICK,DRUGS - ILLEGAL,"WC,TX",D,42429.0,30.0,5.0,180.0,INSTALLED AND USED,180.0,,,,,217289.0,20513.0,14.0,,,,,14.0,,
ARIZONA,MARICOPA,2016-8,GRANVILLE,MONTGOMERY,DRUGS - ILLEGAL,"WC,TX",D,42466.0,30.0,12.0,390.0,INSTALLED AND USED,170.0,66.0,271,"11,297","3,659",437468.0,43535.0,15.0,,,,,,,
ARIZONA,MARICOPA,2016-9,GATES,CROWLEY,DRUGS - ILLEGAL,"WC,TX",D,42457.0,30.0,5.0,180.0,INSTALLED AND USED,180.0,894.0,,"160,984","8,665",433891.0,120399.0,21.0,,,,,14.0,,
ARIZONA,MARICOPA,2016-10,MCCOY,MONTGOMERY,DRUGS - ILLEGAL,"WC,TX",D,42516.0,30.0,5.0,180.0,INSTALLED AND USED,169.0,67.0,302,"11,380","5,251",174157.0,16745.0,4.0,,,,,,,
ARIZONA,MARICOPA,2016-11,MCCOY,BARRICK,DRUGS - ILLEGAL,WC,D,42632.0,30.0,4.0,150.0,INSTALLED AND USED,69.0,454.0,4,"31,362",833,476659.0,24000.0,9.0,,,,,5.0,,
ARIZONA,MARICOPA,2017-9,MYERS,MONTGOMERY,NARCOTICS,"WC,TX",D,42684.0,30.0,1.0,60.0,INSTALLED AND USED,51.0,111.0,,"5,704",598,,,9.0,0.0,0.0,0.0,0.0,3.0,,
ARIZONA,MARICOPA,2017-10,MYERS,MONTGOMERY,NARCOTICS,"WC,TX",D,42753.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,18.0,,292,3,,,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2017-11,MYERS,ALLEMAN,CONSPIRACY,"WC,AP",D,42541.0,30.0,14.0,389.0,INSTALLED AND USED,261.0,0.0,85,16,,369468.0,46276.0,17.0,,,,,14.0,,
ARIZONA,MARICOPA,2017-12,GRANVILLE,BARRICK,DRUGS - ILLEGAL,WC,D,42801.0,30.0,1.0,60.0,INSTALLED AND USED,40.0,,,,,27787.0,742.0,1.0,,,,,,,
ARIZONA,MARICOPA,2017-13,GATES,CROWLEY,DRUGS - ILLEGAL,"WC,TX",D,42696.0,30.0,5.0,180.0,INSTALLED AND USED,180.0,193.0,369,"34,841","10,137",264604.0,26135.0,3.0,,,,,,,
ARIZONA,MARICOPA,2017-14,GRANVILLE,BARRICK,DRUGS - ILLEGAL,"WC,TX",D,42877.0,30.0,6.0,210.0,INSTALLED AND USED,73.0,92.0,54,"6,781","2,346",,,,,,,,,,
ARIZONA,MARICOPA,2017-15,MYERS,BARRICK,CONSPIRACY,"WC,TX",D,42906.0,30.0,2.0,90.0,INSTALLED AND USED,46.0,108.0,15,"5,000","4,000",205351.0,30351.0,2.0,,,,,2.0,,
ARIZONA,MARICOPA,2017-16,GATES,CROWLEY,POSSESSION,WC,D,42927.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,,1,,32820.0,8960.0,2.0,,,,,,,
ARIZONA,MARICOPA,2017-17,GATES,CROWLEY,DRUGS - ILLEGAL,"WC,TX",D,42783.0,30.0,9.0,300.0,INSTALLED AND USED,300.0,140.0,16,"42,225","8,692",507681.0,29553.0,24.0,,,,,17.0,,
ARIZONA,MARICOPA,2017-18,GATES,CROWLEY,DRUGS - ILLEGAL,WC,D,43045.0,30.0,0.0,30.0,INSTALLED AND USED,4.0,21.0,5,84,30,4625.0,625.0,4.0,,,,,,,
ARIZONA,MARICOPA,2017-19,MYERS,MONTGOMERY,DRUGS - ILLEGAL,"WC,OM,TX",D,42992.0,30.0,5.0,180.0,INSTALLED AND USED,68.0,75.0,49,"5,101","1,725",107000.0,19000.0,8.0,,,,,,,
