"Wiretap Table 9—Arrests and Convictions as a Result of Intercept Orders Installed
For Calendar Years 2008 - 2018",,,,,,,,,,,,,,
Year of Intercepts,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,Total All Years,,
,,,,,,,,,,,,Number,Percent,
2007.0,,,,,,,,,,,,,,
Arrests,1736.0,1074.0,245.0,205.0,29.0,110.0,4.0,77.0,0.0,0.0,0.0,3480.0,1.0,
Convictions,1180.0,831.0,275.0,159.0,7.0,135.0,6.0,53.0,0.0,0.0,0.0,2646.0,0.760344827586207,
2008.0,,,,,,,,,,,,,,
Arrests,4133.0,2566.0,354.0,424.0,56.0,130.0,131.0,116.0,3.0,0.0,0.0,7913.0,1.0,
Convictions,810.0,1452.0,554.0,414.0,81.0,89.0,119.0,101.0,2.0,0.0,0.0,3622.0,0.45772778971313,
2009.0,,,,,,,,,,,,,,
Arrests,0.0,4537.0,1887.0,828.0,184.0,218.0,43.0,244.0,11.0,0.0,0.0,7952.0,1.0,
Convictions,0.0,678.0,1222.0,811.0,268.0,149.0,41.0,196.0,4.0,0.0,0.0,3369.0,0.423667002012072,
2010.0,,,,,,,,,,,,,,
Arrests,0.0,0.0,4711.0,2430.0,1398.0,1001.0,249.0,483.0,61.0,23.0,40.0,10396.0,1.0,
Convictions,0.0,0.0,800.0,1220.0,755.0,428.0,159.0,373.0,58.0,23.0,41.0,3857.0,0.371008080030781,
2011.0,,,,,,,,,,,,,,
Arrests,0.0,0.0,0.0,3547.0,3077.0,1467.0,1011.0,1166.0,800.0,137.0,150.0,11355.0,1.0,
Convictions,0.0,0.0,0.0,465.0,1479.0,839.0,826.0,772.0,625.0,78.0,48.0,5132.0,0.451959489211801,
2012.0,,,,,,,,,,,,,,
Arrests,0.0,0.0,0.0,0.0,3743.0,1950.0,1678.0,1530.0,1041.0,29.0,411.0,10382.0,1.0,
Convictions,0.0,0.0,0.0,0.0,455.0,1190.0,1209.0,761.0,906.0,27.0,69.0,4617.0,0.444712001541129,
2013.0,,,,,,,,,,,,,,
Arrests,0.0,0.0,0.0,0.0,0.0,3744.0,2897.0,1929.0,1667.0,83.0,157.0,10477.0,1.0,
Convictions,0.0,0.0,0.0,0.0,0.0,709.0,1340.0,1120.0,1447.0,41.0,74.0,4731.0,0.45156056122936,
2014.0,,,,,,,,,,,,,,
Arrests,0.0,0.0,0.0,0.0,0.0,0.0,3544.0,2635.0,1913.0,592.0,299.0,8983.0,1.0,
Convictions,0.0,0.0,0.0,0.0,0.0,0.0,553.0,1155.0,1292.0,89.0,220.0,3309.0,0.368362462429033,
2015.0,,,,,,,,,,,,,,
Arrests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4448.0,6054.0,622.0,726.0,11850.0,1.0,
Convictions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,1733.0,251.0,322.0,2896.0,0.244388185654008,
2016.0,,,,,,,,,,,,,,
Arrests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12415.0,2908.0,2935.0,18258.0,1.0,
Convictions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1248.0,978.0,246.0,2472.0,0.135392704567861,
2017.0,,,,,,,,,,,,,,
Arrests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9565.0,9131.0,18696.0,1.0,
Convictions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1936.0,2289.0,4225.0,0.225984167736414,
2018.0,,,,,,,,,,,,,,
Arrests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7498.0,7498.0,1.0,
Convictions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.0,1122.0,0.149639903974393,
