"Wiretap Table 4—Summary of Interceptions of Wire, Oral, or Electronic Communications
January 1 Through December 31, 2018",,,,,
Reporting Jurisdiction,"Number
Authorized","Orders for Which
Intercepts Installed",Average Number per Order When Installed²,,
,,,"Persons
Intercepted",Intercepts,"Incriminating
Intercepts"
Total,2937.0,1684.0,119.1,22787.8,719.7
Federal Total,1457.0,462.0,118.3,54555.4,1467.1
ALABAMA  MIDDLE,2.0,NP¹,NP¹,NP¹,NP¹
ALABAMA  SOUTHERN,3.0,NP¹,NP¹,NP¹,NP¹
ALABAMA NORTHERN,6.0,5,27,"2,618","1,842"
ARIZONA,40.0,8,49,"1,546",558
ARKANSAS  WESTERN,1.0,1,169,NR¹,243
ARKANSAS EASTERN,19.0,9,9,"3,545","1,173"
CALIFORNIA CENTRAL,119.0,19,77,"2,927",485
CALIFORNIA EASTERN,19.0,15,35,"18,535","18,089"
CALIFORNIA NORTHERN,59.0,2,521,"17,216","8,045"
CALIFORNIA SOUTHERN,37.0,19,219,"6,867","2,383"
COLORADO,11.0,1,60,917,-
CONNECTICUT,23.0,6,30,"5,268","1,968"
DELAWARE,1.0,NP¹,NP¹,NP¹,NP¹
DISTRICT OF COLUMBIA,21.0,17,37,"3,722",790
FLORIDA  NORTHERN,4.0,NP¹,NP¹,NP¹,NP¹
FLORIDA MIDDLE,52.0,15,16,"4,800",514
FLORIDA SOUTHERN,15.0,9,96,"1,449",445
GEORGIA  NORTHERN,4.0,NP¹,NP¹,NP¹,NP¹
GEORGIA MIDDLE,10.0,1,158,"3,068",831
GEORGIA SOUTHERN,20.0,6,8,63,4
HAWAII,5.0,5,87,"20,208","2,159"
IDAHO,2.0,2,34,"1,013",529
ILLINOIS CENTRAL,2.0,1,21,"1,055",349
ILLINOIS NORTHERN,92.0,34,117,"4,670","1,629"
ILLINOIS SOUTHERN,1.0,1,132,"33,345","4,696"
INDIANA NORTHERN,4.0,2,15,604,221
INDIANA SOUTHERN,18.0,2,266,"8,520","1,485"
IOWA NORTHERN,8.0,2,28,"3,513",207
KANSAS,7.0,NP¹,NP¹,NP¹,NP¹
KENTUCKY WESTERN,30.0,3,21,"1,349",799
LOUISIANA EASTERN,12.0,1,33,"2,686","2,271"
LOUISIANA MIDDLE,8.0,3,35,236,138
LOUISIANA WESTERN,5.0,5,30,"3,690",315
