"Wiretap Table 8—Summary of Supplementary Reports for Intercepts
Terminated in Calendar Years 2010 Through 2018
Reported in 2018",,,,,,,,
,Total Additional Activity During Calendar Year 2018,,,,,,,
Report Year and Jurisdiction,"Number
of
Reports","Costs
in $","Number of
Persons
Arrested","Number
 of
Trials","Motions to
Suppress Intercepts",,,"Number of
Persons
Convicted"
,,,,,Granted,Denied,Pending,
TOTAL ALL YEARS,1573.0,61254707.0,7932.0,81.0,8.0,84.0,63.0,2295.0
TOTAL 2010,4.0,445693.0,21.0,0.0,0.0,0.0,0.0,22.0
FEDERAL,4.0,445693.0,21.0,0.0,0.0,0.0,0.0,22.0
TOTAL 2011,33.0,805736.0,150.0,0.0,4.0,14.0,0.0,48.0
FEDERAL,14.0,805736.0,10.0,0.0,4.0,0.0,0.0,35.0
FLORIDA,,,,,,,,
2ND JUDICIAL CIRCUIT (LEON),1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ILLINOIS,,,,,,,,
COOK,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
NEW JERSEY,,,,,,,,
MONMOUTH,3.0,0.0,135.0,0.0,0.0,3.0,0.0,9.0
PENNSYLVANIA,,,,,,,,
STATE ATTORNEY GENERAL,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
TOTAL 2012,67.0,2138889.0,405.0,6.0,0.0,7.0,0.0,69.0
FEDERAL,60.0,2138889.0,6.0,0.0,0.0,0.0,0.0,6.0
NEW JERSEY,,,,,,,,
MONMOUTH,7.0,0.0,399.0,6.0,0.0,7.0,0.0,63.0
TOTAL 2013,76.0,2622399.0,122.0,3.0,0.0,0.0,0.0,64.0
FEDERAL,63.0,2622399.0,44.0,0.0,0.0,0.0,0.0,21.0
ILLINOIS,,,,,,,,
COOK,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
NEW JERSEY,,,,,,,,
MONMOUTH,3.0,0.0,78.0,3.0,0.0,0.0,0.0,15.0
NEW YORK,,,,,,,,
WESTCHESTER,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
TEXAS,,,,,,,,
BURNET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
TOTAL 2014,120.0,5187189.0,171.0,4.0,1.0,8.0,1.0,171.0
FEDERAL,96.0,5187189.0,167.0,3.0,0.0,1.0,1.0,121.0
ILLINOIS,,,,,,,,
COOK,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
MASSACHUSETTS,,,,,,,,
MIDDLESEX,1.0,0.0,3.0,1.0,1.0,7.0,0.0,9.0
NEW JERSEY,,,,,,,,
MONMOUTH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEW YORK,,,,,,,,
NASSAU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PENNSYLVANIA,,,,,,,,
BERKS,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
TOTAL 2015,109.0,3684203.0,658.0,4.0,1.0,16.0,15.0,309.0
FEDERAL,85.0,3684203.0,138.0,3.0,1.0,0.0,0.0,157.0
COLORADO,,,,,,,,
1ST JUDICIAL DISTRICT (JEFFERSON),2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
NEW YORK,,,,,,,,
NASSAU,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
NEW YORK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
WESTCHESTER,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
OKLAHOMA,,,,,,,,
STATE ATTORNEY GENERAL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
PENNSYLVANIA,,,,,,,,
BERKS,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
TENNESSEE,,,,,,,,
7TH JUDICIAL DISTRICT (ANDERSON),15.0,0.0,510.0,0.0,0.0,15.0,15.0,140.0
TEXAS,,,,,,,,
HIDALGO,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
TOTAL 2016,197.0,11442815.0,1639.0,8.0,1.0,2.0,3.0,184.0
FEDERAL,145.0,6750504.0,277.0,2.0,0.0,2.0,1.0,128.0
FLORIDA,,,,,,,,
11TH JUDICIAL CIRCUIT (DADE),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2ND JUDICIAL CIRCUIT (LEON),1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
GEORGIA,,,,,,,,
DEKALB,1.0,3048945.0,32.0,2.0,0.0,0.0,0.0,3.0
INDIANA,,,,,,,,
ELKHART,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NEVADA,,,,,,,,
CLARK,4.0,60423.0,0.0,0.0,0.0,0.0,0.0,6.0
NEW JERSEY,,,,,,,,
