country,continent,gdp_per_capita,life_expectancy,population
Afghanistan,Asia,663,54.863,22.856302
Albania,Europe,4195,74.2,3.071856
Algeria,Africa,5098,68.963,30.533827
Angola,Africa,2446,45.234,13.926373
Antigua and Barbuda,N. America,12738,73.544,0.077656
Argentina,S. America,10571,73.822,36.930709
Armenia,Europe,2114,71.494,3.076098
Australia,Oceania,29241,79.93,19.164351
Austria,Europe,32008,78.33,8.004712
Azerbaijan,Europe,2533,66.851,8.110723
Bahamas,N. America,22728,72.37,0.297651
Bahrain,Asia,22015,74.497,0.638193
Bangladesh,Asia,1075,65.309,129.592275
Barbados,N. America,14982,73.118,0.267511
Belarus,Europe,5936,68.99,10.05781
Belgium,Europe,29940,77.91,10.175684
Belize,N. America,6545,70.425,0.250512
Benin,Africa,1307,55.261,6.51781
Bhutan,Asia,2922,60.307,0.571262
Bolivia,S. America,3394,62.994,8.307248
Bosnia and Herzegovina,Europe,5733,74.882,3.693698
Botswana,Africa,10107,50.567,1.757925
Brazil,S. America,8056,70.261,174.425387
Brunei,Asia,48020,75.927,0.327036
Bulgaria,Europe,6907,71.59,8.006158
Burkina Faso,Africa,1001,50.589,12.294012
Burundi,Africa,443,48.251,6.374347
Cambodia,Asia,982,62.03,12.446949
Cameroon,Africa,1803,51.96,15.678269
Canada,N. America,32448,79.41,30.667365
Cape Verde,Africa,2291,69.835,0.437238
Central African Rep.,Africa,762,43.727,3.701607
Chad,Africa,1017,46.708,8.222327
Chile,S. America,10435,77.01,15.41982
China,Asia,3407,72.124,1269.116737
Colombia,S. America,5749,71.026,39.764166
Comoros,Africa,1090,57.9,0.562469
"Congo, Dem. Rep.",Africa,292,46.387,49.6262
"Congo, Rep.",Africa,3423,52.326,3.135773
Costa Rica,N. America,7672,77.721,3.91918
Cote d'Ivoire,Africa,1746,46.429,16.581653
Croatia,Europe,10582,74.798,4.505533
Cuba,N. America,6115,76.684,11.104313
Cyprus,Europe,22821,78.011,0.943294
Czech Rep.,Europe,16823,75.05,10.24289
Denmark,Europe,31805,76.9,5.339501
Djibouti,Africa,1894,57.023,0.73193
Dominican Rep.,N. America,4350,70.553,8.591967
Ecuador,S. America,5616,73.353,12.345023
Egypt,Africa,4629,68.632,67.648419
El Salvador,N. America,5341,69.715,5.940305
Equatorial Guinea,Africa,5240,47.723,0.52038
Eritrea,Africa,741,56.131,3.667576
Estonia,Europe,11244,70.8,1.370749
Ethiopia,Africa,512,52.245,65.577897
Fiji,Oceania,3856,67.553,0.811718
Finland,Europe,27171,77.76,5.17337
France,Europe,28636,79.23,59.047795
Gabon,Africa,12764,59.744,1.235274
Gambia,Africa,687,55.115,1.297084
Georgia,Europe,2332,71.839,4.745765
Germany,Europe,29726,78.14127463,82.349027
Ghana,Africa,1067,56.996,19.16549
Greece,Europe,20675,78.535,10.986883
Greenland,N. America,33204,67.03,0.056196
Grenada,N. America,8655,70.341,0.101522
Guatemala,N. America,4884,67.768,11.237101
Guinea,Africa,906,51.257,8.344486
Guinea-Bissau,Africa,632,51.468,1.240655
Guyana,S. America,3141,63.29,0.733101
Haiti,N. America,1344,57.46,8.645371
Honduras,N. America,3093,70.482,6.218151
"Hong Kong, China",Asia,29972,80.361,6.783317
Hungary,Europe,13592,71.86,10.210545
Iceland,Europe,31092,79.72,0.28121
India,Asia,1648,62.129,1053.898107
Indonesia,Asia,2714,67.289,213.395411
Iran,Asia,8600,69.611,65.342319
Iraq,Asia,3951,70.845,23.857458
Ireland,Europe,30827,76.66,3.80378
Israel,Asia,22834,78.75,6.014953
Italy,Europe,27160,79.73,56.986329
Jamaica,N. America,6934,70.479,2.581648
