Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018,17-18 change
138 St-Grand Concourse,54,The Bronx,365,957984.0,1033559.0,1056380.0,1070024.0,1036746.0,944598,-92148.0
149 St-Grand    Concourse,542,The Bronx,121,4427399.0,4536888.0,4424754.0,4381900.0,4255015.0,3972763,-282252.0
161 St-Yankee    Stadium,4DB,The Bronx,38,8766012.0,8961029.0,8922188.0,8784407.0,8596506.0,8392290,-204216.0
167 St,4,The Bronx,165,3081534.0,3067345.0,3180274.0,3179087.0,2954228.0,2933140,-21088.0
167 St,DB,The Bronx,231,3091289.0,3245977.0,3295032.0,3365748.0,3293451.0,2022919,-1270532.0
170 St,4,The Bronx,183,2961575.0,2941958.0,3045205.0,3038777.0,2785331.0,2562443,-222888.0
170 St,DB,The Bronx,192,2174082.0,2297459.0,2286670.0,2317558.0,2270027.0,2454974,184947.0
174 St,52,The Bronx,228,2301756.0,2374812.0,2313651.0,2411413.0,2334317.0,2056692,-277625.0
174-175 Sts,DB,The Bronx,352,1598189.0,1719504.0,1695879.0,1752387.0,1735321.0,1005075,-730246.0
176 St,4,The Bronx,258,1837995.0,1848854.0,1969221.0,2036529.0,1943854.0,1803691,-140163.0
182-183 Sts,DB,The Bronx,293,1520856.0,1604218.0,1643266.0,1682092.0,1577144.0,1502814,-74330.0
183 St,4,The Bronx,255,2002633.0,2007140.0,2057944.0,2071316.0,2001410.0,1831457,-169953.0
219 St,52,The Bronx,348,1099491.0,1124522.0,1108859.0,1049128.0,1044200.0,1026894,-17306.0
225 St,52,The Bronx,326,1400377.0,1445591.0,1439495.0,1365544.0,1323910.0,1224369,-99541.0
231 St,1,The Bronx,158,2757855.0,2912283.0,2966015.0,3013521.0,3013031.0,3133231,120200.0
233 St,52,The Bronx,296,1719181.0,1803693.0,1762923.0,1688487.0,1565455.0,1496673,-68782.0
238 St,1,The Bronx,362,1092492.0,1209623.0,1240616.0,1327862.0,1335877.0,960970,-374907.0
3 Av-138 St,6,The Bronx,193,2443326.0,2534036.0,2531974.0,2509085.0,2515479.0,2451972,-63507.0
3 Av-149 St,52,The Bronx,58,7310115.0,7763151.0,7363663.0,7609968.0,7458222.0,6784053,-674169.0
Allerton Av,52,The Bronx,279,1747352.0,1829712.0,1821628.0,1733740.0,1678247.0,1603702,-74545.0
Baychester Av,5,The Bronx,351,1234050.0,1186372.0,1137693.0,1112259.0,1054373.0,1006343,-48030.0
Bedford Park    Blvd,DB,The Bronx,238,2040887.0,2136860.0,2196065.0,2240256.0,2220298.0,1984267,-236031.0
Bedford Park    Blvd-Lehman College,4,The Bronx,281,1853706.0,1827260.0,1863892.0,1812036.0,1716853.0,1575555,-141298.0
Bronx Park    East,52,The Bronx,384,914831.0,933109.0,877311.0,841547.0,799927.0,752916,-47011.0
Brook Av,6,The Bronx,248,1970010.0,2002825.0,1981721.0,1964831.0,1938814.0,1895570,-43244.0
Buhre Av,6,The Bronx,339,1111659.0,637600.0,661527.0,1048776.0,1094122.0,1110307,16185.0
Burke Av,52,The Bronx,354,1133298.0,1158787.0,1139826.0,1099582.0,1064119.0,997617,-66502.0
Burnside Av,4,The Bronx,155,3560191.0,3558297.0,3641720.0,3617308.0,3442348.0,3198218,-244130.0
Castle Hill    Av,6,The Bronx,235,1756879.0,1491030.0,2174412.0,2100194.0,2071819.0,2000084,-71735.0
Cypress Av,6,The Bronx,338,1186696.0,1226878.0,1228311.0,1265930.0,1230910.0,1113667,-117243.0
East 143    St-St Mary's St,6,The Bronx,416,273895.0,279012.0,298462.0,313386.0,285667.0,301240,15573.0
East 149 St,6,The Bronx,291,1457795.0,1460311.0,1479241.0,1518946.0,1531045.0,1508022,-23023.0
East 180 St,52,The Bronx,208,2152570.0,2445421.0,2368031.0,2518622.0,2589024.0,2249646,-339378.0
Eastchester-Dyre    Av,5,The Bronx,321,1441375.0,1380334.0,1330123.0,1293411.0,1261041.0,1259009,-2032.0
Elder Av,6,The Bronx,234,2041453.0,2084044.0,2080228.0,2117178.0,2107677.0,2000985,-106692.0
Fordham Rd,4,The Bronx,147,3946955.0,3857749.0,3892140.0,3858183.0,3656367.0,3321215,-335152.0
Fordham Rd,DB,The Bronx,134,3876601.0,4028205.0,3905346.0,3890986.0,3843008.0,3596416,-246592.0
Freeman St,52,The Bronx,314,1486965.0,1517066.0,1492757.0,1588448.0,1556949.0,1354453,-202496.0
Gun Hill Rd,52,The Bronx,215,2304780.0,2477798.0,2449555.0,2473814.0,2429804.0,2197147,-232657.0
Gun Hill Rd,5,The Bronx,288,1792707.0,1716952.0,1639924.0,1619073.0,1555601.0,1521987,-33614.0
Hunts Point    Av,6,The Bronx,153,3158343.0,3138131.0,3305563.0,3269585.0,3243725.0,3216569,-27156.0
Intervale Av,52,The Bronx,366,1048501.0,1095221.0,1039265.0,1061240.0,1045483.0,943016,-102467.0
Jackson Av,52,The Bronx,280,1686061.0,1753555.0,1731638.0,1802193.0,1794781.0,1597307,-197474.0
Kingsbridge    Rd,4,The Bronx,173,3198725.0,3149605.0,3171646.0,3126119.0,3024692.0,2783082,-241610.0
Kingsbridge    Rd,DB,The Bronx,189,2390749.0,2562374.0,2530782.0,2566076.0,2589970.0,2475107,-114863.0
Longwood Av,6,The Bronx,344,1087990.0,1098022.0,1088970.0,1081519.0,1084049.0,1040934,-43115.0
Middletown Rd,6,The Bronx,398,441950.0,661242.0,795762.0,598447.0,609861.0,595044,-14817.0
Morris Park,5,The Bronx,389,631930.0,621945.0,629282.0,677899.0,685577.0,668423,-17154.0
Morrison    Av-Soundview,6,The Bronx,237,2096942.0,2125383.0,2097203.0,2135920.0,2125767.0,1988053,-137714.0
Mosholu Pkwy,4,The Bronx,185,2917501.0,2886764.0,2891451.0,2836370.0,2695090.0,2531607,-163483.0
Mt Eden Av,4,The Bronx,272,1848483.0,1824861.0,1844131.0,1824478.0,1708790.0,1652407,-56383.0
Nereid Av,52,The Bronx,345,1195804.0,1183733.0,1162973.0,1131328.0,1085289.0,1034335,-50954.0
Norwood-205    St,D,The Bronx,180,2569581.0,2709761.0,2750124.0,2805984.0,2723506.0,2611874,-111632.0
Parkchester,6,The Bronx,93,5215409.0,5586943.0,5224959.0,5201901.0,5071740.0,4836244,-235496.0
Pelham Bay    Park,6,The Bronx,219,2096130.0,2318533.0,2337689.0,2208725.0,2207720.0,2146552,-61168.0
Pelham Pkwy,52,The Bronx,178,3028494.0,3084862.0,3066190.0,2955589.0,2849210.0,2639586,-209624.0
Pelham Pkwy,5,The Bronx,373,919689.0,907735.0,894727.0,897374.0,869177.0,844884,-24293.0
Prospect Av,52,The Bronx,220,2311798.0,2445131.0,2394820.0,2513169.0,2413743.0,2142697,-271046.0
Simpson St,52,The Bronx,182,3027856.0,3121036.0,3048014.0,3046838.0,2965807.0,2585974,-379833.0
St Lawrence    Av,6,The Bronx,320,1280074.0,1315456.0,1320571.0,1329758.0,1334387.0,1273609,-60778.0
Tremont Av,DB,The Bronx,152,2952385.0,3130848.0,3155197.0,3213396.0,3154608.0,3246064,91456.0
Van Cortlandt    Park-242 St,1,The Bronx,199,2148667.0,2188428.0,2266986.0,2294482.0,2249314.0,2333136,83822.0
Wakefield-241    St,2,The Bronx,298,1528793.0,1669608.0,1654707.0,1662337.0,1578125.0,1484478,-93647.0
West Farms    Sq-East Tremont Av,52,The Bronx,225,2514240.0,2567773.0,2437882.0,2465907.0,2388659.0,2094751,-293908.0
Westchester    Sq-East Tremont Av,6,The Bronx,256,2043649.0,2177402.0,2056555.0,1952473.0,1917007.0,1817925,-99082.0
Whitlock Av,6,The Bronx,399,534489.0,543798.0,545079.0,571352.0,595385.0,592103,-3282.0
Woodlawn,4,The Bronx,217,2423278.0,2375663.0,2418890.0,2380900.0,2242100.0,2160859,-81241.0
Zerega Av,6,The Bronx,380,985388.0,599478.0,492883.0,784314.0,799739.0,792928,-6811.0
15    St-Prospect Park,GF,Brooklyn,252,2005424.0,2017347.0,2011237.0,1958444.0,1917454.0,1867619,-49835.0
18 Av,D,Brooklyn,245,1954729.0,1996205.0,1925239.0,2003777.0,1948610.0,1909554,-39056.0
18 Av,F,Brooklyn,330,1313344.0,1277024.0,1392552.0,1344286.0,1281041.0,1163390,-117651.0
18 Av,N,Brooklyn,358,1641928.0,1775695.0,1784992.0,723187.0,992834.0,981261,-11573.0
20 Av,D,Brooklyn,287,1547029.0,1564060.0,1592525.0,1656437.0,1579804.0,1534396,-45408.0
20 Av,N,Brooklyn,340,1286961.0,1305487.0,1279525.0,409416.0,664120.0,1075077,410957.0
25 Av,D,Brooklyn,282,1421090.0,1488192.0,1508412.0,1992945.0,1789365.0,1571134,-218231.0
25 St,R,Brooklyn,333,1218842.0,1274939.0,1221949.0,1188884.0,1373521.0,1149469,-224052.0
36 St,RND,Brooklyn,109,3826400.0,3970318.0,4138929.0,4235509.0,4543305.0,4293364,-249941.0
4 Av  /9    St,RGF,Brooklyn,122,4210873.0,4120946.0,4199208.0,4138758.0,4323467.0,3906028,-417439.0
45 St,R,Brooklyn,207,2251217.0,2323521.0,2321241.0,2228315.0,2390684.0,2251921,-138763.0
50 St,D,Brooklyn,361,1021409.0,1009971.0,968612.0,1012356.0,986060.0,965643,-20417.0
53 St,R,Brooklyn,196,2387370.0,2405353.0,2374338.0,2334471.0,1187907.0,2378056,1190149.0
55 St,D,Brooklyn,392,601931.0,603320.0,595157.0,665488.0,632198.0,650590,18392.0
59 St,RN,Brooklyn,120,3968334.0,4094658.0,4158863.0,4169280.0,5326789.0,3998207,-1328582.0
7 Av,QB,Brooklyn,159,2905400.0,2932926.0,2980366.0,2943272.0,3236816.0,3126475,-110341.0
7 Av,GF,Brooklyn,135,3904986.0,3886594.0,3780126.0,3700321.0,3623053.0,3572223,-50830.0
71 St,D,Brooklyn,265,1446020.0,1481633.0,1487929.0,2029479.0,1854361.0,1746966,-107395.0
77 St,R,Brooklyn,270,1645262.0,1711410.0,1723178.0,1743795.0,1980011.0,1676402,-303609.0
79 St,D,Brooklyn,247,1949861.0,2041896.0,2043471.0,2137349.0,2032937.0,1901043,-131894.0
8 Av,N,Brooklyn,129,3677764.0,3851372.0,3796909.0,4586559.0,4088721.0,3700661,-388060.0
86 St,N,Brooklyn,397,801109.0,837472.0,859293.0,419039.0,494456.0,609555,115099.0
86 St,R,Brooklyn,140,3662602.0,3753132.0,3747601.0,3752400.0,3516712.0,3470741,-45971.0
9 Av,D,Brooklyn,271,1896942.0,1938987.0,1843944.0,1858368.0,1737192.0,1667200,-69992.0
Alabama Av,J,Brooklyn,391,770075.0,784998.0,814578.0,834945.0,755935.0,652030,-103905.0
