Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts per Day,Number of Persons Intercepted,Number of Intercepts,Number of Incriminating Intercepts,Total Cost ($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
"ALABAMA, MIDDLE",2013-1,ALBRITTON,BLANCO,NARCOTICS,"WC,TX",D,41358.0,30,0,30,INSTALLED AND USED,60.0,2.0,20.0,90.0,90.0,95946.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-33
"ALABAMA, MIDDLE",2013-2,ALBRITTON,BLANCO,NARCOTICS,"WC,TX",D,41358.0,30,0,30,INSTALLED AND USED,30.0,3.0,58.0,102.0,102.0,77889.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-33
"ALABAMA, MIDDLE",2013-3,ALBRITTON,O'BRIEN,NARCOTICS,"WC,TX",D,41358.0,30,1,60,INSTALLED AND USED,87.0,48.0,91.0,4139.0,1289.0,58733.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2013-4,ALBRITTON,O'BRIEN,NARCOTICS,WC,D,41452.0,30,0,30,INSTALLED AND USED,88.0,37.0,106.0,3256.0,1467.0,83357.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2013-5,ALBRITTON,O'BRIEN,NARCOTICS,WC,D,41452.0,30,3,120,INSTALLED AND USED,58.0,4.0,21.0,237.0,175.0,35365.0,2725.0,8.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2007-5,JOHNSON,WARREN,MURDER,WC,D,39182.0,30,1,60,INSTALLED AND USED,58.0,4.0,21.0,237.0,175.0,35365.0,2725.0,8.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2009-3,JOHNSON,MORTON,NARCOTICS,WC,D,39909.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2011-1,KALLON,WEINSTEIN,NARCOTICS,WC,D,40744.0,30,1,60,INSTALLED AND USED,29.0,31.0,72.0,900.0,656.0,19045.0,2725.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2012-81
"ALABAMA, NORTHERN",2012-11,HOPKINS,BLANCO,NARCOTICS,WC,D,41193.0,30,0,30,INSTALLED AND USED,90.0,148.0,31.0,13312.0,3278.0,68325.0,6765.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2012-12,HOPKINS,HULSER,NARCOTICS,WC,D,41218.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2012-13,HOPKINS,HULSER,NARCOTICS,WC,D,41239.0,30,0,30,INSTALLED AND USED,90.0,110.0,300.0,9938.0,1308.0,73369.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-1,HOPKINS,O'BRIEN,NARCOTICS,WC,D,41262.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-2,HOPKINS,BREUER,NARCOTICS,WC,D,41292.0,30,0,30,INSTALLED AND USED,60.0,22.0,37.0,1313.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2011-76,
"ALABAMA, NORTHERN",2013-3,BOWDRE,BLANCO,NARCOTICS,WC,D,41316.0,30,0,30,INSTALLED AND USED,30.0,19.0,13.0,558.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-4,BOWDRE,BLANCO,NARCOTICS,WC,D,41316.0,30,0,30,INSTALLED AND USED,29.0,32.0,63.0,923.0,222.0,26801.0,5200.0,10.0,10.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-5,BOWDRE,O'BRIEN,NARCOTICS,WC,D,41330.0,30,0,30,INSTALLED AND USED,29.0,100.0,50.0,2899.0,1065.0,37560.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-6,BOWDRE,O'BRIEN,NARCOTICS,WC,D,41345.0,30,0,30,INSTALLED AND USED,60.0,2.0,18.0,143.0,52.0,338858.0,15475.0,6.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-7,COOGLER,O'BRIEN,NARCOTICS,"WC,TX",D,41352.0,30,0,30,NEVER INSTALLED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-8,COOGLER,O'BRIEN,CONSPIRACY,"WC,TX",D,41352.0,30,0,30,INSTALLED AND USED,44.0,57.0,27.0,2529.0,90.0,21947.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2012-94
"ALABAMA, NORTHERN",2013-9,COOGLER,O'BRIEN,NARCOTICS,"WC,TX",D,41362.0,30,0,30,INSTALLED AND USED,57.0,12.0,16.0,696.0,168.0,43940.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-10,COOGLER,BLANCO,CONSPIRACY,"WC,TX",D,41362.0,30,0,30,INSTALLED AND USED,11.0,16.0,6.0,176.0,26.0,9650.0,2725.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-11,BOWDRE,SWARTZ,NARCOTICS,WC,D,41362.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-12,BOWDRE,O'BRIEN,NARCOTICS,WC,D,41369.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-13,BOWDRE,O'BRIEN,NARCOTICS,WC,D,41369.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-14,COOGLER,BLANCO,NARCOTICS,"WC,TX",D,41383.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-15,COOGLER,BLANCO,CONSPIRACY,"WC,TX",D,41383.0,30,0,30,INSTALLED AND USED,4.0,0.0,2.0,1.0,0.0,19968.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-16,COOGLER,BLANCO,NARCOTICS,"WC,TX",D,41386.0,30,0,30,INSTALLED AND USED,28.0,3.0,27.0,97.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-17,COOGLER,BLANCO,CONSPIRACY,"WC,TX",D,41386.0,30,0,30,INSTALLED AND USED,30.0,141.0,58.0,4222.0,698.0,87000.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-18,COOGLER,BLANCO,NARCOTICS,"WC,TX",D,41393.0,30,0,30,INSTALLED AND USED,21.0,36.0,50.0,759.0,106.0,74991.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-19,KALLON,BITKOWER,NARCOTICS,WC,D,41430.0,30,1,60,INSTALLED AND USED,90.0,53.0,286.0,4766.0,470.0,98328.0,15600.0,5.0,5.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-20,KALLON,BITKOWER,NARCOTICS,WC,D,41430.0,30,1,60,INSTALLED AND USED,20.0,12.0,32.0,235.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-21,KALLON,BLANCO,NARCOTICS,TX,D,41452.0,30,0,30,INSTALLED AND USED,11.0,38.0,82.0,417.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-22,BOWDRE,O'BRIEN,NARCOTICS,WC,D,41481.0,30,0,30,INSTALLED AND USED,90.0,38.0,254.0,3399.0,2081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-23,KALLON,BLANCO,NARCOTICS,WC,D,41501.0,30,0,30,INSTALLED AND USED,30.0,17.0,53.0,515.0,130.0,16388.0,2600.0,2.0,2.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2013-24,KALLON,O'BRIEN,NARCOTICS,WC,D,41537.0,30,0,30,INSTALLED AND USED,29.0,47.0,132.0,1362.0,54.0,27261.0,5200.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2010-3,STEELE,WEINSTEIN,NARCOTICS,WC,D,40312.0,30,0,30,INSTALLED AND USED,90.0,68.0,54.0,6084.0,1628.0,66698.0,3857.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-1,GRANADE,O'BRIEN,NARCOTICS,"WC,TX",D,41372.0,30,0,30,NEVER INSTALLED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-2,GRANADE,O'BRIEN,NARCOTICS,"WC,TX",D,41372.0,30,0,30,INSTALLED AND USED,60.0,147.0,155.0,8811.0,4515.0,46515.0,2200.0,1.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-3,GRANADE,O'BRIEN,NARCOTICS,"WC,TX",D,41372.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-4,GRANADE,O'BRIEN,NARCOTICS,WC,D,41372.0,30,0,30,INSTALLED AND USED,28.0,27.0,11.0,765.0,24.0,26300.0,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-5,GRANADE,O'BRIEN,NARCOTICS,"WC,TX",D,41403.0,30,0,30,INSTALLED AND USED,29.0,17.0,15.0,497.0,124.0,24468.0,1245.0,0.0,0.0,0.0,0.0,0.0,0.0,,
