State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
ARIZONA,MARICOPA,2016-1,MYERS,MONTGOMERY,CORRUPTION,"WC,TX",D,42391.0,30.0,4.0,150.0,INSTALLED AND USED,143.0,617.0,"1,140","88,365","17,271",398921.0,54080.0,4.0,,,,,,,
ARIZONA,MARICOPA,2016-2,GRANVILLE,MONTGOMERY,DRUGS - ILLEGAL,"WC,TX",D,42466.0,30.0,6.0,210.0,INSTALLED AND USED,170.0,66.0,271,"11,297","3,659",437468.0,43535.0,15.0,,,,,,,
ARIZONA,MARICOPA,2016-3,MCCOY,MONTGOMERY,DRUGS - ILLEGAL,"WC,TX",D,42516.0,30.0,5.0,180.0,INSTALLED AND USED,169.0,67.0,302,"11,380","5,251",174157.0,16745.0,4.0,,,,,,,
CALIFORNIA,ALAMEDA,2016-1,ROLEFSON,O'MALLEY,MURDER,WC,D,42450.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,4.0,31,91,14,19650.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2016-2,ROLEFSON,O'MALLEY,MURDER,WS,H,42450.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,4.0,68,93,5,19650.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2016-3,ROLEFSON,O'MALLEY,MURDER,WC,D,42450.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,1.0,16,24,2,19650.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2016-4,ROLEFSON,O'MALLEY,MURDER,WC,D,42450.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,7.0,58,145,27,19650.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2016-5,ROLEFSON,O'MALLEY,MURDER,WC,D,42450.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,4.0,42,81,2,19650.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2016-6,ROLEFSON,O'MALLEY,MURDER,WS,H,42450.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,0.0,5,14,0,19650.0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2016-1,LAETTNER,PETERSON,MURDER,WC,D,42488.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,22.0,63,673,51,22520.0,3800.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2016-2,LAETTNER,PETERSON,OTHER,WC,D,42503.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,138.0,288,"4,011",605,113000.0,2000.0,24.0,0.0,0.0,0.0,0.0,2.0,,
CALIFORNIA,CONTRA COSTA,2016-3,LAETTNER,PETERSON,OTHER,WC,D,42516.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,378.0,325,"10,216",266,50000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2016-4,LAETTNER,PETERSON,OTHER,WC,D,42531.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,373.0,219,"11,207",846,102000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2016-5,LAETTNER,PETERSON,OTHER,WC,D,42548.0,30.0,0.0,30.0,INSTALLED AND USED,24.0,675.0,462,"16,210","2,564",42000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2016-6,LAETTNER,PETERSON,OTHER,WC,D,42572.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,781.0,249,"10,164","1,062",52000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2016-7,LAETTNER,PETERSON,OTHER,WC,D,42567.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,216.0,81,"3,896",241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2016-8,LAETTNER,PETERSON,MURDER,WC,D,42599.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,295.0,561,"8,567","1,740",70600.0,13000.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2016-9,LAETTNER,PETERSON,MURDER,WC,D,42640.0,30.0,0.0,30.0,INSTALLED AND USED,8.0,186.0,937,"1,492",140,17400.0,3200.0,6.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2016-10,LAETTNER,PETERSON,OTHER,WC,D,42628.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,180.0,371,"5,412",542,52200.0,9000.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2016-11,LAETTNER,PETERSON,MURDER,WC,D,42635.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,97.0,82,"2,736",287,18200.0,3800.0,7.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-1,HARRELL,SMITTCAMP,MURDER,"WC,TX,EO",D,42424.0,30.0,0.0,30.0,INSTALLED AND USED,21.0,3.0,1,69,9,19892.0,1559.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-2,HARRELL,SMITTCAMP,MURDER,"WC,TX,EO",D,42424.0,30.0,0.0,30.0,INSTALLED AND USED,21.0,3.0,1,69,9,19892.0,1559.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-3,HARRELL,SMITTCAMP,OTHER,"WC,TX,EO",D,42441.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,54.0,55,"1,646",756,28417.0,2227.0,3.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-5,HARRELL,SMITTCAMP,MURDER,"WC,TX,EO",D,42474.0,30.0,0.0,30.0,INSTALLED AND USED,5.0,436.0,31,"2,182",410,25535.0,3710.0,3.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-6,HARRELL,SMITTCAMP,MURDER,"WC,TX,EO",D,42475.0,30.0,0.0,30.0,INSTALLED AND USED,5.0,68.0,9,342,17,5107.0,742.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-7,HARRELL,SMITTCAMP,OTHER,"WC,TX,EO",D,42429.0,30.0,1.0,60.0,INSTALLED AND USED,50.0,183.0,237,"9,197","4,931",82410.0,6459.0,5.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-8,HARRELL,SMITTCAMP,NARCOTICS,"WC,TX,EO",D,42422.0,30.0,1.0,60.0,INSTALLED AND USED,51.0,345.0,383,"17,610","5,544",113668.0,8908.0,4.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-9,HARRELL,SMITTCAMP,MURDER,"WC,TX,EO",D,42412.0,30.0,1.0,60.0,INSTALLED AND USED,55.0,361.0,564,"19,881","4,166",222665.0,10318.0,6.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-10,HARRELL,SMITTCAMP,MURDER,"WC,TX,EO",D,42419.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,380.0,241,"22,847","15,704",85252.0,6682.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-11,HARRELL,SMITTCAMP,NARCOTICS,"WC,TX,EO",D,42487.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,141.0,108,"4,238","1,137",16840.0,1000.0,6.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-12,HARRELL,SMITTCAMP,NARCOTICS,"WC,TX,EO",D,42503.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,80.0,34,"1,617",167,22454.0,1334.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-13,HARRELL,SMITTCAMP,NARCOTICS,"WC,TX,EO",D,42516.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,31.0,66,948,178,34240.0,2032.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-14,HARRELL,SMITTCAMP,NARCOTICS,"WC,TX,EO",D,42529.0,30.0,0.0,30.0,INSTALLED AND USED,19.0,162.0,92,"3,087",440,21892.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-15,HARRELL,SMITTCAMP,NARCOTICS,"WC,TX,EO",D,42543.0,30.0,0.0,30.0,INSTALLED AND USED,8.0,16.0,3,135,39,4491.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-16,HARRELL,SMITTCAMP,NARCOTICS,"WC,TX,EO",D,42535.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,26.0,24,404,119,8420.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-17,HARRELL,SMITTCAMP,NARCOTICS,"WC,TX,EO",D,42548.0,30.0,0.0,30.0,INSTALLED AND USED,4.0,23.0,9,95,23,2245.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-18,HARRELL,SMITTCAMP,MURDER,"WC,TX","D,O",42616.0,30.0,0.0,30.0,INSTALLED AND USED,12.0,140.0,331,"1,681",892,30927.0,24750.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-19,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42608.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,45.0,122,"1,375",28,26803.0,21750.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-20,HARRELL,SMITTCAMP,MURDER,"WC,EE,TX,EO",D,42599.0,30.0,1.0,60.0,INSTALLED AND USED,46.0,2051.0,"1,743","94,367","7,301",368549.0,21750.0,7.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-21,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42625.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,110.0,95,"3,195",339,33492.0,21750.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-22,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42627.0,30.0,1.0,60.0,INSTALLED AND USED,35.0,123.0,53,"4,321",948,32209.0,2599.0,3.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-23,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42606.0,30.0,2.0,90.0,INSTALLED AND USED,59.0,285.0,562,"16,863","8,423",86622.0,24750.0,4.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-24,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42633.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,128.0,181,"3,868","1,308",55287.0,4373.0,8.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-25,HARRELL,SMITTCAMP,MURDER,"WC,EE,TX,EO",D,42622.0,30.0,1.0,60.0,INSTALLED AND USED,51.0,360.0,607,"18,395","3,148",95352.0,27750.0,4.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-26,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42640.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,78.0,85,"2,359",444,35880.0,2886.0,3.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-27,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42663.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,361.0,56,"5,423",669,13800.0,1110.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-28,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42668.0,30.0,0.0,30.0,INSTALLED AND USED,8.0,56.0,36,455,120,7360.0,592.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-29,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42660.0,30.0,0.0,30.0,INSTALLED AND USED,17.0,41.0,45,707,172,15640.0,1258.0,8.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-30,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42640.0,30.0,1.0,60.0,INSTALLED AND USED,38.0,278.0,348,"10,596","2,788",63690.0,24750.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-31,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42642.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,57.0,59,"1,715",502,27600.0,2220.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-32,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42651.0,30.0,0.0,30.0,INSTALLED AND USED,23.0,326.0,161,"7,513","1,376",21160.0,1702.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2016-33,HARRELL,SMITTCAMP,MURDER,"WC,TX",D,42661.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,158.0,70,"2,534",207,40480.0,3256.0,3.0,0.0,0.0,0.0,0.0,0.0,,
