"Wiretap Table B-1. State Courts
Report of Court-Authorized Intercepts of Wire, Oral, or Electronic Communications Pursuant to 18 U.S.C. 2519
For the Reporting Year 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
ALASKA,STATE OF ALASKA - THIRD JUDICIAL DISTRICT (ANCHORAGE),2018-70452,MARSTON,LINDEMUTH,MURDER,"TX,WC",D,43207.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,3.0,44,104,0,0,0,0.0,0,0.0,0.0,0.0,0,,
ALASKA,STATE OF ALASKA - THIRD JUDICIAL DISTRICT (ANCHORAGE),2018-70755,SAXBY,LINDEMUTH,MURDER,"TX,WC",D,43192.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0,83,0,4,35414.0,0.0,0,0,0.0,0.0,0.0,0,,
ARIZONA,MARICOPA,2018-69784,GRANVILLE,DAIZA,CONSPIRACY,"AP,TX,WC,WS","D,H",43125.0,30.0,3.0,120.0,INSTALLED AND USED,83.0,0,0,0,0,0,0,14.0,0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2018-69882,GRANVILLE,MONTGOMERY,DRUGS - ILLEGAL,"AP,TX,WC",D,43263.0,30.0,4.0,150.0,INSTALLED AND USED,109.0,0,0,0,0,242502.0,7750.0,3.0,0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2018-69995,MYERS,MONTGOMERY,DRUGS - ILLEGAL,"TX,WC",D,43196.0,30.0,9.0,300.0,INSTALLED AND USED,123.0,0,0,0,0,1315000.0,29000.0,34.0,0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2018-70469,MYERS,MONTGOMERY,DRUGS - ILLEGAL,"TX,WC",D,43213.0,30.0,15.0,480.0,INSTALLED AND USED,158.0,0,90,0,0,230000.0,50000.0,17.0,0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2018-70738,VIOLA,MONTGOMERY,DRUGS - ILLEGAL,WC,D,43389.0,30.0,1.0,60.0,INSTALLED AND USED,48.0,0,0,0,0,259562.0,159562.0,2.0,0,0.0,0.0,0.0,0.0,,
ARIZONA,MARICOPA,2018-71188,GRANVILLE,MONTGOMERY,DRUGS - ILLEGAL,"AP,TX,WC",D,43360.0,30.0,1.0,60.0,INSTALLED AND USED,30.0,0,0,0,223,67807.0,3825.0,1.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2018-76804,ROLEFSON,O'MALLEY,MURDER,"TX,WC",D,43328.0,30.0,1.0,60.0,INSTALLED AND USED,50.0,115.0,874,"5,731","1,052",342264.0,22800.0,20.0,0,0.0,0.0,0.0,4.0,,
CALIFORNIA,ALAMEDA,2018-76806,ROLEFSON,DUNLEAVY,MURDER,"TX,WC",D,43370.0,30.0,0.0,30.0,INSTALLED AND USED,8.0,70.0,50,556,127,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77005,RELATED TO NO. 2018-70207
CALIFORNIA,ALAMEDA,2018-76808,ROLEFSON,O'MALLEY,MURDER,"TX,WC",D,43409.0,30.0,1.0,60.0,INSTALLED AND USED,44.0,85.0,405,"3,759",385,396107.0,6230.0,2.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2018-76810,ROLEFSON,O'MALLEY,MURDER,WC,D,43437.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,29.0,6,468,182,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77039,RELATED TO NO. 2018-77039
CALIFORNIA,ALAMEDA,2018-76812,ROLEFSON,O'MALLEY,MURDER,"TX,WC",D,43334.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,11.0,78,148,33,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77005,RELATED TO NO. 2018-70207
CALIFORNIA,ALAMEDA,2018-76814,ROLEFSON,O'MALLEY,MURDER,"TX,WC",D,43347.0,30.0,0.0,30.0,INSTALLED AND USED,21.0,1.0,29,17,7,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77005,RELATED TO NO. 2018-70207
CALIFORNIA,ALAMEDA,2018-76816,ROLEFSON,O'MALLEY,MURDER,"TX,WC",D,43353.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,74.0,279,"2,058",314,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77005,RELATED TO NO. 2018-70207
CALIFORNIA,ALAMEDA,2018-76819,ROLEFSON,DUNLEAVY,MURDER,"TX,WC",D,43357.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,7.0,60,197,51,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77005,RELATED TO NO. 2018-70207
CALIFORNIA,ALAMEDA,2018-76821,ROLEFSON,DUNLEAVY,MURDER,"TX,WC",D,43362.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,34.0,71,548,166,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77005,RELATED TO NO. 2018-70207
CALIFORNIA,ALAMEDA,2018-76822,ROLEFSON,DUNLEAVY,MURDER,"TX,WC",D,43364.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,55.0,181,775,168,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77005,RELATED TO NO. 2018-70207
CALIFORNIA,ALAMEDA,2018-76824,ROLEFSON,DUNLEAVY,MURDER,"TX,WC",D,43368.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,59.0,78,824,118,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77005,RELATED TO NO. 2018-70207
CALIFORNIA,CONTRA COSTA,2018-77096,LAETTNER,BECTON,MURDER,"TX,WC",D,43133.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,74.0,196,"2,208",68,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77098,LAETTNER,BECTON,MURDER,"TX,WC",D,43241.0,30.0,0.0,30.0,INSTALLED AND USED,6.0,4625.0,253,"27,751",207,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77100,LAETTNER,BECTON,MURDER,"TX,WC",D,43314.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,731.0,750,"21,924",362,78555.0,4200.0,1.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2018-77102,LAETTNER,BECTON,MURDER,"TX,WC",D,43317.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,3237.0,"1,739","97,111","2,184",488280.0,12000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77104,LAETTNER,BECTON,MURDER,"TX,WC",D,43320.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,731.0,750,"21,924",362,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77106,LAETTNER,BECTON,MURDER,"TX,WC",D,43326.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,3237.0,"1,739","97,111","2,184",0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77108,LAETTNER,BECTON,MURDER,"TX,WC",D,43328.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,731.0,750,"21,924",362,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77110,LAETTNER,BECTON,MURDER,"TX,WC",D,43332.0,30.0,0.0,30.0,INSTALLED AND USED,24.0,4046.0,"1,739","97,111","2,184",0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77112,LAETTNER,BECTON,MURDER,"TX,WC",D,43336.0,30.0,0.0,30.0,INSTALLED AND USED,24.0,4046.0,"1,739","97,111","2,184",0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77114,LAETTNER,BECTON,MURDER,"TX,WC",D,43343.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,,
