Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
"ALABAMA, MIDDLE",2012-15,"ALBRITTON, III",,NARCOTICS,WC,D,41242.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,,,,,26715.0,1875.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-12,"ALBRITTON, III",,NARCOTICS,"WC,TX",D,42060.0,30.0,0.0,30.0,INSTALLED AND USED,7.0,0.0,0,0,0,10444.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-15,"ALBRITTON, III",,NARCOTICS,"WC,TX",D,42060.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,252.0,445,"14,626","2,163",75661.0,3625.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-23
"ALABAMA, MIDDLE",2015-16,"ALBRITTON, III",,NARCOTICS,"WC,TX",D,42074.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,73.0,25,"4,235",354,75661.0,3625.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-17
"ALABAMA, MIDDLE",2015-17,"ALBRITTON, III",,NARCOTICS,"WC,TX",D,42115.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,83.0,14,"2,432",116,37893.0,1875.0,1.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-21,"ALBRITTON, III",,NARCOTICS,WC,D,42135.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,144.0,220,"4,186",197,37893.0,1875.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-23
"ALABAMA, MIDDLE",2015-23,"ALBRITTON, III",,NARCOTICS,"WC,TX",D,42097.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,103.0,140,"5,993",357,76439.0,3161.0,25.0,0.0,0.0,9.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-24,"ALBRITTON, III",,NARCOTICS,"WC,TX",D,42159.0,30.0,0.0,30.0,INSTALLED AND USED,11.0,42.0,16,465,21,26486.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-23
"ALABAMA, MIDDLE",2015-27,"ALBRITTON, III",,NARCOTICS,"WC,TX",D,42122.0,30.0,1.0,60.0,INSTALLED AND USED,40.0,59.0,60,"2,384",176,53494.0,2572.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-23
"ALABAMA, MIDDLE",2015-29,"ALBRITTON, III",,NARCOTICS,"WC,TX",D,42150.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,102.0,257,"6,051","1,015",42663.0,4786.0,14.0,0.0,0.0,0.0,0.0,0.0,,
