"Wiretap Table 3—Major Offenses for Which Court-Authorized Intercepts Were Granted Pursuant to 18 U.S.C. § 2519 
January 1 Through December 31, 2018",,,,,,,,,,
Reporting Jurisdiction,Total,Conspiracy,Corruption,Gambling,Homicide and Assault,Kidnapping,"Larceny, Theft, and Robbery",Narcotics,Racketeering,Other
Total,2937.0,389.0,28.0,12.0,130.0,0.0,13.0,1354.0,91.0,920.0
Federal Total,1457.0,307.0,28.0,3.0,17.0,0.0,1.0,491.0,53.0,557.0
ALABAMA  MIDDLE,2,1,-,-,-,-,-,-,-,1
ALABAMA  SOUTHERN,3,2,-,-,-,-,-,-,-,1
ALABAMA NORTHERN,6,2,-,-,-,-,-,1,-,3
ARIZONA,40,-,-,-,-,-,-,40,-,-
ARKANSAS  WESTERN,1,-,-,-,-,-,-,-,-,1
ARKANSAS EASTERN,19,17,-,-,1,-,-,-,-,1
CALIFORNIA CENTRAL,119,11,2,-,-,-,-,22,11,73
CALIFORNIA EASTERN,19,2,-,-,5,-,-,10,-,2
CALIFORNIA NORTHERN,59,-,8,-,1,-,-,2,22,26
CALIFORNIA SOUTHERN,37,20,-,-,-,-,-,9,-,8
COLORADO,11,1,-,-,-,-,-,10,-,-
CONNECTICUT,23,13,-,-,2,-,-,2,-,6
DELAWARE,1,-,-,-,-,-,-,1,-,-
DISTRICT OF COLUMBIA,21,-,-,-,1,-,-,7,6,7
FLORIDA  NORTHERN,4,-,-,-,-,-,-,-,-,4
FLORIDA MIDDLE,52,8,-,-,2,-,-,12,-,30
FLORIDA SOUTHERN,15,-,-,-,-,-,-,7,-,8
GEORGIA  NORTHERN,4,-,-,-,-,-,-,-,-,4
GEORGIA MIDDLE,10,2,-,-,1,-,-,1,-,6
GEORGIA SOUTHERN,20,14,-,-,-,-,-,6,-,-
HAWAII,5,-,-,-,-,-,-,5,-,-
IDAHO,2,-,-,-,-,-,-,2,-,-
ILLINOIS CENTRAL,2,1,-,-,-,-,-,1,-,-
ILLINOIS NORTHERN,92,7,4,2,-,-,-,59,2,18
ILLINOIS SOUTHERN,1,-,-,-,-,-,-,1,-,-
INDIANA NORTHERN,4,2,-,-,-,-,-,2,-,-
INDIANA SOUTHERN,18,4,-,-,-,-,-,6,-,8
IOWA NORTHERN,8,6,-,-,-,-,-,2,-,-
KANSAS,7,4,-,-,-,-,-,-,-,3
KENTUCKY WESTERN,30,-,-,-,-,-,-,3,-,27
LOUISIANA EASTERN,12,6,-,-,-,-,-,-,-,6
LOUISIANA MIDDLE,8,5,-,-,-,-,-,3,-,-
LOUISIANA WESTERN,5,3,-,-,-,-,-,2,-,-
MAINE,4,-,-,-,-,-,-,4,-,-
MARYLAND,15,-,-,-,-,-,-,13,1,1
MASSACHUSETTS,14,2,-,-,-,-,-,11,-,1
MICHIGAN EASTERN,37,3,-,-,-,-,-,6,-,28
MICHIGAN WESTERN,2,-,-,-,-,-,-,1,-,1
MINNESOTA,25,-,-,-,-,-,-,5,-,20
MISSISSIPPI NORTHERN,3,2,-,-,-,-,-,1,-,-
MISSISSIPPI SOUTHERN,16,-,-,-,-,-,-,5,-,11
MISSOURI EASTERN,6,1,-,-,-,-,-,1,-,4
MISSOURI WESTERN,5,1,-,-,-,-,-,-,-,4
NEBRASKA,24,14,-,-,-,-,-,10,-,-
NEVADA,13,1,-,-,-,-,-,10,-,2
NEW HAMPSHIRE,3,2,-,-,-,-,-,1,-,-
NEW JERSEY,92,13,3,-,3,-,-,13,2,58
NEW MEXICO,18,-,-,-,-,-,-,4,-,14
NEW YORK  NORTHERN,8,1,-,-,-,-,-,6,-,1
NEW YORK  WESTERN,2,-,-,-,-,-,-,2,-,-
NEW YORK EASTERN,7,-,-,-,-,-,-,6,-,1
